# seed=42 mode=bolter file=sony_ilce_7s.arw filesize=6160384
trial	mode	filesize	off	bit	span	detected
0	bolter	6160384	5864406	-	1	false
1	bolter	6160384	2999465	-	1	false
2	bolter	6160384	2601627	-	1	false
3	bolter	6160384	3363715	-	1	false
4	bolter	6160384	614061	-	1	true
5	bolter	6160384	1619506	-	1	false
6	bolter	6160384	5976364	-	1	false
7	bolter	6160384	3917783	-	1	false
8	bolter	6160384	4720648	-	1	false
9	bolter	6160384	4143797	-	1	false
10	bolter	6160384	2498009	-	1	false
11	bolter	6160384	8321	-	1	false
12	bolter	6160384	1854940	-	1	false
13	bolter	6160384	4119446	-	1	false
14	bolter	6160384	3471441	-	1	false
15	bolter	6160384	4858475	-	1	false
16	bolter	6160384	1108698	-	1	false
17	bolter	6160384	3202628	-	1	false
18	bolter	6160384	5749283	-	1	false
19	bolter	6160384	4176324	-	1	false
20	bolter	6160384	4496456	-	1	false
21	bolter	6160384	610071	-	1	false
22	bolter	6160384	4269776	-	1	false
23	bolter	6160384	2254763	-	1	false
24	bolter	6160384	404355	-	1	true
25	bolter	6160384	1876513	-	1	false
26	bolter	6160384	1711018	-	1	false
27	bolter	6160384	531611	-	1	false
28	bolter	6160384	2885396	-	1	false
29	bolter	6160384	2268360	-	1	false
30	bolter	6160384	2482416	-	1	false
31	bolter	6160384	3818763	-	1	false
32	bolter	6160384	2816182	-	1	false
33	bolter	6160384	5733862	-	1	false
34	bolter	6160384	410357	-	1	false
35	bolter	6160384	5571816	-	1	false
36	bolter	6160384	551066	-	1	false
37	bolter	6160384	186735	-	1	false
38	bolter	6160384	2086614	-	1	false
39	bolter	6160384	5122230	-	1	false
40	bolter	6160384	3084706	-	1	false
41	bolter	6160384	2999099	-	1	false
42	bolter	6160384	616431	-	1	false
43	bolter	6160384	5731484	-	1	false
44	bolter	6160384	3543790	-	1	false
45	bolter	6160384	857818	-	1	false
46	bolter	6160384	5483834	-	1	false
47	bolter	6160384	2122592	-	1	false
48	bolter	6160384	2260633	-	1	false
49	bolter	6160384	4999637	-	1	false
50	bolter	6160384	1847446	-	1	false
51	bolter	6160384	192536	-	1	false
52	bolter	6160384	5938978	-	1	false
53	bolter	6160384	3330693	-	1	false
54	bolter	6160384	1034722	-	1	false
55	bolter	6160384	4360852	-	1	false
56	bolter	6160384	4633551	-	1	false
57	bolter	6160384	995996	-	1	false
58	bolter	6160384	21999	-	1	false
59	bolter	6160384	5689863	-	1	false
60	bolter	6160384	4388936	-	1	false
61	bolter	6160384	703129	-	1	true
62	bolter	6160384	3303537	-	1	false
63	bolter	6160384	3175707	-	1	false
64	bolter	6160384	4898944	-	1	false
65	bolter	6160384	2183024	-	1	false
66	bolter	6160384	1300891	-	1	false
67	bolter	6160384	5292592	-	1	false
68	bolter	6160384	5178794	-	1	false
69	bolter	6160384	1829900	-	1	false
70	bolter	6160384	2642463	-	1	false
71	bolter	6160384	287823	-	1	false
72	bolter	6160384	2122132	-	1	false
73	bolter	6160384	2318710	-	1	false
74	bolter	6160384	3792980	-	1	false
75	bolter	6160384	1269669	-	1	false
76	bolter	6160384	5845755	-	1	false
77	bolter	6160384	4378166	-	1	false
78	bolter	6160384	5682112	-	1	false
79	bolter	6160384	3679296	-	1	false
80	bolter	6160384	4845051	-	1	false
81	bolter	6160384	1164159	-	1	false
82	bolter	6160384	491582	-	1	true
83	bolter	6160384	3195263	-	1	false
84	bolter	6160384	5785297	-	1	false
85	bolter	6160384	4202886	-	1	false
86	bolter	6160384	318045	-	1	false
87	bolter	6160384	4162840	-	1	false
88	bolter	6160384	3384114	-	1	false
89	bolter	6160384	856824	-	1	false
90	bolter	6160384	5107294	-	1	false
91	bolter	6160384	2924950	-	1	false
92	bolter	6160384	2859721	-	1	false
93	bolter	6160384	5812643	-	1	false
94	bolter	6160384	515249	-	1	false
95	bolter	6160384	1235869	-	1	false
96	bolter	6160384	1770599	-	1	false
97	bolter	6160384	4398266	-	1	false
98	bolter	6160384	5466477	-	1	false
99	bolter	6160384	1332882	-	1	false
