# seed=42 mode=bolter file=sample.asf filesize=7123
trial	mode	filesize	off	bit	span	detected
0	bolter	7123	572	-	1	false
1	bolter	7123	5647	-	1	false
2	bolter	7123	6835	-	1	false
3	bolter	7123	6945	-	1	false
4	bolter	7123	1809	-	1	false
5	bolter	7123	6493	-	1	false
6	bolter	7123	2790	-	1	false
7	bolter	7123	2940	-	1	false
8	bolter	7123	2329	-	1	false
9	bolter	7123	1754	-	1	false
10	bolter	7123	4135	-	1	false
11	bolter	7123	2027	-	1	false
12	bolter	7123	19	-	1	true
13	bolter	7123	1713	-	1	false
14	bolter	7123	6634	-	1	false
15	bolter	7123	2887	-	1	false
16	bolter	7123	730	-	1	false
17	bolter	7123	5183	-	1	false
18	bolter	7123	6583	-	1	false
19	bolter	7123	4685	-	1	false
20	bolter	7123	2074	-	1	false
21	bolter	7123	5447	-	1	false
22	bolter	7123	2091	-	1	false
23	bolter	7123	3118	-	1	false
24	bolter	7123	4596	-	1	false
25	bolter	7123	1007	-	1	false
26	bolter	7123	304	-	1	false
27	bolter	7123	6074	-	1	false
28	bolter	7123	4995	-	1	false
29	bolter	7123	1914	-	1	false
30	bolter	7123	2467	-	1	false
31	bolter	7123	1250	-	1	false
32	bolter	7123	2186	-	1	false
33	bolter	7123	7064	-	1	false
34	bolter	7123	260	-	1	false
35	bolter	7123	3931	-	1	false
36	bolter	7123	3930	-	1	false
37	bolter	7123	3746	-	1	false
38	bolter	7123	3757	-	1	false
39	bolter	7123	6814	-	1	false
40	bolter	7123	6333	-	1	false
41	bolter	7123	594	-	1	true
42	bolter	7123	3072	-	1	false
43	bolter	7123	4548	-	1	false
44	bolter	7123	3797	-	1	false
45	bolter	7123	441	-	1	false
46	bolter	7123	5193	-	1	false
47	bolter	7123	951	-	1	false
48	bolter	7123	4070	-	1	false
49	bolter	7123	121	-	1	false
50	bolter	7123	4889	-	1	false
51	bolter	7123	3160	-	1	false
52	bolter	7123	1707	-	1	false
53	bolter	7123	3749	-	1	false
54	bolter	7123	4415	-	1	false
55	bolter	7123	1761	-	1	false
56	bolter	7123	157	-	1	true
57	bolter	7123	204	-	1	false
58	bolter	7123	4678	-	1	false
59	bolter	7123	3688	-	1	false
60	bolter	7123	4708	-	1	false
61	bolter	7123	434	-	1	false
62	bolter	7123	1361	-	1	false
63	bolter	7123	6295	-	1	false
64	bolter	7123	4803	-	1	false
65	bolter	7123	1365	-	1	false
66	bolter	7123	327	-	1	false
67	bolter	7123	5994	-	1	false
68	bolter	7123	3178	-	1	false
69	bolter	7123	6139	-	1	false
70	bolter	7123	5392	-	1	false
71	bolter	7123	5616	-	1	false
72	bolter	7123	78	-	1	false
73	bolter	7123	2956	-	1	false
74	bolter	7123	975	-	1	false
75	bolter	7123	6650	-	1	false
76	bolter	7123	6320	-	1	false
77	bolter	7123	6853	-	1	false
78	bolter	7123	76	-	1	false
79	bolter	7123	1806	-	1	false
80	bolter	7123	3757	-	1	false
81	bolter	7123	6193	-	1	false
82	bolter	7123	4003	-	1	false
83	bolter	7123	945	-	1	false
84	bolter	7123	4504	-	1	false
85	bolter	7123	1008	-	1	false
86	bolter	7123	2384	-	1	false
87	bolter	7123	5540	-	1	false
88	bolter	7123	599	-	1	true
89	bolter	7123	4273	-	1	false
90	bolter	7123	5851	-	1	false
91	bolter	7123	569	-	1	false
92	bolter	7123	1790	-	1	false
93	bolter	7123	6482	-	1	false
94	bolter	7123	6118	-	1	false
95	bolter	7123	2993	-	1	false
96	bolter	7123	2122	-	1	false
97	bolter	7123	5949	-	1	false
98	bolter	7123	4197	-	1	false
99	bolter	7123	241	-	1	false
