# seed=42 mode=sniper file=sample.au filesize=8852
trial	mode	filesize	off	bit	span	detected
0	sniper	8852	814	1	1	false
1	sniper	8852	4187	3	1	false
2	sniper	8852	3713	2	1	false
3	sniper	8852	808	7	1	false
4	sniper	8852	3056	5	1	false
5	sniper	8852	2361	1	1	false
6	sniper	8852	3388	6	1	false
7	sniper	8852	3309	3	1	false
8	sniper	8852	5246	4	1	false
9	sniper	8852	4819	4	1	false
10	sniper	8852	8048	7	1	false
11	sniper	8852	3048	3	1	false
12	sniper	8852	7755	1	1	false
13	sniper	8852	4426	3	1	false
14	sniper	8852	848	0	1	false
15	sniper	8852	1988	3	1	false
16	sniper	8852	4686	6	1	false
17	sniper	8852	8665	0	1	false
18	sniper	8852	5878	7	1	false
19	sniper	8852	4910	6	1	false
20	sniper	8852	2002	3	1	false
21	sniper	8852	1459	4	1	false
22	sniper	8852	7926	2	1	false
23	sniper	8852	8638	0	1	false
24	sniper	8852	1629	5	1	false
25	sniper	8852	5878	0	1	false
26	sniper	8852	8394	5	1	false
27	sniper	8852	6550	4	1	false
28	sniper	8852	5571	4	1	false
29	sniper	8852	1551	7	1	false
30	sniper	8852	744	1	1	false
31	sniper	8852	1761	3	1	false
32	sniper	8852	5084	0	1	false
33	sniper	8852	4807	0	1	false
34	sniper	8852	3186	4	1	false
35	sniper	8852	8183	7	1	false
36	sniper	8852	1700	6	1	false
37	sniper	8852	7876	5	1	false
38	sniper	8852	1147	6	1	false
39	sniper	8852	4360	0	1	false
40	sniper	8852	7251	7	1	false
41	sniper	8852	8482	7	1	false
42	sniper	8852	6185	6	1	false
43	sniper	8852	2277	0	1	false
44	sniper	8852	8574	0	1	false
45	sniper	8852	1398	6	1	false
46	sniper	8852	5265	3	1	false
47	sniper	8852	8045	5	1	false
48	sniper	8852	4123	2	1	false
49	sniper	8852	4821	2	1	false
50	sniper	8852	461	2	1	false
51	sniper	8852	4989	3	1	false
52	sniper	8852	7300	7	1	false
53	sniper	8852	1770	2	1	false
54	sniper	8852	672	6	1	false
55	sniper	8852	7419	7	1	false
56	sniper	8852	515	6	1	false
57	sniper	8852	4097	6	1	false
58	sniper	8852	1823	1	1	false
59	sniper	8852	4559	2	1	false
60	sniper	8852	4609	4	1	false
61	sniper	8852	2802	2	1	false
62	sniper	8852	1484	5	1	false
63	sniper	8852	4402	7	1	false
64	sniper	8852	5302	0	1	false
65	sniper	8852	204	0	1	false
66	sniper	8852	6565	3	1	false
67	sniper	8852	2646	7	1	false
68	sniper	8852	446	1	1	false
69	sniper	8852	7491	3	1	false
70	sniper	8852	8043	2	1	false
71	sniper	8852	6613	6	1	false
72	sniper	8852	5553	2	1	false
73	sniper	8852	8693	4	1	false
74	sniper	8852	7125	2	1	false
75	sniper	8852	6393	2	1	false
76	sniper	8852	168	0	1	false
77	sniper	8852	7153	4	1	false
78	sniper	8852	8543	2	1	false
79	sniper	8852	7358	4	1	false
80	sniper	8852	6775	2	1	false
81	sniper	8852	5697	3	1	false
82	sniper	8852	957	0	1	false
83	sniper	8852	1109	2	1	false
84	sniper	8852	5980	2	1	false
85	sniper	8852	5515	3	1	false
86	sniper	8852	3135	6	1	false
87	sniper	8852	5722	6	1	false
88	sniper	8852	5102	0	1	false
89	sniper	8852	1074	5	1	false
90	sniper	8852	5976	6	1	false
91	sniper	8852	5105	4	1	false
92	sniper	8852	925	2	1	false
93	sniper	8852	5933	3	1	false
94	sniper	8852	5329	4	1	false
95	sniper	8852	1397	7	1	false
96	sniper	8852	8177	6	1	false
97	sniper	8852	1393	2	1	false
98	sniper	8852	3559	0	1	false
99	sniper	8852	734	7	1	false
