# seed=42 mode=bolter file=jpeg_missing_eoi_reader_accepted.jpg filesize=1591362
trial	mode	filesize	off	bit	span	detected
0	bolter	1591362	619016	-	1	true
1	bolter	1591362	614873	-	1	true
2	bolter	1591362	684777	-	1	true
3	bolter	1591362	436839	-	1	true
4	bolter	1591362	283377	-	1	true
5	bolter	1591362	465298	-	1	true
6	bolter	1591362	583524	-	1	true
7	bolter	1591362	739961	-	1	true
8	bolter	1591362	1475114	-	1	true
9	bolter	1591362	277875	-	1	true
10	bolter	1591362	1452199	-	1	true
11	bolter	1591362	1265731	-	1	true
12	bolter	1591362	1551576	-	1	true
13	bolter	1591362	556888	-	1	true
14	bolter	1591362	1434167	-	1	true
15	bolter	1591362	1430001	-	1	true
16	bolter	1591362	883144	-	1	true
17	bolter	1591362	1079080	-	1	true
18	bolter	1591362	532847	-	1	true
19	bolter	1591362	1342552	-	1	true
20	bolter	1591362	544260	-	1	true
21	bolter	1591362	360759	-	1	true
22	bolter	1591362	1008948	-	1	true
23	bolter	1591362	1407187	-	1	true
24	bolter	1591362	751673	-	1	true
25	bolter	1591362	1125603	-	1	true
26	bolter	1591362	924618	-	1	true
27	bolter	1591362	1100921	-	1	true
28	bolter	1591362	263518	-	1	true
29	bolter	1591362	1014218	-	1	true
30	bolter	1591362	387528	-	1	true
31	bolter	1591362	490223	-	1	true
32	bolter	1591362	1539916	-	1	true
33	bolter	1591362	1356244	-	1	true
34	bolter	1591362	1194829	-	1	true
35	bolter	1591362	678940	-	1	true
36	bolter	1591362	340806	-	1	true
37	bolter	1591362	1347479	-	1	true
38	bolter	1591362	191888	-	1	true
39	bolter	1591362	1464934	-	1	true
40	bolter	1591362	677990	-	1	true
41	bolter	1591362	836499	-	1	true
42	bolter	1591362	1190937	-	1	true
43	bolter	1591362	886124	-	1	true
44	bolter	1591362	828808	-	1	true
45	bolter	1591362	139130	-	1	true
46	bolter	1591362	475730	-	1	true
47	bolter	1591362	820934	-	1	true
48	bolter	1591362	813159	-	1	true
49	bolter	1591362	1525281	-	1	true
50	bolter	1591362	94974	-	1	true
51	bolter	1591362	665180	-	1	true
52	bolter	1591362	1208846	-	1	true
53	bolter	1591362	151237	-	1	true
54	bolter	1591362	1568542	-	1	true
55	bolter	1591362	252742	-	1	true
56	bolter	1591362	1150731	-	1	true
57	bolter	1591362	1139884	-	1	true
58	bolter	1591362	1011535	-	1	true
59	bolter	1591362	547969	-	1	true
60	bolter	1591362	396054	-	1	true
61	bolter	1591362	1081035	-	1	true
62	bolter	1591362	310583	-	1	true
63	bolter	1591362	1126701	-	1	true
64	bolter	1591362	1294066	-	1	true
65	bolter	1591362	223854	-	1	true
66	bolter	1591362	182173	-	1	true
67	bolter	1591362	855726	-	1	true
68	bolter	1591362	324970	-	1	true
69	bolter	1591362	1021376	-	1	true
70	bolter	1591362	651071	-	1	true
71	bolter	1591362	1487619	-	1	true
72	bolter	1591362	1050930	-	1	true
73	bolter	1591362	1386494	-	1	true
74	bolter	1591362	132122	-	1	true
75	bolter	1591362	249251	-	1	true
76	bolter	1591362	1088597	-	1	true
77	bolter	1591362	764824	-	1	true
78	bolter	1591362	207900	-	1	true
79	bolter	1591362	86444	-	1	true
80	bolter	1591362	65769	-	1	true
81	bolter	1591362	513183	-	1	true
82	bolter	1591362	928736	-	1	true
83	bolter	1591362	492013	-	1	true
84	bolter	1591362	360235	-	1	true
85	bolter	1591362	260788	-	1	true
86	bolter	1591362	846669	-	1	true
87	bolter	1591362	91854	-	1	true
88	bolter	1591362	1565564	-	1	true
89	bolter	1591362	426206	-	1	true
90	bolter	1591362	641474	-	1	true
91	bolter	1591362	867480	-	1	true
92	bolter	1591362	670095	-	1	true
93	bolter	1591362	1272281	-	1	true
94	bolter	1591362	371067	-	1	true
95	bolter	1591362	842669	-	1	true
96	bolter	1591362	51983	-	1	true
97	bolter	1591362	313914	-	1	true
98	bolter	1591362	1222649	-	1	true
99	bolter	1591362	910728	-	1	true
