# seed=42 mode=shotgun file=jpeg_missing_eoi_reader_accepted.jpg filesize=1591362
trial	mode	filesize	off	bit	span	detected
0	shotgun	1591362	1097906	-	4096	true
1	shotgun	1591362	1421710	-	4096	true
2	shotgun	1591362	840921	-	4096	true
3	shotgun	1591362	1232090	-	4096	true
4	shotgun	1591362	18546	-	4096	true
5	shotgun	1591362	541762	-	4096	true
6	shotgun	1591362	808755	-	4096	true
7	shotgun	1591362	380581	-	4096	true
8	shotgun	1591362	253109	-	4096	true
9	shotgun	1591362	780977	-	4096	true
10	shotgun	1591362	395765	-	4096	true
11	shotgun	1591362	1446703	-	4096	true
12	shotgun	1591362	383830	-	4096	true
13	shotgun	1591362	853114	-	4096	true
14	shotgun	1591362	1149675	-	4096	true
15	shotgun	1591362	1324432	-	4096	true
16	shotgun	1591362	471319	-	4096	true
17	shotgun	1591362	523026	-	4096	true
18	shotgun	1591362	486915	-	4096	true
19	shotgun	1591362	831356	-	4096	true
20	shotgun	1591362	628651	-	4096	true
21	shotgun	1591362	514286	-	4096	true
22	shotgun	1591362	931980	-	4096	true
23	shotgun	1591362	576285	-	4096	true
24	shotgun	1591362	1465364	-	4096	true
25	shotgun	1591362	663451	-	4096	true
26	shotgun	1591362	1201364	-	4096	true
27	shotgun	1591362	1468579	-	4096	true
28	shotgun	1591362	855243	-	4096	true
29	shotgun	1591362	1461755	-	4096	true
30	shotgun	1591362	964472	-	4096	true
31	shotgun	1591362	1565922	-	4096	true
32	shotgun	1591362	1465813	-	4096	true
33	shotgun	1591362	1206097	-	4096	true
34	shotgun	1591362	1322868	-	4096	true
35	shotgun	1591362	988742	-	4096	true
36	shotgun	1591362	401672	-	4096	true
37	shotgun	1591362	1460025	-	4096	true
38	shotgun	1591362	170271	-	4096	true
39	shotgun	1591362	526424	-	4096	true
40	shotgun	1591362	441593	-	4096	true
41	shotgun	1591362	1461630	-	4096	true
42	shotgun	1591362	1214590	-	4096	true
43	shotgun	1591362	71124	-	4096	true
44	shotgun	1591362	1401235	-	4096	true
45	shotgun	1591362	673545	-	4096	true
46	shotgun	1591362	161580	-	4096	true
47	shotgun	1591362	949452	-	4096	true
48	shotgun	1591362	1550033	-	4096	true
49	shotgun	1591362	1157504	-	4096	true
50	shotgun	1591362	493748	-	4096	true
51	shotgun	1591362	60546	-	4096	true
52	shotgun	1591362	568222	-	4096	true
53	shotgun	1591362	1370951	-	4096	true
54	shotgun	1591362	1153009	-	4096	true
55	shotgun	1591362	1387840	-	4096	true
56	shotgun	1591362	813439	-	4096	true
57	shotgun	1591362	1198293	-	4096	true
58	shotgun	1591362	155209	-	4096	true
59	shotgun	1591362	92216	-	4096	true
60	shotgun	1591362	1206768	-	4096	true
61	shotgun	1591362	1563241	-	4096	true
62	shotgun	1591362	1574860	-	4096	true
63	shotgun	1591362	1313455	-	4096	true
64	shotgun	1591362	90552	-	4096	true
65	shotgun	1591362	712347	-	4096	true
66	shotgun	1591362	428693	-	4096	true
67	shotgun	1591362	1041103	-	4096	true
68	shotgun	1591362	1374282	-	4096	true
69	shotgun	1591362	376183	-	4096	true
70	shotgun	1591362	975342	-	4096	true
71	shotgun	1591362	101931	-	4096	true
72	shotgun	1591362	540313	-	4096	true
73	shotgun	1591362	945634	-	4096	true
74	shotgun	1591362	36289	-	4096	true
75	shotgun	1591362	268438	-	4096	true
76	shotgun	1591362	334370	-	4096	true
77	shotgun	1591362	329590	-	4096	true
78	shotgun	1591362	98546	-	4096	true
79	shotgun	1591362	1367376	-	4096	true
80	shotgun	1591362	755427	-	4096	true
81	shotgun	1591362	1446770	-	4096	true
82	shotgun	1591362	687662	-	4096	true
83	shotgun	1591362	835038	-	4096	true
84	shotgun	1591362	980157	-	4096	true
85	shotgun	1591362	1407690	-	4096	true
86	shotgun	1591362	1409483	-	4096	true
87	shotgun	1591362	1311642	-	4096	true
88	shotgun	1591362	107626	-	4096	true
89	shotgun	1591362	510017	-	4096	true
90	shotgun	1591362	439659	-	4096	true
91	shotgun	1591362	470653	-	4096	true
92	shotgun	1591362	268492	-	4096	true
93	shotgun	1591362	738243	-	4096	true
94	shotgun	1591362	571539	-	4096	true
95	shotgun	1591362	481882	-	4096	true
96	shotgun	1591362	604059	-	4096	true
97	shotgun	1591362	1436997	-	4096	true
98	shotgun	1591362	1139523	-	4096	true
99	shotgun	1591362	5640	-	4096	true
