# seed=42 mode=sniper file=jpeg_missing_eoi_reader_accepted.jpg filesize=1591362
trial	mode	filesize	off	bit	span	detected
0	sniper	1591362	619016	1	1	true
1	sniper	1591362	684777	3	1	true
2	sniper	1591362	283377	2	1	true
3	sniper	1591362	583524	7	1	true
4	sniper	1591362	1475114	5	1	true
5	sniper	1591362	1452199	1	1	true
6	sniper	1591362	1551576	6	1	true
7	sniper	1591362	1434167	3	1	true
8	sniper	1591362	883144	4	1	true
9	sniper	1591362	532847	4	1	true
10	sniper	1591362	544260	7	1	true
11	sniper	1591362	1008948	3	1	true
12	sniper	1591362	751673	1	1	true
13	sniper	1591362	924618	3	1	true
14	sniper	1591362	263518	0	1	true
15	sniper	1591362	387528	3	1	true
16	sniper	1591362	1539916	6	1	true
17	sniper	1591362	1194829	0	1	true
18	sniper	1591362	340806	7	1	true
19	sniper	1591362	191888	6	1	true
20	sniper	1591362	677990	3	1	true
21	sniper	1591362	1190937	4	1	true
22	sniper	1591362	828808	2	1	true
23	sniper	1591362	475730	0	1	true
24	sniper	1591362	813159	5	1	true
25	sniper	1591362	94974	0	1	true
26	sniper	1591362	1208846	5	1	true
27	sniper	1591362	1568542	4	1	true
28	sniper	1591362	1150731	4	1	true
29	sniper	1591362	1011535	7	1	true
30	sniper	1591362	396054	1	1	true
31	sniper	1591362	310583	3	1	true
32	sniper	1591362	1294066	0	1	true
33	sniper	1591362	182173	0	1	true
34	sniper	1591362	324970	4	1	true
35	sniper	1591362	651071	7	1	true
36	sniper	1591362	1050930	6	1	true
37	sniper	1591362	132122	5	1	true
38	sniper	1591362	1088597	6	1	true
39	sniper	1591362	207900	0	1	true
40	sniper	1591362	65769	7	1	true
41	sniper	1591362	928736	7	1	true
42	sniper	1591362	360235	6	1	true
43	sniper	1591362	846669	0	1	true
44	sniper	1591362	1565564	0	1	true
45	sniper	1591362	641474	6	1	true
46	sniper	1591362	670095	3	1	true
47	sniper	1591362	371067	5	1	true
48	sniper	1591362	51983	2	1	true
49	sniper	1591362	1222649	2	1	true
50	sniper	1591362	901363	2	1	true
51	sniper	1591362	1236089	3	1	true
52	sniper	1591362	816170	7	1	true
53	sniper	1591362	375340	2	1	true
54	sniper	1591362	1476598	6	1	true
55	sniper	1591362	335847	7	1	true
56	sniper	1591362	1131665	6	1	true
57	sniper	1591362	1225891	6	1	true
58	sniper	1591362	1104757	1	1	true
59	sniper	1591362	820743	2	1	true
60	sniper	1591362	234259	4	1	true
61	sniper	1591362	1456992	2	1	true
62	sniper	1591362	589382	5	1	true
63	sniper	1591362	261076	7	1	true
64	sniper	1591362	959330	0	1	true
65	sniper	1591362	1022034	0	1	true
66	sniper	1591362	795507	3	1	true
67	sniper	1591362	45466	7	1	true
68	sniper	1591362	832382	1	1	true
69	sniper	1591362	597753	3	1	true
70	sniper	1591362	367615	2	1	true
71	sniper	1591362	45983	6	1	true
72	sniper	1591362	797189	2	1	true
73	sniper	1591362	167303	4	1	true
74	sniper	1591362	705907	2	1	true
75	sniper	1591362	597727	2	1	true
76	sniper	1591362	1031192	0	1	true
77	sniper	1591362	502579	4	1	true
78	sniper	1591362	1469871	2	1	true
79	sniper	1591362	605520	4	1	true
80	sniper	1591362	169025	2	1	true
81	sniper	1591362	1392855	3	1	true
82	sniper	1591362	272325	0	1	true
83	sniper	1591362	157131	2	1	true
84	sniper	1591362	1129110	2	1	true
85	sniper	1591362	138229	3	1	true
86	sniper	1591362	862043	6	1	true
87	sniper	1591362	1444520	6	1	true
88	sniper	1591362	1139064	0	1	true
89	sniper	1591362	1093210	5	1	true
90	sniper	1591362	1051616	6	1	true
91	sniper	1591362	1368905	4	1	true
92	sniper	1591362	1515001	2	1	true
93	sniper	1591362	1213085	3	1	true
94	sniper	1591362	448611	4	1	true
95	sniper	1591362	1423217	7	1	true
96	sniper	1591362	797925	6	1	true
97	sniper	1591362	659997	2	1	true
98	sniper	1591362	472545	0	1	true
99	sniper	1591362	272890	7	1	true
