# seed=42 mode=sniper file=sample.av1 filesize=7741
trial	mode	filesize	off	bit	span	detected
0	sniper	7741	1268	1	1	false
1	sniper	7741	4346	3	1	false
2	sniper	7741	6500	2	1	false
3	sniper	7741	968	7	1	false
4	sniper	7741	1353	5	1	false
5	sniper	7741	291	1	1	false
6	sniper	7741	3380	6	1	false
7	sniper	7741	4574	3	1	false
8	sniper	7741	2427	4	1	false
9	sniper	7741	1550	4	1	false
10	sniper	7741	1731	7	1	false
11	sniper	7741	1320	3	1	false
12	sniper	7741	7442	1	1	true
13	sniper	7741	185	3	1	false
14	sniper	7741	6508	0	1	false
15	sniper	7741	1088	3	1	false
16	sniper	7741	3070	6	1	false
17	sniper	7741	2156	0	1	false
18	sniper	7741	286	7	1	false
19	sniper	7741	2824	6	1	false
20	sniper	7741	4426	3	1	true
21	sniper	7741	6807	4	1	false
22	sniper	7741	6625	2	1	true
23	sniper	7741	2464	0	1	false
24	sniper	7741	1416	5	1	false
25	sniper	7741	53	0	1	true
26	sniper	7741	5789	5	1	false
27	sniper	7741	4643	4	1	false
28	sniper	7741	4689	4	1	false
29	sniper	7741	2300	7	1	false
30	sniper	7741	144	1	1	false
31	sniper	7741	1443	3	1	false
32	sniper	7741	7306	0	1	false
33	sniper	7741	7321	0	1	false
34	sniper	7741	7653	4	1	false
35	sniper	7741	6041	7	1	false
36	sniper	7741	7162	6	1	true
37	sniper	7741	7725	5	1	false
38	sniper	7741	4168	6	1	false
39	sniper	7741	3733	0	1	false
40	sniper	7741	7209	7	1	false
41	sniper	7741	352	7	1	false
42	sniper	7741	2419	6	1	false
43	sniper	7741	421	0	1	false
44	sniper	7741	5001	0	1	false
45	sniper	7741	6141	6	1	false
46	sniper	7741	1804	3	1	false
47	sniper	7741	2176	5	1	false
48	sniper	7741	6352	2	1	false
49	sniper	7741	5817	2	1	false
50	sniper	7741	6132	2	1	false
51	sniper	7741	4193	3	1	false
52	sniper	7741	2495	7	1	false
53	sniper	7741	6043	2	1	false
54	sniper	7741	3612	6	1	false
55	sniper	7741	6989	7	1	false
56	sniper	7741	5156	6	1	false
57	sniper	7741	5888	6	1	false
58	sniper	7741	4496	1	1	false
59	sniper	7741	4475	2	1	false
60	sniper	7741	7012	4	1	false
61	sniper	7741	3437	2	1	false
62	sniper	7741	6230	5	1	false
63	sniper	7741	720	7	1	false
64	sniper	7741	4178	0	1	false
65	sniper	7741	3558	0	1	false
66	sniper	7741	1532	3	1	false
67	sniper	7741	2836	7	1	false
68	sniper	7741	242	1	1	false
69	sniper	7741	2204	3	1	false
70	sniper	7741	6660	2	1	false
71	sniper	7741	3548	6	1	false
72	sniper	7741	2308	2	1	false
73	sniper	7741	634	4	1	false
74	sniper	7741	3004	2	1	false
75	sniper	7741	4632	2	1	false
76	sniper	7741	148	0	1	false
77	sniper	7741	2015	4	1	false
78	sniper	7741	3801	2	1	false
79	sniper	7741	6797	4	1	false
80	sniper	7741	6349	2	1	false
81	sniper	7741	5342	3	1	false
82	sniper	7741	6005	0	1	false
83	sniper	7741	1509	2	1	false
84	sniper	7741	1368	2	1	false
85	sniper	7741	2283	3	1	false
86	sniper	7741	2193	6	1	false
87	sniper	7741	7190	6	1	false
88	sniper	7741	2858	0	1	false
89	sniper	7741	6316	5	1	false
90	sniper	7741	740	6	1	false
91	sniper	7741	4183	4	1	false
92	sniper	7741	1573	2	1	false
93	sniper	7741	4002	3	1	false
94	sniper	7741	4	4	1	false
95	sniper	7741	5477	7	1	false
96	sniper	7741	1546	6	1	false
97	sniper	7741	4217	2	1	false
98	sniper	7741	6793	0	1	false
99	sniper	7741	6727	7	1	false
