# seed=42 mode=bolter file=realistic_corpus.br filesize=27280
trial	mode	filesize	off	bit	span	detected
0	bolter	27280	23206	-	1	true
1	bolter	27280	19769	-	1	true
2	bolter	27280	10155	-	1	false
3	bolter	27280	2755	-	1	true
4	bolter	27280	12077	-	1	true
5	bolter	27280	5906	-	1	true
6	bolter	27280	17660	-	1	false
7	bolter	27280	4391	-	1	true
8	bolter	27280	2744	-	1	true
9	bolter	27280	9413	-	1	true
10	bolter	27280	24825	-	1	false
11	bolter	27280	23825	-	1	false
12	bolter	27280	25788	-	1	true
13	bolter	27280	13734	-	1	true
14	bolter	27280	12033	-	1	false
15	bolter	27280	25035	-	1	false
16	bolter	27280	19098	-	1	true
17	bolter	27280	1124	-	1	false
18	bolter	27280	22611	-	1	true
19	bolter	27280	18788	-	1	false
20	bolter	27280	19816	-	1	false
21	bolter	27280	8055	-	1	true
22	bolter	27280	24080	-	1	false
23	bolter	27280	25067	-	1	true
24	bolter	27280	6483	-	1	false
25	bolter	27280	20257	-	1	true
26	bolter	27280	20410	-	1	true
27	bolter	27280	26043	-	1	false
28	bolter	27280	21844	-	1	true
29	bolter	27280	25848	-	1	true
30	bolter	27280	8576	-	1	true
31	bolter	27280	23435	-	1	false
32	bolter	27280	2310	-	1	true
33	bolter	27280	998	-	1	true
34	bolter	27280	8405	-	1	true
35	bolter	27280	16696	-	1	true
36	bolter	27280	25898	-	1	true
37	bolter	27280	19759	-	1	true
38	bolter	27280	11942	-	1	true
39	bolter	27280	7638	-	1	true
40	bolter	27280	24690	-	1	false
41	bolter	27280	20827	-	1	true
42	bolter	27280	3695	-	1	true
43	bolter	27280	19596	-	1	true
44	bolter	27280	3694	-	1	true
45	bolter	27280	26282	-	1	true
46	bolter	27280	17530	-	1	true
47	bolter	27280	9568	-	1	true
48	bolter	27280	7801	-	1	true
49	bolter	27280	581	-	1	true
50	bolter	27280	24726	-	1	false
51	bolter	27280	22808	-	1	false
52	bolter	27280	1874	-	1	true
53	bolter	27280	12485	-	1	true
54	bolter	27280	12802	-	1	true
55	bolter	27280	324	-	1	true
56	bolter	27280	4511	-	1	true
57	bolter	27280	25324	-	1	true
58	bolter	27280	6863	-	1	true
59	bolter	27280	10791	-	1	true
60	bolter	27280	21432	-	1	false
61	bolter	27280	15561	-	1	true
62	bolter	27280	16001	-	1	true
63	bolter	27280	21803	-	1	true
64	bolter	27280	24432	-	1	false
65	bolter	27280	23072	-	1	true
66	bolter	27280	12683	-	1	true
67	bolter	27280	22000	-	1	false
68	bolter	27280	602	-	1	true
69	bolter	27280	4412	-	1	true
70	bolter	27280	3391	-	1	true
71	bolter	27280	6735	-	1	true
72	bolter	27280	22436	-	1	true
73	bolter	27280	24534	-	1	false
74	bolter	27280	18132	-	1	true
75	bolter	27280	5237	-	1	true
76	bolter	27280	4363	-	1	false
77	bolter	27280	10070	-	1	true
78	bolter	27280	23520	-	1	true
79	bolter	27280	13984	-	1	true
80	bolter	27280	14539	-	1	false
81	bolter	27280	18655	-	1	true
82	bolter	27280	23742	-	1	true
83	bolter	27280	4383	-	1	true
84	bolter	27280	2193	-	1	true
85	bolter	27280	15926	-	1	true
86	bolter	27280	3453	-	1	true
87	bolter	27280	23560	-	1	false
88	bolter	27280	25298	-	1	false
89	bolter	27280	7848	-	1	true
90	bolter	27280	22254	-	1	false
91	bolter	27280	4662	-	1	false
92	bolter	27280	4441	-	1	true
93	bolter	27280	25283	-	1	true
94	bolter	27280	25777	-	1	true
95	bolter	27280	22285	-	1	true
96	bolter	27280	22775	-	1	false
97	bolter	27280	13914	-	1	false
98	bolter	27280	941	-	1	true
99	bolter	27280	4770	-	1	true
