# seed=42 mode=shotgun file=realistic_corpus.br filesize=27280
trial	mode	filesize	off	bit	span	detected
0	shotgun	27280	20866	-	4096	true
1	shotgun	27280	22134	-	4096	true
2	shotgun	27280	3944	-	4096	true
3	shotgun	27280	3221	-	4096	true
4	shotgun	27280	6785	-	4096	true
5	shotgun	27280	2989	-	4096	true
6	shotgun	27280	7072	-	4096	true
7	shotgun	27280	3545	-	4096	true
8	shotgun	27280	18921	-	4096	true
9	shotgun	27280	3837	-	4096	true
10	shotgun	27280	12843	-	4096	true
11	shotgun	27280	9780	-	4096	true
12	shotgun	27280	4309	-	4096	true
13	shotgun	27280	20749	-	4096	true
14	shotgun	27280	11093	-	4096	true
15	shotgun	27280	19407	-	4096	true
16	shotgun	27280	12336	-	4096	true
17	shotgun	27280	1458	-	4096	true
18	shotgun	27280	9211	-	4096	true
19	shotgun	27280	4897	-	4096	true
20	shotgun	27280	18133	-	4096	true
21	shotgun	27280	11902	-	4096	true
22	shotgun	27280	22595	-	4096	true
23	shotgun	27280	18202	-	4096	true
24	shotgun	27280	7541	-	4096	true
25	shotgun	27280	11491	-	4096	true
26	shotgun	27280	3546	-	4096	true
27	shotgun	27280	10113	-	4096	true
28	shotgun	27280	6831	-	4096	true
29	shotgun	27280	741	-	4096	true
30	shotgun	27280	5874	-	4096	true
31	shotgun	27280	15296	-	4096	true
32	shotgun	27280	19498	-	4096	true
33	shotgun	27280	10521	-	4096	true
34	shotgun	27280	9398	-	4096	true
35	shotgun	27280	2652	-	4096	true
36	shotgun	27280	14581	-	4096	true
37	shotgun	27280	20680	-	4096	true
38	shotgun	27280	6544	-	4096	true
39	shotgun	27280	4498	-	4096	true
40	shotgun	27280	6226	-	4096	true
41	shotgun	27280	20674	-	4096	true
42	shotgun	27280	10012	-	4096	true
43	shotgun	27280	12708	-	4096	true
44	shotgun	27280	16273	-	4096	true
45	shotgun	27280	3264	-	4096	true
46	shotgun	27280	14393	-	4096	true
47	shotgun	27280	14576	-	4096	true
48	shotgun	27280	9041	-	4096	true
49	shotgun	27280	9182	-	4096	true
50	shotgun	27280	6325	-	4096	true
51	shotgun	27280	15955	-	4096	true
52	shotgun	27280	9181	-	4096	true
53	shotgun	27280	14428	-	4096	true
54	shotgun	27280	13100	-	4096	true
55	shotgun	27280	2120	-	4096	true
56	shotgun	27280	20810	-	4096	true
57	shotgun	27280	20217	-	4096	true
58	shotgun	27280	13382	-	4096	true
59	shotgun	27280	18965	-	4096	true
60	shotgun	27280	4390	-	4096	true
61	shotgun	27280	16215	-	4096	true
62	shotgun	27280	11873	-	4096	true
63	shotgun	27280	627	-	4096	true
64	shotgun	27280	3876	-	4096	true
65	shotgun	27280	18702	-	4096	true
66	shotgun	27280	2518	-	4096	true
67	shotgun	27280	4432	-	4096	true
68	shotgun	27280	639	-	4096	true
69	shotgun	27280	8149	-	4096	true
70	shotgun	27280	8394	-	4096	true
71	shotgun	27280	20477	-	4096	true
72	shotgun	27280	14502	-	4096	true
73	shotgun	27280	13137	-	4096	true
74	shotgun	27280	8197	-	4096	true
75	shotgun	27280	13844	-	4096	true
76	shotgun	27280	13243	-	4096	true
77	shotgun	27280	5147	-	4096	true
78	shotgun	27280	10459	-	4096	true
79	shotgun	27280	11800	-	4096	true
80	shotgun	27280	8295	-	4096	true
81	shotgun	27280	1939	-	4096	true
82	shotgun	27280	12643	-	4096	true
83	shotgun	27280	20751	-	4096	true
84	shotgun	27280	20506	-	4096	true
85	shotgun	27280	19843	-	4096	true
86	shotgun	27280	13950	-	4096	true
87	shotgun	27280	7217	-	4096	true
88	shotgun	27280	4388	-	4096	true
89	shotgun	27280	7643	-	4096	true
90	shotgun	27280	2176	-	4096	true
91	shotgun	27280	4604	-	4096	true
92	shotgun	27280	6981	-	4096	true
93	shotgun	27280	22245	-	4096	true
94	shotgun	27280	21279	-	4096	true
95	shotgun	27280	19098	-	4096	true
96	shotgun	27280	5786	-	4096	true
97	shotgun	27280	6033	-	4096	true
98	shotgun	27280	22483	-	4096	true
99	shotgun	27280	14357	-	4096	true
