# seed=42 mode=bolter file=corpus_xorshift.cab filesize=27343
trial	mode	filesize	off	bit	span	detected
0	bolter	27343	16237	-	1	true
1	bolter	27343	1713	-	1	true
2	bolter	27343	22351	-	1	true
3	bolter	27343	15326	-	1	true
4	bolter	27343	8393	-	1	true
5	bolter	27343	21679	-	1	true
6	bolter	27343	24438	-	1	true
7	bolter	27343	347	-	1	true
8	bolter	27343	25158	-	1	true
9	bolter	27343	24706	-	1	true
10	bolter	27343	18278	-	1	true
11	bolter	27343	18238	-	1	true
12	bolter	27343	25797	-	1	true
13	bolter	27343	24860	-	1	true
14	bolter	27343	27289	-	1	true
15	bolter	27343	19008	-	1	true
16	bolter	27343	17967	-	1	true
17	bolter	27343	23363	-	1	true
18	bolter	27343	24098	-	1	true
19	bolter	27343	17928	-	1	true
20	bolter	27343	13363	-	1	true
21	bolter	27343	20333	-	1	true
22	bolter	27343	1642	-	1	true
23	bolter	27343	11170	-	1	true
24	bolter	27343	12641	-	1	true
25	bolter	27343	14441	-	1	true
26	bolter	27343	127	-	1	true
27	bolter	27343	11757	-	1	true
28	bolter	27343	5652	-	1	true
29	bolter	27343	2278	-	1	true
30	bolter	27343	25206	-	1	true
31	bolter	27343	3010	-	1	true
32	bolter	27343	18711	-	1	true
33	bolter	27343	26620	-	1	true
34	bolter	27343	6710	-	1	true
35	bolter	27343	10596	-	1	true
36	bolter	27343	17327	-	1	true
37	bolter	27343	6532	-	1	true
38	bolter	27343	11384	-	1	true
39	bolter	27343	26361	-	1	true
40	bolter	27343	20396	-	1	true
41	bolter	27343	9922	-	1	true
42	bolter	27343	9636	-	1	true
43	bolter	27343	15911	-	1	true
44	bolter	27343	24874	-	1	true
45	bolter	27343	7010	-	1	true
46	bolter	27343	9831	-	1	true
47	bolter	27343	10863	-	1	true
48	bolter	27343	24456	-	1	true
49	bolter	27343	20402	-	1	true
50	bolter	27343	17600	-	1	true
51	bolter	27343	2079	-	1	true
52	bolter	27343	26816	-	1	true
53	bolter	27343	8151	-	1	true
54	bolter	27343	9817	-	1	true
55	bolter	27343	11697	-	1	true
56	bolter	27343	1383	-	1	true
57	bolter	27343	17597	-	1	true
58	bolter	27343	20288	-	1	true
59	bolter	27343	6211	-	1	true
60	bolter	27343	7250	-	1	true
61	bolter	27343	3563	-	1	true
62	bolter	27343	4036	-	1	true
63	bolter	27343	10632	-	1	true
64	bolter	27343	24137	-	1	true
65	bolter	27343	26619	-	1	true
66	bolter	27343	16714	-	1	true
67	bolter	27343	18780	-	1	true
68	bolter	27343	1689	-	1	true
69	bolter	27343	25108	-	1	true
70	bolter	27343	21654	-	1	true
71	bolter	27343	26904	-	1	true
72	bolter	27343	27	-	1	true
73	bolter	27343	18540	-	1	true
74	bolter	27343	21139	-	1	true
75	bolter	27343	18206	-	1	true
76	bolter	27343	11137	-	1	true
77	bolter	27343	14484	-	1	true
78	bolter	27343	15029	-	1	true
79	bolter	27343	4409	-	1	true
80	bolter	27343	10252	-	1	true
81	bolter	27343	25028	-	1	true
82	bolter	27343	14818	-	1	true
83	bolter	27343	26159	-	1	true
84	bolter	27343	25199	-	1	true
85	bolter	27343	8267	-	1	true
86	bolter	27343	8970	-	1	true
87	bolter	27343	24615	-	1	true
88	bolter	27343	17262	-	1	true
89	bolter	27343	20389	-	1	true
90	bolter	27343	11271	-	1	true
91	bolter	27343	24913	-	1	true
92	bolter	27343	2774	-	1	true
93	bolter	27343	18855	-	1	true
94	bolter	27343	14651	-	1	true
95	bolter	27343	11293	-	1	true
96	bolter	27343	1664	-	1	true
97	bolter	27343	12949	-	1	true
98	bolter	27343	23570	-	1	true
99	bolter	27343	12665	-	1	true
