# seed=42 mode=bolter file=sample.caf filesize=8949
trial	mode	filesize	off	bit	span	detected
0	bolter	8949	8426	-	1	false
1	bolter	8949	665	-	1	false
2	bolter	8949	6852	-	1	false
3	bolter	8949	5832	-	1	false
4	bolter	8949	1557	-	1	false
5	bolter	8949	4867	-	1	false
6	bolter	8949	6834	-	1	false
7	bolter	8949	5300	-	1	false
8	bolter	8949	803	-	1	false
9	bolter	8949	2697	-	1	false
10	bolter	8949	7147	-	1	false
11	bolter	8949	8512	-	1	false
12	bolter	8949	7827	-	1	false
13	bolter	8949	8812	-	1	false
14	bolter	8949	5576	-	1	false
15	bolter	8949	3813	-	1	false
16	bolter	8949	8941	-	1	false
17	bolter	8949	400	-	1	false
18	bolter	8949	3437	-	1	false
19	bolter	8949	6766	-	1	false
20	bolter	8949	1512	-	1	false
21	bolter	8949	4170	-	1	false
22	bolter	8949	8235	-	1	false
23	bolter	8949	4201	-	1	false
24	bolter	8949	8882	-	1	false
25	bolter	8949	6507	-	1	false
26	bolter	8949	7674	-	1	false
27	bolter	8949	7868	-	1	false
28	bolter	8949	7822	-	1	false
29	bolter	8949	8858	-	1	false
30	bolter	8949	1626	-	1	false
31	bolter	8949	2720	-	1	false
32	bolter	8949	5896	-	1	false
33	bolter	8949	3856	-	1	false
34	bolter	8949	2116	-	1	false
35	bolter	8949	4894	-	1	false
36	bolter	8949	4242	-	1	false
37	bolter	8949	3248	-	1	false
38	bolter	8949	6827	-	1	false
39	bolter	8949	4231	-	1	false
40	bolter	8949	470	-	1	false
41	bolter	8949	6264	-	1	false
42	bolter	8949	7605	-	1	false
43	bolter	8949	158	-	1	false
44	bolter	8949	1306	-	1	false
45	bolter	8949	6581	-	1	false
46	bolter	8949	7772	-	1	false
47	bolter	8949	647	-	1	false
48	bolter	8949	684	-	1	false
49	bolter	8949	7506	-	1	false
50	bolter	8949	2088	-	1	false
51	bolter	8949	4157	-	1	false
52	bolter	8949	455	-	1	false
53	bolter	8949	6451	-	1	false
54	bolter	8949	6466	-	1	false
55	bolter	8949	2686	-	1	false
56	bolter	8949	8085	-	1	false
57	bolter	8949	6805	-	1	false
58	bolter	8949	4042	-	1	false
59	bolter	8949	6463	-	1	false
60	bolter	8949	2553	-	1	false
61	bolter	8949	8529	-	1	false
62	bolter	8949	8738	-	1	false
63	bolter	8949	129	-	1	false
64	bolter	8949	8527	-	1	false
65	bolter	8949	7632	-	1	false
66	bolter	8949	2836	-	1	false
67	bolter	8949	8328	-	1	false
68	bolter	8949	2062	-	1	false
69	bolter	8949	5324	-	1	false
70	bolter	8949	3140	-	1	false
71	bolter	8949	2331	-	1	false
72	bolter	8949	6396	-	1	false
73	bolter	8949	3065	-	1	false
74	bolter	8949	6368	-	1	false
75	bolter	8949	5552	-	1	false
76	bolter	8949	2546	-	1	false
77	bolter	8949	6547	-	1	false
78	bolter	8949	1296	-	1	false
79	bolter	8949	8201	-	1	false
80	bolter	8949	8184	-	1	false
81	bolter	8949	1659	-	1	false
82	bolter	8949	4517	-	1	false
83	bolter	8949	6820	-	1	false
84	bolter	8949	5113	-	1	false
85	bolter	8949	5896	-	1	false
86	bolter	8949	1302	-	1	false
87	bolter	8949	7314	-	1	false
88	bolter	8949	8918	-	1	false
89	bolter	8949	2162	-	1	false
90	bolter	8949	8213	-	1	false
91	bolter	8949	8649	-	1	false
92	bolter	8949	6945	-	1	false
93	bolter	8949	6788	-	1	false
94	bolter	8949	3780	-	1	false
95	bolter	8949	8339	-	1	false
96	bolter	8949	6758	-	1	false
97	bolter	8949	2643	-	1	false
98	bolter	8949	6452	-	1	false
99	bolter	8949	4167	-	1	false
