# seed=42 mode=bolter file=sample.cdg filesize=14400
trial	mode	filesize	off	bit	span	detected
0	bolter	14400	8726	-	1	false
1	bolter	14400	5609	-	1	false
2	bolter	14400	9435	-	1	false
3	bolter	14400	5955	-	1	false
4	bolter	14400	11757	-	1	false
5	bolter	14400	10546	-	1	false
6	bolter	14400	9900	-	1	false
7	bolter	14400	3671	-	1	false
8	bolter	14400	7304	-	1	false
9	bolter	14400	693	-	1	false
10	bolter	14400	12505	-	1	false
11	bolter	14400	9025	-	1	false
12	bolter	14400	7068	-	1	false
13	bolter	14400	9814	-	1	false
14	bolter	14400	3473	-	1	false
15	bolter	14400	8235	-	1	false
16	bolter	14400	2458	-	1	false
17	bolter	14400	1924	-	1	false
18	bolter	14400	2531	-	1	false
19	bolter	14400	2308	-	1	false
20	bolter	14400	1416	-	1	false
21	bolter	14400	11415	-	1	false
22	bolter	14400	5520	-	1	false
23	bolter	14400	4267	-	1	false
24	bolter	14400	2243	-	1	false
25	bolter	14400	1377	-	1	false
26	bolter	14400	11370	-	1	false
27	bolter	14400	923	-	1	false
28	bolter	14400	8404	-	1	false
29	bolter	14400	8648	-	1	false
30	bolter	14400	816	-	1	false
31	bolter	14400	8075	-	1	false
32	bolter	14400	13750	-	1	false
33	bolter	14400	11878	-	1	false
34	bolter	14400	12085	-	1	false
35	bolter	14400	2536	-	1	false
36	bolter	14400	3738	-	1	false
37	bolter	14400	13679	-	1	false
38	bolter	14400	8342	-	1	false
39	bolter	14400	13558	-	1	false
40	bolter	14400	8930	-	1	false
41	bolter	14400	6267	-	1	false
42	bolter	14400	11055	-	1	false
43	bolter	14400	11036	-	1	false
44	bolter	14400	14254	-	1	false
45	bolter	14400	602	-	1	false
46	bolter	14400	890	-	1	false
47	bolter	14400	14048	-	1	false
48	bolter	14400	13401	-	1	false
49	bolter	14400	13461	-	1	false
50	bolter	14400	12246	-	1	false
51	bolter	14400	6488	-	1	false
52	bolter	14400	2594	-	1	false
53	bolter	14400	6085	-	1	false
54	bolter	14400	2722	-	1	false
55	bolter	14400	724	-	1	false
56	bolter	14400	8271	-	1	false
57	bolter	14400	1564	-	1	false
58	bolter	14400	943	-	1	false
59	bolter	14400	6151	-	1	false
60	bolter	14400	72	-	1	false
61	bolter	14400	7641	-	1	false
62	bolter	14400	11441	-	1	false
63	bolter	14400	9243	-	1	false
64	bolter	14400	1792	-	1	false
65	bolter	14400	12912	-	1	false
66	bolter	14400	6043	-	1	false
67	bolter	14400	8880	-	1	false
68	bolter	14400	6442	-	1	false
69	bolter	14400	5132	-	1	false
70	bolter	14400	1631	-	1	false
71	bolter	14400	7695	-	1	false
72	bolter	14400	13716	-	1	false
73	bolter	14400	5174	-	1	false
74	bolter	14400	12692	-	1	false
75	bolter	14400	5477	-	1	false
76	bolter	14400	11963	-	1	false
77	bolter	14400	310	-	1	false
78	bolter	14400	0	-	1	false
79	bolter	14400	1664	-	1	false
80	bolter	14400	9339	-	1	false
81	bolter	14400	11775	-	1	false
82	bolter	14400	5822	-	1	false
83	bolter	14400	12223	-	1	false
84	bolter	14400	10513	-	1	false
85	bolter	14400	10246	-	1	false
86	bolter	14400	8733	-	1	false
87	bolter	14400	2520	-	1	false
88	bolter	14400	1778	-	1	false
89	bolter	14400	6968	-	1	false
90	bolter	14400	2654	-	1	false
91	bolter	14400	4182	-	1	false
92	bolter	14400	12681	-	1	false
93	bolter	14400	11363	-	1	false
94	bolter	14400	3057	-	1	false
95	bolter	14400	4445	-	1	false
96	bolter	14400	3815	-	1	false
97	bolter	14400	5754	-	1	false
98	bolter	14400	2861	-	1	false
99	bolter	14400	6930	-	1	false
