# seed=42 mode=shotgun file=sample.cdg filesize=14400
trial	mode	filesize	off	bit	span	detected
0	shotgun	14400	9401	-	4096	false
1	shotgun	14400	5209	-	4096	false
2	shotgun	14400	519	-	4096	false
3	shotgun	14400	9881	-	4096	false
4	shotgun	14400	195	-	4096	true
5	shotgun	14400	4669	-	4096	false
6	shotgun	14400	3957	-	4096	false
7	shotgun	14400	2545	-	4096	false
8	shotgun	14400	3296	-	4096	false
9	shotgun	14400	5267	-	4096	false
10	shotgun	14400	7973	-	4096	false
11	shotgun	14400	8665	-	4096	false
12	shotgun	14400	5119	-	4096	false
13	shotgun	14400	1174	-	4096	false
14	shotgun	14400	7188	-	4096	false
15	shotgun	14400	82	-	4096	false
16	shotgun	14400	646	-	4096	false
17	shotgun	14400	3663	-	4096	false
18	shotgun	14400	996	-	4096	false
19	shotgun	14400	1052	-	4096	false
20	shotgun	14400	28	-	4096	false
21	shotgun	14400	7037	-	4096	false
22	shotgun	14400	10245	-	4096	false
23	shotgun	14400	5082	-	4096	false
24	shotgun	14400	4151	-	4096	false
25	shotgun	14400	1366	-	4096	false
26	shotgun	14400	9431	-	4096	false
27	shotgun	14400	8833	-	4096	false
28	shotgun	14400	1116	-	4096	false
29	shotgun	14400	641	-	4096	false
30	shotgun	14400	8564	-	4096	false
31	shotgun	14400	966	-	4096	false
32	shotgun	14400	4348	-	4096	false
33	shotgun	14400	2176	-	4096	false
34	shotgun	14400	6843	-	4096	false
35	shotgun	14400	677	-	4096	false
36	shotgun	14400	101	-	4096	true
37	shotgun	14400	1395	-	4096	false
38	shotgun	14400	5364	-	4096	false
39	shotgun	14400	4478	-	4096	false
40	shotgun	14400	746	-	4096	false
41	shotgun	14400	6834	-	4096	false
42	shotgun	14400	8392	-	4096	false
43	shotgun	14400	5298	-	4096	false
44	shotgun	14400	1978	-	4096	false
45	shotgun	14400	2694	-	4096	false
46	shotgun	14400	3243	-	4096	false
47	shotgun	14400	2571	-	4096	false
48	shotgun	14400	5336	-	4096	false
49	shotgun	14400	5252	-	4096	false
50	shotgun	14400	5165	-	4096	false
51	shotgun	14400	165	-	4096	false
52	shotgun	14400	5326	-	4096	false
53	shotgun	14400	4688	-	4096	false
54	shotgun	14400	4780	-	4096	false
55	shotgun	14400	130	-	4096	false
56	shotgun	14400	145	-	4096	false
57	shotgun	14400	3687	-	4096	false
58	shotgun	14400	9067	-	4096	false
59	shotgun	14400	9110	-	4096	false
60	shotgun	14400	5295	-	4096	false
61	shotgun	14400	5080	-	4096	false
62	shotgun	14400	2443	-	4096	false
63	shotgun	14400	742	-	4096	false
64	shotgun	14400	8481	-	4096	false
65	shotgun	14400	4137	-	4096	false
66	shotgun	14400	8033	-	4096	false
67	shotgun	14400	4447	-	4096	false
68	shotgun	14400	3609	-	4096	false
69	shotgun	14400	424	-	4096	false
70	shotgun	14400	5799	-	4096	false
71	shotgun	14400	3372	-	4096	false
72	shotgun	14400	5317	-	4096	false
73	shotgun	14400	9922	-	4096	false
74	shotgun	14400	4717	-	4096	false
75	shotgun	14400	5359	-	4096	false
76	shotgun	14400	8858	-	4096	false
77	shotgun	14400	8317	-	4096	false
78	shotgun	14400	2939	-	4096	false
79	shotgun	14400	1950	-	4096	false
80	shotgun	14400	4980	-	4096	false
81	shotgun	14400	5474	-	4096	false
82	shotgun	14400	6353	-	4096	false
83	shotgun	14400	10116	-	4096	false
84	shotgun	14400	2991	-	4096	false
85	shotgun	14400	1278	-	4096	false
86	shotgun	14400	5375	-	4096	false
87	shotgun	14400	7317	-	4096	false
88	shotgun	14400	6358	-	4096	false
89	shotgun	14400	8708	-	4096	false
90	shotgun	14400	1881	-	4096	false
91	shotgun	14400	3274	-	4096	false
92	shotgun	14400	7636	-	4096	false
93	shotgun	14400	10035	-	4096	false
94	shotgun	14400	579	-	4096	false
95	shotgun	14400	5953	-	4096	false
96	shotgun	14400	8061	-	4096	false
97	shotgun	14400	5043	-	4096	false
98	shotgun	14400	2913	-	4096	false
99	shotgun	14400	1662	-	4096	false
