# seed=42 mode=bolter file=sample.cpt filesize=19731
trial	mode	filesize	off	bit	span	detected
0	bolter	19731	863	-	1	true
1	bolter	19731	12092	-	1	true
2	bolter	19731	771	-	1	true
3	bolter	19731	17925	-	1	true
4	bolter	19731	6402	-	1	true
5	bolter	19731	7162	-	1	true
6	bolter	19731	18999	-	1	true
7	bolter	19731	14792	-	1	true
8	bolter	19731	4784	-	1	true
9	bolter	19731	13434	-	1	true
10	bolter	19731	11083	-	1	true
11	bolter	19731	16402	-	1	true
12	bolter	19731	14337	-	1	true
13	bolter	19731	14434	-	1	true
14	bolter	19731	1745	-	1	true
15	bolter	19731	19281	-	1	true
16	bolter	19731	5425	-	1	true
17	bolter	19731	6328	-	1	true
18	bolter	19731	2330	-	1	true
19	bolter	19731	12130	-	1	true
20	bolter	19731	8097	-	1	true
21	bolter	19731	1503	-	1	true
22	bolter	19731	4710	-	1	true
23	bolter	19731	12568	-	1	true
24	bolter	19731	956	-	1	true
25	bolter	19731	11313	-	1	true
26	bolter	19731	13620	-	1	true
27	bolter	19731	16355	-	1	true
28	bolter	19731	6865	-	1	true
29	bolter	19731	6866	-	1	true
30	bolter	19731	18480	-	1	true
31	bolter	19731	3608	-	1	true
32	bolter	19731	11476	-	1	true
33	bolter	19731	8059	-	1	true
34	bolter	19731	12556	-	1	true
35	bolter	19731	14824	-	1	true
36	bolter	19731	3276	-	1	true
37	bolter	19731	15131	-	1	true
38	bolter	19731	9239	-	1	true
39	bolter	19731	12544	-	1	true
40	bolter	19731	7934	-	1	true
41	bolter	19731	18255	-	1	true
42	bolter	19731	2154	-	1	true
43	bolter	19731	13784	-	1	true
44	bolter	19731	3838	-	1	true
45	bolter	19731	12755	-	1	true
46	bolter	19731	4724	-	1	true
47	bolter	19731	2075	-	1	true
48	bolter	19731	14658	-	1	true
49	bolter	19731	13281	-	1	true
50	bolter	19731	2376	-	1	true
51	bolter	19731	10601	-	1	true
52	bolter	19731	5279	-	1	true
53	bolter	19731	11806	-	1	true
54	bolter	19731	16414	-	1	true
55	bolter	19731	157	-	1	true
56	bolter	19731	6798	-	1	true
57	bolter	19731	12805	-	1	true
58	bolter	19731	14506	-	1	true
59	bolter	19731	13465	-	1	true
60	bolter	19731	9552	-	1	true
61	bolter	19731	9795	-	1	true
62	bolter	19731	1133	-	1	true
63	bolter	19731	10500	-	1	true
64	bolter	19731	7186	-	1	true
65	bolter	19731	18744	-	1	true
66	bolter	19731	14020	-	1	true
67	bolter	19731	12255	-	1	true
68	bolter	19731	18007	-	1	true
69	bolter	19731	3641	-	1	true
70	bolter	19731	10514	-	1	true
71	bolter	19731	19149	-	1	true
72	bolter	19731	3699	-	1	true
73	bolter	19731	2579	-	1	true
74	bolter	19731	13463	-	1	true
75	bolter	19731	12461	-	1	true
76	bolter	19731	16220	-	1	true
77	bolter	19731	3859	-	1	true
78	bolter	19731	1890	-	1	true
79	bolter	19731	17954	-	1	true
80	bolter	19731	11322	-	1	true
81	bolter	19731	7302	-	1	true
82	bolter	19731	3905	-	1	true
83	bolter	19731	1945	-	1	true
84	bolter	19731	11386	-	1	true
85	bolter	19731	13873	-	1	true
86	bolter	19731	10419	-	1	true
87	bolter	19731	17058	-	1	true
88	bolter	19731	3950	-	1	true
89	bolter	19731	14366	-	1	true
90	bolter	19731	6332	-	1	true
91	bolter	19731	960	-	1	true
92	bolter	19731	2772	-	1	true
93	bolter	19731	9734	-	1	true
94	bolter	19731	2997	-	1	true
95	bolter	19731	12281	-	1	true
96	bolter	19731	6404	-	1	true
97	bolter	19731	16410	-	1	true
98	bolter	19731	16886	-	1	true
99	bolter	19731	12435	-	1	true
