# seed=42 mode=shotgun file=sample.cpt filesize=19731
trial	mode	filesize	off	bit	span	detected
0	shotgun	19731	4358	-	4096	true
1	shotgun	19731	8095	-	4096	true
2	shotgun	19731	14907	-	4096	true
3	shotgun	19731	8816	-	4096	true
4	shotgun	19731	11493	-	4096	true
5	shotgun	19731	11758	-	4096	true
6	shotgun	19731	9741	-	4096	true
7	shotgun	19731	11434	-	4096	true
8	shotgun	19731	9635	-	4096	true
9	shotgun	19731	12902	-	4096	true
10	shotgun	19731	12353	-	4096	true
11	shotgun	19731	13489	-	4096	true
12	shotgun	19731	2533	-	4096	true
13	shotgun	19731	10030	-	4096	true
14	shotgun	19731	9900	-	4096	true
15	shotgun	19731	4207	-	4096	true
16	shotgun	19731	12037	-	4096	true
17	shotgun	19731	4638	-	4096	true
18	shotgun	19731	7293	-	4096	true
19	shotgun	19731	14111	-	4096	true
20	shotgun	19731	14803	-	4096	true
21	shotgun	19731	6296	-	4096	true
22	shotgun	19731	15387	-	4096	true
23	shotgun	19731	13023	-	4096	true
24	shotgun	19731	11987	-	4096	true
25	shotgun	19731	3739	-	4096	true
26	shotgun	19731	6827	-	4096	true
27	shotgun	19731	4405	-	4096	true
28	shotgun	19731	14805	-	4096	true
29	shotgun	19731	13091	-	4096	true
30	shotgun	19731	9995	-	4096	true
31	shotgun	19731	15117	-	4096	true
32	shotgun	19731	4987	-	4096	true
33	shotgun	19731	14995	-	4096	true
34	shotgun	19731	13683	-	4096	true
35	shotgun	19731	1064	-	4096	true
36	shotgun	19731	13814	-	4096	true
37	shotgun	19731	2637	-	4096	true
38	shotgun	19731	4791	-	4096	true
39	shotgun	19731	13574	-	4096	true
40	shotgun	19731	1808	-	4096	true
41	shotgun	19731	5709	-	4096	true
42	shotgun	19731	7807	-	4096	true
43	shotgun	19731	828	-	4096	true
44	shotgun	19731	7072	-	4096	true
45	shotgun	19731	11211	-	4096	true
46	shotgun	19731	873	-	4096	true
47	shotgun	19731	10122	-	4096	true
48	shotgun	19731	4229	-	4096	true
49	shotgun	19731	1442	-	4096	true
50	shotgun	19731	9467	-	4096	true
51	shotgun	19731	11379	-	4096	true
52	shotgun	19731	7375	-	4096	true
53	shotgun	19731	1733	-	4096	true
54	shotgun	19731	15346	-	4096	true
55	shotgun	19731	12769	-	4096	true
56	shotgun	19731	12241	-	4096	true
57	shotgun	19731	9657	-	4096	true
58	shotgun	19731	15097	-	4096	true
59	shotgun	19731	5435	-	4096	true
60	shotgun	19731	11436	-	4096	true
61	shotgun	19731	15538	-	4096	true
62	shotgun	19731	13879	-	4096	true
63	shotgun	19731	15013	-	4096	true
64	shotgun	19731	360	-	4096	true
65	shotgun	19731	13692	-	4096	true
66	shotgun	19731	15479	-	4096	true
67	shotgun	19731	10087	-	4096	true
68	shotgun	19731	8742	-	4096	true
69	shotgun	19731	7081	-	4096	true
70	shotgun	19731	6078	-	4096	true
71	shotgun	19731	3579	-	4096	true
72	shotgun	19731	8026	-	4096	true
73	shotgun	19731	7168	-	4096	true
74	shotgun	19731	15601	-	4096	true
75	shotgun	19731	12274	-	4096	true
76	shotgun	19731	11687	-	4096	true
77	shotgun	19731	4450	-	4096	true
78	shotgun	19731	10862	-	4096	true
79	shotgun	19731	5538	-	4096	true
80	shotgun	19731	3210	-	4096	true
81	shotgun	19731	8471	-	4096	true
82	shotgun	19731	3902	-	4096	true
83	shotgun	19731	1497	-	4096	true
84	shotgun	19731	7014	-	4096	true
85	shotgun	19731	14931	-	4096	true
86	shotgun	19731	8726	-	4096	true
87	shotgun	19731	10176	-	4096	true
88	shotgun	19731	979	-	4096	true
89	shotgun	19731	7814	-	4096	true
90	shotgun	19731	3663	-	4096	true
91	shotgun	19731	2434	-	4096	true
92	shotgun	19731	6715	-	4096	true
93	shotgun	19731	14313	-	4096	true
94	shotgun	19731	13704	-	4096	true
95	shotgun	19731	2767	-	4096	true
96	shotgun	19731	14586	-	4096	true
97	shotgun	19731	11811	-	4096	true
98	shotgun	19731	15018	-	4096	true
99	shotgun	19731	4986	-	4096	true
