# seed=42 mode=bolter file=canon_eos_40d_sraw2.cr2 filesize=5805950
trial	mode	filesize	off	bit	span	detected
0	bolter	5805950	2118076	-	1	false
1	bolter	5805950	1632659	-	1	false
2	bolter	5805950	2871985	-	1	false
3	bolter	5805950	5068555	-	1	false
4	bolter	5805950	5492407	-	1	false
5	bolter	5805950	3932046	-	1	false
6	bolter	5805950	4930500	-	1	false
7	bolter	5805950	1184171	-	1	false
8	bolter	5805950	1176654	-	1	false
9	bolter	5805950	465143	-	1	false
10	bolter	5805950	3409905	-	1	false
11	bolter	5805950	903125	-	1	false
12	bolter	5805950	2074368	-	1	false
13	bolter	5805950	221364	-	1	false
14	bolter	5805950	3657723	-	1	false
15	bolter	5805950	1617985	-	1	false
16	bolter	5805950	602858	-	1	false
17	bolter	5805950	4738624	-	1	false
18	bolter	5805950	2238781	-	1	false
19	bolter	5805950	4818208	-	1	false
20	bolter	5805950	2167516	-	1	false
21	bolter	5805950	1066365	-	1	false
22	bolter	5805950	1063470	-	1	false
23	bolter	5805950	2525467	-	1	false
24	bolter	5805950	1957443	-	1	false
25	bolter	5805950	3193427	-	1	false
26	bolter	5805950	630970	-	1	false
27	bolter	5805950	481373	-	1	false
28	bolter	5805950	3459604	-	1	false
29	bolter	5805950	5357098	-	1	false
30	bolter	5805950	322666	-	1	false
31	bolter	5805950	5608025	-	1	false
32	bolter	5805950	149900	-	1	false
33	bolter	5805950	4451478	-	1	false
34	bolter	5805950	4275985	-	1	false
35	bolter	5805950	4576536	-	1	false
36	bolter	5805950	5513488	-	1	false
37	bolter	5805950	35329	-	1	false
38	bolter	5805950	2306042	-	1	false
39	bolter	5805950	3198308	-	1	false
40	bolter	5805950	1768830	-	1	false
41	bolter	5805950	28967	-	1	false
42	bolter	5805950	1764155	-	1	false
43	bolter	5805950	2811936	-	1	false
44	bolter	5805950	5180954	-	1	false
45	bolter	5805950	588152	-	1	false
46	bolter	5805950	5602440	-	1	false
47	bolter	5805950	1329648	-	1	false
48	bolter	5805950	3256951	-	1	false
49	bolter	5805950	2772211	-	1	false
50	bolter	5805950	3974396	-	1	false
51	bolter	5805950	4902038	-	1	false
52	bolter	5805950	1905544	-	1	false
53	bolter	5805950	1508285	-	1	false
54	bolter	5805950	4393472	-	1	false
55	bolter	5805950	5356824	-	1	false
56	bolter	5805950	3030571	-	1	false
57	bolter	5805950	1992314	-	1	false
58	bolter	5805950	3533193	-	1	false
59	bolter	5805950	3276501	-	1	false
60	bolter	5805950	4271022	-	1	false
61	bolter	5805950	1580841	-	1	false
62	bolter	5805950	3286791	-	1	false
63	bolter	5805950	2893	-	1	false
64	bolter	5805950	4123092	-	1	false
65	bolter	5805950	5575612	-	1	false
66	bolter	5805950	204443	-	1	false
67	bolter	5805950	2575380	-	1	false
68	bolter	5805950	2883692	-	1	false
69	bolter	5805950	800782	-	1	false
70	bolter	5805950	1815681	-	1	false
71	bolter	5805950	4642545	-	1	false
72	bolter	5805950	4907366	-	1	false
73	bolter	5805950	3027924	-	1	false
74	bolter	5805950	5565842	-	1	false
75	bolter	5805950	308227	-	1	false
76	bolter	5805950	4596863	-	1	false
77	bolter	5805950	4226760	-	1	false
78	bolter	5805950	3252350	-	1	false
79	bolter	5805950	4388164	-	1	false
80	bolter	5805950	3647089	-	1	false
81	bolter	5805950	1704875	-	1	false
82	bolter	5805950	2804122	-	1	false
83	bolter	5805950	2385573	-	1	false
84	bolter	5805950	520063	-	1	false
85	bolter	5805950	338296	-	1	true
86	bolter	5805950	2478833	-	1	false
87	bolter	5805950	838620	-	1	false
88	bolter	5805950	3789478	-	1	false
89	bolter	5805950	705418	-	1	false
90	bolter	5805950	2154254	-	1	false
91	bolter	5805950	376582	-	1	false
92	bolter	5805950	2674131	-	1	false
93	bolter	5805950	1762463	-	1	false
94	bolter	5805950	1393307	-	1	false
95	bolter	5805950	695845	-	1	false
96	bolter	5805950	1399765	-	1	false
97	bolter	5805950	4432104	-	1	false
98	bolter	5805950	910111	-	1	false
99	bolter	5805950	557030	-	1	false
