# seed=42 mode=shotgun file=large_utf8.csv filesize=24275
trial	mode	filesize	off	bit	span	detected
0	shotgun	24275	12806	-	4096	true
1	shotgun	24275	4819	-	4096	true
2	shotgun	24275	859	-	4096	true
3	shotgun	24275	13416	-	4096	true
4	shotgun	24275	7845	-	4096	true
5	shotgun	24275	9914	-	4096	true
6	shotgun	24275	6797	-	4096	true
7	shotgun	24275	3410	-	4096	true
8	shotgun	24275	331	-	4096	true
9	shotgun	24275	16202	-	4096	true
10	shotgun	24275	153	-	4096	true
11	shotgun	24275	14685	-	4096	true
12	shotgun	24275	10489	-	4096	true
13	shotgun	24275	6234	-	4096	true
14	shotgun	24275	19488	-	4096	true
15	shotgun	24275	2167	-	4096	true
16	shotgun	24275	10221	-	4096	true
17	shotgun	24275	9238	-	4096	true
18	shotgun	24275	19381	-	4096	true
19	shotgun	24275	6967	-	4096	true
20	shotgun	24275	5083	-	4096	true
21	shotgun	24275	15952	-	4096	true
22	shotgun	24275	3755	-	4096	true
23	shotgun	24275	1007	-	4096	true
24	shotgun	24275	1731	-	4096	true
25	shotgun	24275	16171	-	4096	true
26	shotgun	24275	12591	-	4096	true
27	shotgun	24275	12553	-	4096	true
28	shotgun	24275	19881	-	4096	true
29	shotgun	24275	15751	-	4096	true
30	shotgun	24275	559	-	4096	true
31	shotgun	24275	7581	-	4096	true
32	shotgun	24275	3403	-	4096	true
33	shotgun	24275	16131	-	4096	true
34	shotgun	24275	6363	-	4096	true
35	shotgun	24275	8752	-	4096	true
36	shotgun	24275	17846	-	4096	true
37	shotgun	24275	5465	-	4096	true
38	shotgun	24275	12199	-	4096	true
39	shotgun	24275	13478	-	4096	true
40	shotgun	24275	5756	-	4096	true
41	shotgun	24275	769	-	4096	true
42	shotgun	24275	17507	-	4096	true
43	shotgun	24275	6648	-	4096	true
44	shotgun	24275	2488	-	4096	true
45	shotgun	24275	14859	-	4096	true
46	shotgun	24275	17173	-	4096	true
47	shotgun	24275	14546	-	4096	true
48	shotgun	24275	5381	-	4096	true
49	shotgun	24275	9882	-	4096	true
50	shotgun	24275	6715	-	4096	true
51	shotgun	24275	9975	-	4096	true
52	shotgun	24275	11331	-	4096	true
53	shotgun	24275	4253	-	4096	true
54	shotgun	24275	15870	-	4096	true
55	shotgun	24275	15085	-	4096	true
56	shotgun	24275	6405	-	4096	true
57	shotgun	24275	11557	-	4096	true
58	shotgun	24275	6237	-	4096	true
59	shotgun	24275	4055	-	4096	true
60	shotgun	24275	12620	-	4096	true
61	shotgun	24275	530	-	4096	true
62	shotgun	24275	3183	-	4096	true
63	shotgun	24275	15637	-	4096	true
64	shotgun	24275	3696	-	4096	true
65	shotgun	24275	3632	-	4096	true
66	shotgun	24275	15643	-	4096	true
67	shotgun	24275	16487	-	4096	true
68	shotgun	24275	15514	-	4096	true
69	shotgun	24275	6129	-	4096	true
70	shotgun	24275	14934	-	4096	true
71	shotgun	24275	2827	-	4096	true
72	shotgun	24275	18322	-	4096	true
73	shotgun	24275	3152	-	4096	true
74	shotgun	24275	17577	-	4096	true
75	shotgun	24275	3114	-	4096	true
76	shotgun	24275	13503	-	4096	true
77	shotgun	24275	12442	-	4096	true
78	shotgun	24275	12994	-	4096	true
79	shotgun	24275	16650	-	4096	true
80	shotgun	24275	12950	-	4096	true
81	shotgun	24275	9159	-	4096	true
82	shotgun	24275	7818	-	4096	true
83	shotgun	24275	2201	-	4096	true
84	shotgun	24275	16706	-	4096	true
85	shotgun	24275	17743	-	4096	true
86	shotgun	24275	13370	-	4096	true
87	shotgun	24275	12192	-	4096	true
88	shotgun	24275	15283	-	4096	true
89	shotgun	24275	3618	-	4096	true
90	shotgun	24275	12811	-	4096	true
91	shotgun	24275	10074	-	4096	true
92	shotgun	24275	17371	-	4096	true
93	shotgun	24275	3345	-	4096	true
94	shotgun	24275	16224	-	4096	true
95	shotgun	24275	3483	-	4096	true
96	shotgun	24275	18326	-	4096	true
97	shotgun	24275	9163	-	4096	true
98	shotgun	24275	19278	-	4096	true
99	shotgun	24275	19522	-	4096	true
