# seed=42 mode=bolter file=sample.dbf filesize=21394
trial	mode	filesize	off	bit	span	detected
0	bolter	21394	3448	-	1	false
1	bolter	21394	8607	-	1	false
2	bolter	21394	15801	-	1	false
3	bolter	21394	17517	-	1	false
4	bolter	21394	14553	-	1	false
5	bolter	21394	4392	-	1	false
6	bolter	21394	3718	-	1	false
7	bolter	21394	11285	-	1	false
8	bolter	21394	14274	-	1	false
9	bolter	21394	8473	-	1	false
10	bolter	21394	13683	-	1	false
11	bolter	21394	2109	-	1	false
12	bolter	21394	17954	-	1	false
13	bolter	21394	2618	-	1	false
14	bolter	21394	12397	-	1	false
15	bolter	21394	1305	-	1	false
16	bolter	21394	19334	-	1	false
17	bolter	21394	13814	-	1	false
18	bolter	21394	1537	-	1	false
19	bolter	21394	9844	-	1	false
20	bolter	21394	10936	-	1	false
21	bolter	21394	9851	-	1	false
22	bolter	21394	18818	-	1	false
23	bolter	21394	667	-	1	false
24	bolter	21394	351	-	1	false
25	bolter	21394	655	-	1	false
26	bolter	21394	9992	-	1	false
27	bolter	21394	18451	-	1	false
28	bolter	21394	9836	-	1	false
29	bolter	21394	12544	-	1	false
30	bolter	21394	11126	-	1	false
31	bolter	21394	8781	-	1	false
32	bolter	21394	4072	-	1	false
33	bolter	21394	11456	-	1	false
34	bolter	21394	17183	-	1	false
35	bolter	21394	16180	-	1	false
36	bolter	21394	11804	-	1	false
37	bolter	21394	16225	-	1	false
38	bolter	21394	14294	-	1	false
39	bolter	21394	4326	-	1	false
40	bolter	21394	8222	-	1	false
41	bolter	21394	6055	-	1	false
42	bolter	21394	21019	-	1	false
43	bolter	21394	10532	-	1	false
44	bolter	21394	12326	-	1	false
45	bolter	21394	20850	-	1	false
46	bolter	21394	21034	-	1	false
47	bolter	21394	10698	-	1	false
48	bolter	21394	18525	-	1	false
49	bolter	21394	11135	-	1	false
50	bolter	21394	11854	-	1	false
51	bolter	21394	7140	-	1	false
52	bolter	21394	18220	-	1	false
53	bolter	21394	20359	-	1	false
54	bolter	21394	11786	-	1	false
55	bolter	21394	11312	-	1	false
56	bolter	21394	21081	-	1	false
57	bolter	21394	16134	-	1	false
58	bolter	21394	15005	-	1	false
59	bolter	21394	20789	-	1	false
60	bolter	21394	10742	-	1	false
61	bolter	21394	8719	-	1	false
62	bolter	21394	16091	-	1	false
63	bolter	21394	1383	-	1	false
64	bolter	21394	9420	-	1	false
65	bolter	21394	1172	-	1	false
66	bolter	21394	3007	-	1	false
67	bolter	21394	20222	-	1	false
68	bolter	21394	5026	-	1	false
69	bolter	21394	460	-	1	false
70	bolter	21394	20753	-	1	false
71	bolter	21394	7119	-	1	false
72	bolter	21394	17112	-	1	false
73	bolter	21394	16802	-	1	false
74	bolter	21394	1048	-	1	false
75	bolter	21394	10587	-	1	false
76	bolter	21394	1919	-	1	false
77	bolter	21394	14432	-	1	false
78	bolter	21394	9694	-	1	false
79	bolter	21394	18746	-	1	false
80	bolter	21394	6683	-	1	false
81	bolter	21394	14579	-	1	false
82	bolter	21394	10350	-	1	false
83	bolter	21394	20899	-	1	false
84	bolter	21394	14613	-	1	false
85	bolter	21394	7416	-	1	false
86	bolter	21394	19181	-	1	false
87	bolter	21394	5034	-	1	false
88	bolter	21394	2724	-	1	false
89	bolter	21394	1706	-	1	false
90	bolter	21394	21228	-	1	false
91	bolter	21394	19688	-	1	false
92	bolter	21394	7781	-	1	false
93	bolter	21394	6085	-	1	false
94	bolter	21394	2811	-	1	false
95	bolter	21394	10961	-	1	false
96	bolter	21394	14035	-	1	false
97	bolter	21394	8856	-	1	false
98	bolter	21394	14527	-	1	false
99	bolter	21394	16156	-	1	false
