# seed=42 mode=shotgun file=sample.dbf filesize=21394
trial	mode	filesize	off	bit	span	detected
0	shotgun	21394	7604	-	4096	true
1	shotgun	21394	9229	-	4096	true
2	shotgun	21394	9848	-	4096	true
3	shotgun	21394	9077	-	4096	true
4	shotgun	21394	3371	-	4096	true
5	shotgun	21394	9141	-	4096	true
6	shotgun	21394	9879	-	4096	true
7	shotgun	21394	522	-	4096	true
8	shotgun	21394	16781	-	4096	true
9	shotgun	21394	6456	-	4096	true
10	shotgun	21394	6133	-	4096	true
11	shotgun	21394	10044	-	4096	true
12	shotgun	21394	3785	-	4096	true
13	shotgun	21394	15541	-	4096	true
14	shotgun	21394	10563	-	4096	true
15	shotgun	21394	6928	-	4096	true
16	shotgun	21394	16748	-	4096	true
17	shotgun	21394	399	-	4096	true
18	shotgun	21394	5479	-	4096	true
19	shotgun	21394	16854	-	4096	true
20	shotgun	21394	1160	-	4096	true
21	shotgun	21394	9400	-	4096	true
22	shotgun	21394	1205	-	4096	true
23	shotgun	21394	13500	-	4096	true
24	shotgun	21394	14735	-	4096	true
25	shotgun	21394	14492	-	4096	true
26	shotgun	21394	10192	-	4096	true
27	shotgun	21394	9317	-	4096	true
28	shotgun	21394	776	-	4096	true
29	shotgun	21394	4945	-	4096	true
30	shotgun	21394	9940	-	4096	true
31	shotgun	21394	13937	-	4096	true
32	shotgun	21394	8291	-	4096	true
33	shotgun	21394	16891	-	4096	true
34	shotgun	21394	11571	-	4096	true
35	shotgun	21394	4472	-	4096	true
36	shotgun	21394	13217	-	4096	true
37	shotgun	21394	3643	-	4096	true
38	shotgun	21394	5991	-	4096	true
39	shotgun	21394	14624	-	4096	true
40	shotgun	21394	15104	-	4096	true
41	shotgun	21394	10722	-	4096	true
42	shotgun	21394	8385	-	4096	true
43	shotgun	21394	1891	-	4096	true
44	shotgun	21394	17136	-	4096	true
45	shotgun	21394	8334	-	4096	true
46	shotgun	21394	8018	-	4096	true
47	shotgun	21394	4628	-	4096	true
48	shotgun	21394	2410	-	4096	true
49	shotgun	21394	15105	-	4096	true
50	shotgun	21394	2446	-	4096	true
51	shotgun	21394	2440	-	4096	true
52	shotgun	21394	8994	-	4096	true
53	shotgun	21394	9062	-	4096	true
54	shotgun	21394	7011	-	4096	true
55	shotgun	21394	3955	-	4096	true
56	shotgun	21394	7854	-	4096	true
57	shotgun	21394	10692	-	4096	true
58	shotgun	21394	5483	-	4096	true
59	shotgun	21394	4523	-	4096	true
60	shotgun	21394	15687	-	4096	true
61	shotgun	21394	2979	-	4096	true
62	shotgun	21394	430	-	4096	true
63	shotgun	21394	13569	-	4096	true
64	shotgun	21394	2345	-	4096	true
65	shotgun	21394	9302	-	4096	true
66	shotgun	21394	9111	-	4096	true
67	shotgun	21394	1972	-	4096	true
68	shotgun	21394	7903	-	4096	true
69	shotgun	21394	13123	-	4096	true
70	shotgun	21394	4672	-	4096	true
71	shotgun	21394	3944	-	4096	true
72	shotgun	21394	31	-	4096	true
73	shotgun	21394	1871	-	4096	true
74	shotgun	21394	16580	-	4096	true
75	shotgun	21394	9186	-	4096	true
76	shotgun	21394	15616	-	4096	true
77	shotgun	21394	6753	-	4096	true
78	shotgun	21394	12470	-	4096	true
79	shotgun	21394	15258	-	4096	true
80	shotgun	21394	10800	-	4096	true
81	shotgun	21394	8727	-	4096	true
82	shotgun	21394	16528	-	4096	true
83	shotgun	21394	15697	-	4096	true
84	shotgun	21394	16929	-	4096	true
85	shotgun	21394	12992	-	4096	true
86	shotgun	21394	701	-	4096	true
87	shotgun	21394	1408	-	4096	true
88	shotgun	21394	759	-	4096	true
89	shotgun	21394	11880	-	4096	true
90	shotgun	21394	6328	-	4096	true
91	shotgun	21394	5467	-	4096	true
92	shotgun	21394	16212	-	4096	true
93	shotgun	21394	1919	-	4096	true
94	shotgun	21394	4634	-	4096	true
95	shotgun	21394	7111	-	4096	true
96	shotgun	21394	10638	-	4096	true
97	shotgun	21394	14222	-	4096	true
98	shotgun	21394	8493	-	4096	true
99	shotgun	21394	3179	-	4096	true
