# seed=42 mode=bolter file=CT_small.dcm filesize=39206
trial	mode	filesize	off	bit	span	detected
0	bolter	39206	28964	-	1	false
1	bolter	39206	36409	-	1	false
2	bolter	39206	18895	-	1	false
3	bolter	39206	23031	-	1	false
4	bolter	39206	27353	-	1	false
5	bolter	39206	37614	-	1	false
6	bolter	39206	26694	-	1	false
7	bolter	39206	30383	-	1	false
8	bolter	39206	14098	-	1	false
9	bolter	39206	36981	-	1	false
10	bolter	39206	9595	-	1	false
11	bolter	39206	13707	-	1	false
12	bolter	39206	19560	-	1	false
13	bolter	39206	5328	-	1	false
14	bolter	39206	25999	-	1	false
15	bolter	39206	2581	-	1	false
16	bolter	39206	11532	-	1	false
17	bolter	39206	38850	-	1	false
18	bolter	39206	35377	-	1	false
19	bolter	39206	6572	-	1	false
20	bolter	39206	4802	-	1	false
21	bolter	39206	22147	-	1	false
22	bolter	39206	32740	-	1	false
23	bolter	39206	34269	-	1	false
24	bolter	39206	381	-	1	true
25	bolter	39206	8615	-	1	false
26	bolter	39206	4034	-	1	false
27	bolter	39206	3933	-	1	false
28	bolter	39206	5880	-	1	false
29	bolter	39206	24228	-	1	false
30	bolter	39206	18776	-	1	false
31	bolter	39206	17169	-	1	false
32	bolter	39206	20728	-	1	false
33	bolter	39206	35948	-	1	false
34	bolter	39206	31937	-	1	false
35	bolter	39206	2384	-	1	true
36	bolter	39206	3742	-	1	true
37	bolter	39206	35555	-	1	false
38	bolter	39206	15998	-	1	false
39	bolter	39206	35706	-	1	false
40	bolter	39206	1594	-	1	true
41	bolter	39206	29957	-	1	false
42	bolter	39206	13823	-	1	false
43	bolter	39206	6100	-	1	true
44	bolter	39206	3514	-	1	true
45	bolter	39206	9190	-	1	false
46	bolter	39206	35324	-	1	false
47	bolter	39206	34412	-	1	false
48	bolter	39206	17017	-	1	false
49	bolter	39206	23251	-	1	false
50	bolter	39206	5194	-	1	false
51	bolter	39206	17970	-	1	false
52	bolter	39206	14260	-	1	false
53	bolter	39206	33385	-	1	false
54	bolter	39206	1456	-	1	false
55	bolter	39206	29934	-	1	false
56	bolter	39206	10541	-	1	false
57	bolter	39206	6972	-	1	false
58	bolter	39206	30597	-	1	false
59	bolter	39206	12467	-	1	false
60	bolter	39206	15508	-	1	false
61	bolter	39206	26629	-	1	false
62	bolter	39206	4233	-	1	false
63	bolter	39206	9233	-	1	false
64	bolter	39206	3316	-	1	true
65	bolter	39206	34168	-	1	false
66	bolter	39206	28557	-	1	false
67	bolter	39206	29598	-	1	false
68	bolter	39206	2816	-	1	true
69	bolter	39206	2860	-	1	false
70	bolter	39206	23221	-	1	false
71	bolter	39206	20419	-	1	false
72	bolter	39206	27344	-	1	false
73	bolter	39206	25024	-	1	false
74	bolter	39206	33976	-	1	false
75	bolter	39206	34281	-	1	false
76	bolter	39206	3017	-	1	false
77	bolter	39206	31944	-	1	false
78	bolter	39206	8100	-	1	false
79	bolter	39206	4016	-	1	false
80	bolter	39206	19231	-	1	false
81	bolter	39206	36913	-	1	false
82	bolter	39206	7458	-	1	false
83	bolter	39206	3315	-	1	true
84	bolter	39206	31743	-	1	false
85	bolter	39206	22356	-	1	false
86	bolter	39206	26211	-	1	false
87	bolter	39206	21860	-	1	false
88	bolter	39206	15002	-	1	false
89	bolter	39206	39142	-	1	false
90	bolter	39206	36412	-	1	false
91	bolter	39206	33440	-	1	false
92	bolter	39206	11765	-	1	false
93	bolter	39206	38749	-	1	false
94	bolter	39206	4957	-	1	false
95	bolter	39206	29523	-	1	false
96	bolter	39206	4671	-	1	false
97	bolter	39206	28578	-	1	false
98	bolter	39206	36655	-	1	false
99	bolter	39206	5000	-	1	false
