# seed=42 mode=bolter file=sample.dmg filesize=16952
trial	mode	filesize	off	bit	span	detected
0	bolter	16952	13430	-	1	false
1	bolter	16952	13657	-	1	false
2	bolter	16952	13067	-	1	false
3	bolter	16952	12251	-	1	false
4	bolter	16952	15205	-	1	false
5	bolter	16952	16818	-	1	false
6	bolter	16952	596	-	1	false
7	bolter	16952	14311	-	1	false
8	bolter	16952	10296	-	1	false
9	bolter	16952	2653	-	1	false
10	bolter	16952	12721	-	1	false
11	bolter	16952	5793	-	1	false
12	bolter	16952	4244	-	1	false
13	bolter	16952	15134	-	1	false
14	bolter	16952	16617	-	1	false
15	bolter	16952	11291	-	1	false
16	bolter	16952	3194	-	1	false
17	bolter	16952	12108	-	1	false
18	bolter	16952	1123	-	1	false
19	bolter	16952	10268	-	1	false
20	bolter	16952	9344	-	1	false
21	bolter	16952	5703	-	1	false
22	bolter	16952	376	-	1	false
23	bolter	16952	7819	-	1	false
24	bolter	16952	3147	-	1	false
25	bolter	16952	13753	-	1	false
26	bolter	16952	5738	-	1	false
27	bolter	16952	3227	-	1	false
28	bolter	16952	10012	-	1	false
29	bolter	16952	13264	-	1	false
30	bolter	16952	6792	-	1	false
31	bolter	16952	13883	-	1	false
32	bolter	16952	9694	-	1	false
33	bolter	16952	6118	-	1	false
34	bolter	16952	16901	-	1	false
35	bolter	16952	8344	-	1	false
36	bolter	16952	4778	-	1	false
37	bolter	16952	3447	-	1	false
38	bolter	16952	15542	-	1	false
39	bolter	16952	3198	-	1	false
40	bolter	16952	5210	-	1	false
41	bolter	16952	4779	-	1	false
42	bolter	16952	13919	-	1	false
43	bolter	16952	13340	-	1	false
44	bolter	16952	8174	-	1	false
45	bolter	16952	10274	-	1	false
46	bolter	16952	14042	-	1	false
47	bolter	16952	5216	-	1	false
48	bolter	16952	9	-	1	false
49	bolter	16952	485	-	1	false
50	bolter	16952	9198	-	1	false
51	bolter	16952	8904	-	1	false
52	bolter	16952	8490	-	1	false
53	bolter	16952	5093	-	1	false
54	bolter	16952	2690	-	1	false
55	bolter	16952	12556	-	1	false
56	bolter	16952	16671	-	1	false
57	bolter	16952	6772	-	1	false
58	bolter	16952	11631	-	1	false
59	bolter	16952	11823	-	1	false
60	bolter	16952	14768	-	1	false
61	bolter	16952	13337	-	1	false
62	bolter	16952	8241	-	1	false
63	bolter	16952	4451	-	1	false
64	bolter	16952	10624	-	1	false
65	bolter	16952	14048	-	1	false
66	bolter	16952	15379	-	1	false
67	bolter	16952	3088	-	1	false
68	bolter	16952	12442	-	1	false
69	bolter	16952	13980	-	1	false
70	bolter	16952	735	-	1	false
71	bolter	16952	10047	-	1	false
72	bolter	16952	3868	-	1	false
73	bolter	16952	12478	-	1	false
74	bolter	16952	1020	-	1	false
75	bolter	16952	10845	-	1	false
76	bolter	16952	12563	-	1	false
77	bolter	16952	7734	-	1	false
78	bolter	16952	40	-	1	false
79	bolter	16952	14328	-	1	false
80	bolter	16952	3099	-	1	false
81	bolter	16952	4663	-	1	false
82	bolter	16952	7726	-	1	false
83	bolter	16952	3303	-	1	false
84	bolter	16952	14857	-	1	false
85	bolter	16952	10078	-	1	false
86	bolter	16952	4317	-	1	false
87	bolter	16952	11552	-	1	false
88	bolter	16952	8546	-	1	false
89	bolter	16952	12408	-	1	false
90	bolter	16952	3158	-	1	false
91	bolter	16952	350	-	1	false
92	bolter	16952	13553	-	1	false
93	bolter	16952	11163	-	1	false
94	bolter	16952	14505	-	1	false
95	bolter	16952	10285	-	1	false
96	bolter	16952	13703	-	1	false
97	bolter	16952	6538	-	1	false
98	bolter	16952	14789	-	1	false
99	bolter	16952	4482	-	1	false
