# seed=42 mode=shotgun file=sample.dmg filesize=16952
trial	mode	filesize	off	bit	span	detected
0	shotgun	16952	8555	-	4096	false
1	shotgun	16952	12481	-	4096	true
2	shotgun	16952	64	-	4096	false
3	shotgun	16952	11287	-	4096	false
4	shotgun	16952	6606	-	4096	false
5	shotgun	16952	7940	-	4096	false
6	shotgun	16952	12407	-	4096	true
7	shotgun	16952	6996	-	4096	false
8	shotgun	16952	12669	-	4096	true
9	shotgun	16952	11037	-	4096	false
10	shotgun	16952	5437	-	4096	false
11	shotgun	16952	4934	-	4096	false
12	shotgun	16952	12768	-	4096	true
13	shotgun	16952	5183	-	4096	false
14	shotgun	16952	8231	-	4096	false
15	shotgun	16952	6347	-	4096	false
16	shotgun	16952	7846	-	4096	false
17	shotgun	16952	411	-	4096	false
18	shotgun	16952	1532	-	4096	false
19	shotgun	16952	3371	-	4096	false
20	shotgun	16952	10652	-	4096	false
21	shotgun	16952	9205	-	4096	false
22	shotgun	16952	6446	-	4096	false
23	shotgun	16952	1757	-	4096	false
24	shotgun	16952	3339	-	4096	false
25	shotgun	16952	6968	-	4096	false
26	shotgun	16952	4290	-	4096	false
27	shotgun	16952	9257	-	4096	false
28	shotgun	16952	4780	-	4096	false
29	shotgun	16952	6227	-	4096	false
30	shotgun	16952	862	-	4096	false
31	shotgun	16952	2312	-	4096	false
32	shotgun	16952	7296	-	4096	false
33	shotgun	16952	6098	-	4096	false
34	shotgun	16952	8859	-	4096	false
35	shotgun	16952	4964	-	4096	false
36	shotgun	16952	10839	-	4096	false
37	shotgun	16952	6651	-	4096	false
38	shotgun	16952	7875	-	4096	false
39	shotgun	16952	1781	-	4096	false
40	shotgun	16952	12621	-	4096	true
41	shotgun	16952	11987	-	4096	false
42	shotgun	16952	12422	-	4096	true
43	shotgun	16952	12487	-	4096	true
44	shotgun	16952	11481	-	4096	false
45	shotgun	16952	4904	-	4096	false
46	shotgun	16952	8573	-	4096	false
47	shotgun	16952	1741	-	4096	false
48	shotgun	16952	2914	-	4096	false
49	shotgun	16952	5314	-	4096	false
50	shotgun	16952	1481	-	4096	false
51	shotgun	16952	10569	-	4096	false
52	shotgun	16952	2752	-	4096	false
53	shotgun	16952	9332	-	4096	false
54	shotgun	16952	9906	-	4096	false
55	shotgun	16952	12020	-	4096	false
56	shotgun	16952	9300	-	4096	false
57	shotgun	16952	12800	-	4096	true
58	shotgun	16952	11735	-	4096	false
59	shotgun	16952	5366	-	4096	false
60	shotgun	16952	6808	-	4096	false
61	shotgun	16952	10257	-	4096	false
62	shotgun	16952	10396	-	4096	false
63	shotgun	16952	8941	-	4096	false
64	shotgun	16952	4794	-	4096	false
65	shotgun	16952	4121	-	4096	false
66	shotgun	16952	11593	-	4096	false
67	shotgun	16952	10525	-	4096	false
68	shotgun	16952	4706	-	4096	false
69	shotgun	16952	4767	-	4096	false
70	shotgun	16952	1374	-	4096	false
71	shotgun	16952	6043	-	4096	false
72	shotgun	16952	9775	-	4096	false
73	shotgun	16952	1145	-	4096	false
74	shotgun	16952	1493	-	4096	false
75	shotgun	16952	2401	-	4096	false
76	shotgun	16952	4567	-	4096	false
77	shotgun	16952	9485	-	4096	false
78	shotgun	16952	8538	-	4096	false
79	shotgun	16952	867	-	4096	false
80	shotgun	16952	2167	-	4096	false
81	shotgun	16952	12119	-	4096	false
82	shotgun	16952	2923	-	4096	false
83	shotgun	16952	11720	-	4096	false
84	shotgun	16952	1468	-	4096	false
85	shotgun	16952	10707	-	4096	false
86	shotgun	16952	3301	-	4096	false
87	shotgun	16952	8185	-	4096	false
88	shotgun	16952	7958	-	4096	false
89	shotgun	16952	109	-	4096	false
90	shotgun	16952	11070	-	4096	false
91	shotgun	16952	2955	-	4096	false
92	shotgun	16952	868	-	4096	false
93	shotgun	16952	10644	-	4096	false
94	shotgun	16952	12357	-	4096	true
95	shotgun	16952	2248	-	4096	false
96	shotgun	16952	10343	-	4096	false
97	shotgun	16952	5873	-	4096	false
98	shotgun	16952	2116	-	4096	false
99	shotgun	16952	12540	-	4096	true
