# seed=42 mode=shotgun file=word95_large.doc filesize=603136
trial	mode	filesize	off	bit	span	detected
0	shotgun	603136	104066	-	4096	false
1	shotgun	603136	509596	-	4096	false
2	shotgun	603136	46123	-	4096	false
3	shotgun	603136	104917	-	4096	false
4	shotgun	603136	33741	-	4096	false
5	shotgun	603136	456340	-	4096	false
6	shotgun	603136	137161	-	4096	false
7	shotgun	603136	402072	-	4096	false
8	shotgun	603136	561116	-	4096	false
9	shotgun	603136	513352	-	4096	false
10	shotgun	603136	340459	-	4096	false
11	shotgun	603136	571960	-	4096	false
12	shotgun	603136	46389	-	4096	false
13	shotgun	603136	112252	-	4096	false
14	shotgun	603136	526677	-	4096	false
15	shotgun	603136	232989	-	4096	false
16	shotgun	603136	402599	-	4096	false
17	shotgun	603136	53211	-	4096	false
18	shotgun	603136	161932	-	4096	false
19	shotgun	603136	20267	-	4096	false
20	shotgun	603136	562394	-	4096	false
21	shotgun	603136	242965	-	4096	false
22	shotgun	603136	385916	-	4096	false
23	shotgun	603136	319748	-	4096	false
24	shotgun	603136	522312	-	4096	false
25	shotgun	603136	525463	-	4096	false
26	shotgun	603136	377135	-	4096	false
27	shotgun	603136	9031	-	4096	false
28	shotgun	603136	475502	-	4096	false
29	shotgun	603136	555526	-	4096	true
30	shotgun	603136	593630	-	4096	false
31	shotgun	603136	337039	-	4096	false
32	shotgun	603136	320023	-	4096	false
33	shotgun	603136	479745	-	4096	false
34	shotgun	603136	539158	-	4096	false
35	shotgun	603136	269508	-	4096	false
36	shotgun	603136	381685	-	4096	false
37	shotgun	603136	512181	-	4096	false
38	shotgun	603136	509764	-	4096	false
39	shotgun	603136	590763	-	4096	false
40	shotgun	603136	51038	-	4096	false
41	shotgun	603136	521315	-	4096	true
42	shotgun	603136	546144	-	4096	false
43	shotgun	603136	233751	-	4096	false
44	shotgun	603136	225192	-	4096	false
45	shotgun	603136	534735	-	4096	false
46	shotgun	603136	460688	-	4096	false
47	shotgun	603136	376420	-	4096	false
48	shotgun	603136	11910	-	4096	false
49	shotgun	603136	125060	-	4096	false
50	shotgun	603136	453637	-	4096	false
51	shotgun	603136	216192	-	4096	false
52	shotgun	603136	163157	-	4096	false
53	shotgun	603136	523039	-	4096	false
54	shotgun	603136	147807	-	4096	false
55	shotgun	603136	490510	-	4096	false
56	shotgun	603136	200981	-	4096	false
57	shotgun	603136	465645	-	4096	false
58	shotgun	603136	303052	-	4096	false
59	shotgun	603136	595295	-	4096	false
60	shotgun	603136	445645	-	4096	false
61	shotgun	603136	237163	-	4096	false
62	shotgun	603136	277531	-	4096	false
63	shotgun	603136	204899	-	4096	false
64	shotgun	603136	257012	-	4096	false
65	shotgun	603136	241573	-	4096	false
66	shotgun	603136	480985	-	4096	false
67	shotgun	603136	166634	-	4096	false
68	shotgun	603136	336090	-	4096	false
69	shotgun	603136	339768	-	4096	false
70	shotgun	603136	264048	-	4096	false
71	shotgun	603136	332456	-	4096	false
72	shotgun	603136	250238	-	4096	false
73	shotgun	603136	12848	-	4096	false
74	shotgun	603136	203297	-	4096	false
75	shotgun	603136	472132	-	4096	false
76	shotgun	603136	95765	-	4096	false
77	shotgun	603136	397488	-	4096	false
78	shotgun	603136	100735	-	4096	false
79	shotgun	603136	499203	-	4096	false
80	shotgun	603136	18809	-	4096	false
81	shotgun	603136	78529	-	4096	false
82	shotgun	603136	522295	-	4096	false
83	shotgun	603136	432984	-	4096	false
84	shotgun	603136	509931	-	4096	false
85	shotgun	603136	216315	-	4096	false
86	shotgun	603136	489429	-	4096	false
87	shotgun	603136	303840	-	4096	false
88	shotgun	603136	575934	-	4096	false
89	shotgun	603136	165184	-	4096	false
90	shotgun	603136	522889	-	4096	false
91	shotgun	603136	10830	-	4096	false
92	shotgun	603136	34542	-	4096	false
93	shotgun	603136	443376	-	4096	false
94	shotgun	603136	185091	-	4096	false
95	shotgun	603136	439856	-	4096	false
96	shotgun	603136	560115	-	4096	false
97	shotgun	603136	252329	-	4096	false
98	shotgun	603136	259988	-	4096	false
99	shotgun	603136	95166	-	4096	false
