# seed=42 mode=bolter file=sample.dpx filesize=1844864
trial	mode	filesize	off	bit	span	detected
0	bolter	1844864	1768918	-	1	false
1	bolter	1844864	618537	-	1	false
2	bolter	1844864	448283	-	1	false
3	bolter	1844864	1063939	-	1	false
4	bolter	1844864	484781	-	1	false
5	bolter	1844864	1018418	-	1	false
6	bolter	1844864	296108	-	1	false
7	bolter	1844864	1000791	-	1	false
8	bolter	1844864	1575816	-	1	false
9	bolter	1844864	1210677	-	1	false
10	bolter	1844864	1702105	-	1	false
11	bolter	1844864	593793	-	1	false
12	bolter	1844864	1424220	-	1	false
13	bolter	1844864	1617046	-	1	false
14	bolter	1844864	383825	-	1	false
15	bolter	1844864	372331	-	1	false
16	bolter	1844864	1499354	-	1	false
17	bolter	1844864	187588	-	1	false
18	bolter	1844864	994979	-	1	false
19	bolter	1844864	1267396	-	1	false
20	bolter	1844864	1635912	-	1	false
21	bolter	1844864	1480343	-	1	false
22	bolter	1844864	710608	-	1	false
23	bolter	1844864	1369643	-	1	false
24	bolter	1844864	1542531	-	1	false
25	bolter	1844864	560417	-	1	false
26	bolter	1844864	638378	-	1	false
27	bolter	1844864	1100955	-	1	false
28	bolter	1844864	658964	-	1	false
29	bolter	1844864	968136	-	1	false
30	bolter	1844864	1605360	-	1	false
31	bolter	1844864	31755	-	1	false
32	bolter	1844864	1638198	-	1	false
33	bolter	1844864	20838	-	1	false
34	bolter	1844864	947445	-	1	false
35	bolter	1844864	590440	-	1	false
36	bolter	1844864	1356058	-	1	false
37	bolter	1844864	1203183	-	1	false
38	bolter	1844864	1655894	-	1	false
39	bolter	1844864	1741494	-	1	false
40	bolter	1844864	826018	-	1	false
41	bolter	1844864	49339	-	1	false
42	bolter	1844864	1006575	-	1	false
43	bolter	1844864	1635740	-	1	false
44	bolter	1844864	81646	-	1	false
45	bolter	1844864	13018	-	1	false
46	bolter	1844864	1233850	-	1	false
47	bolter	1844864	1781600	-	1	false
48	bolter	1844864	1822361	-	1	false
49	bolter	1844864	1115349	-	1	false
50	bolter	1844864	1335830	-	1	false
51	bolter	1844864	1192856	-	1	false
52	bolter	1844864	1111842	-	1	false
53	bolter	1844864	771077	-	1	false
54	bolter	1844864	2658	-	1	false
55	bolter	1844864	809492	-	1	false
56	bolter	1844864	1643215	-	1	false
57	bolter	1844864	557724	-	1	false
58	bolter	1844864	1778159	-	1	false
59	bolter	1844864	626823	-	1	false
60	bolter	1844864	106184	-	1	false
61	bolter	1844864	825113	-	1	false
62	bolter	1844864	418545	-	1	false
63	bolter	1844864	1696795	-	1	false
64	bolter	1844864	1331712	-	1	false
65	bolter	1844864	809712	-	1	false
66	bolter	1844864	456347	-	1	false
67	bolter	1844864	302640	-	1	false
68	bolter	1844864	132138	-	1	false
69	bolter	1844864	879500	-	1	false
70	bolter	1844864	797855	-	1	false
71	bolter	1844864	1238991	-	1	false
72	bolter	1844864	318356	-	1	false
73	bolter	1844864	1148790	-	1	false
74	bolter	1844864	234068	-	1	false
75	bolter	1844864	1481637	-	1	false
76	bolter	1844864	368123	-	1	false
77	bolter	1844864	1704886	-	1	false
78	bolter	1844864	847168	-	1	false
79	bolter	1844864	1241152	-	1	false
80	bolter	1844864	1334523	-	1	false
81	bolter	1844864	547199	-	1	false
82	bolter	1844864	1735358	-	1	false
83	bolter	1844864	1814143	-	1	false
84	bolter	1844864	1478609	-	1	false
85	bolter	1844864	91014	-	1	false
86	bolter	1844864	1310045	-	1	false
87	bolter	1844864	10648	-	1	false
88	bolter	1844864	442418	-	1	false
89	bolter	1844864	28408	-	1	false
90	bolter	1844864	776158	-	1	false
91	bolter	1844864	495126	-	1	false
92	bolter	1844864	1104329	-	1	false
93	bolter	1844864	1790243	-	1	false
94	bolter	1844864	60593	-	1	false
95	bolter	1844864	699549	-	1	false
96	bolter	1844864	1372903	-	1	false
97	bolter	1844864	367290	-	1	false
98	bolter	1844864	566509	-	1	false
99	bolter	1844864	1455378	-	1	false
