# seed=42 mode=bolter file=sample.ds_store filesize=10244
trial	mode	filesize	off	bit	span	detected
0	bolter	10244	9946	-	1	false
1	bolter	10244	449	-	1	false
2	bolter	10244	8959	-	1	false
3	bolter	10244	9235	-	1	false
4	bolter	10244	1945	-	1	false
5	bolter	10244	1478	-	1	false
6	bolter	10244	6784	-	1	false
7	bolter	10244	9527	-	1	false
8	bolter	10244	7800	-	1	false
9	bolter	10244	9049	-	1	false
10	bolter	10244	2113	-	1	false
11	bolter	10244	4129	-	1	false
12	bolter	10244	2892	-	1	false
13	bolter	10244	3070	-	1	false
14	bolter	10244	3357	-	1	false
15	bolter	10244	9003	-	1	false
16	bolter	10244	1270	-	1	false
17	bolter	10244	824	-	1	false
18	bolter	10244	5335	-	1	false
19	bolter	10244	7408	-	1	false
20	bolter	10244	3104	-	1	false
21	bolter	10244	3311	-	1	false
22	bolter	10244	9632	-	1	false
23	bolter	10244	6207	-	1	false
24	bolter	10244	6995	-	1	false
25	bolter	10244	129	-	1	false
26	bolter	10244	7766	-	1	false
27	bolter	10244	3851	-	1	false
28	bolter	10244	8504	-	1	false
29	bolter	10244	5100	-	1	false
30	bolter	10244	3932	-	1	false
31	bolter	10244	3795	-	1	false
32	bolter	10244	6938	-	1	false
33	bolter	10244	190	-	1	false
34	bolter	10244	3277	-	1	false
35	bolter	10244	2884	-	1	false
36	bolter	10244	5090	-	1	false
37	bolter	10244	5007	-	1	false
38	bolter	10244	9198	-	1	false
39	bolter	10244	8866	-	1	false
40	bolter	10244	686	-	1	false
41	bolter	10244	2855	-	1	false
42	bolter	10244	3259	-	1	false
43	bolter	10244	1224	-	1	false
44	bolter	10244	6198	-	1	false
45	bolter	10244	134	-	1	false
46	bolter	10244	9206	-	1	false
47	bolter	10244	172	-	1	false
48	bolter	10244	841	-	1	false
49	bolter	10244	2409	-	1	false
50	bolter	10244	1294	-	1	false
51	bolter	10244	9684	-	1	false
52	bolter	10244	1730	-	1	false
53	bolter	10244	8109	-	1	false
54	bolter	10244	3990	-	1	false
55	bolter	10244	5224	-	1	false
56	bolter	10244	1851	-	1	false
57	bolter	10244	6460	-	1	false
58	bolter	10244	451	-	1	false
59	bolter	10244	7715	-	1	false
60	bolter	10244	468	-	1	false
61	bolter	10244	4757	-	1	false
62	bolter	10244	3197	-	1	false
63	bolter	10244	4971	-	1	false
64	bolter	10244	8232	-	1	false
65	bolter	10244	4324	-	1	false
66	bolter	10244	1443	-	1	false
67	bolter	10244	7352	-	1	false
68	bolter	10244	8698	-	1	false
69	bolter	10244	668	-	1	false
70	bolter	10244	8483	-	1	false
71	bolter	10244	2975	-	1	false
72	bolter	10244	5740	-	1	false
73	bolter	10244	6862	-	1	false
74	bolter	10244	2788	-	1	false
75	bolter	10244	2577	-	1	false
76	bolter	10244	2943	-	1	false
77	bolter	10244	6642	-	1	false
78	bolter	10244	4252	-	1	false
79	bolter	10244	9180	-	1	false
80	bolter	10244	3099	-	1	false
81	bolter	10244	4715	-	1	false
82	bolter	10244	394	-	1	false
83	bolter	10244	5695	-	1	false
84	bolter	10244	5809	-	1	false
85	bolter	10244	8102	-	1	false
86	bolter	10244	7853	-	1	false
87	bolter	10244	1100	-	1	false
88	bolter	10244	4282	-	1	false
89	bolter	10244	9236	-	1	false
90	bolter	10244	8618	-	1	false
91	bolter	10244	7058	-	1	false
92	bolter	10244	9133	-	1	false
93	bolter	10244	6795	-	1	false
94	bolter	10244	7329	-	1	false
95	bolter	10244	93	-	1	false
96	bolter	10244	9179	-	1	false
97	bolter	10244	2950	-	1	false
98	bolter	10244	1789	-	1	false
99	bolter	10244	7082	-	1	false
