# seed=42 mode=bolter file=sample.dts filesize=378444
trial	mode	filesize	off	bit	span	detected
0	bolter	378444	354878	-	1	false
1	bolter	378444	332873	-	1	false
2	bolter	378444	253695	-	1	false
3	bolter	378444	133875	-	1	false
4	bolter	378444	277353	-	1	false
5	bolter	378444	213454	-	1	false
6	bolter	378444	344448	-	1	false
7	bolter	378444	98375	-	1	false
8	bolter	378444	147548	-	1	false
9	bolter	378444	5541	-	1	false
10	bolter	378444	10393	-	1	false
11	bolter	378444	73369	-	1	false
12	bolter	378444	238704	-	1	false
13	bolter	378444	83650	-	1	false
14	bolter	378444	184073	-	1	false
15	bolter	378444	365463	-	1	false
16	bolter	378444	92182	-	1	false
17	bolter	378444	214744	-	1	false
18	bolter	378444	83903	-	1	false
19	bolter	378444	137896	-	1	false
20	bolter	378444	279240	-	1	false
21	bolter	378444	8847	-	1	false
22	bolter	378444	348096	-	1	false
23	bolter	378444	170971	-	1	false
24	bolter	378444	162023	-	1	false
25	bolter	378444	12117	-	1	false
26	bolter	378444	49098	-	1	false
27	bolter	378444	277811	-	1	false
28	bolter	378444	124804	-	1	false
29	bolter	378444	287780	-	1	false
30	bolter	378444	179604	-	1	false
31	bolter	378444	278723	-	1	false
32	bolter	378444	103906	-	1	false
33	bolter	378444	107962	-	1	false
34	bolter	378444	275749	-	1	false
35	bolter	378444	79396	-	1	false
36	bolter	378444	18462	-	1	false
37	bolter	378444	32387	-	1	false
38	bolter	378444	91934	-	1	false
39	bolter	378444	14458	-	1	false
40	bolter	378444	64862	-	1	false
41	bolter	378444	321039	-	1	false
42	bolter	378444	243627	-	1	false
43	bolter	378444	165368	-	1	false
44	bolter	378444	78010	-	1	false
45	bolter	378444	328034	-	1	false
46	bolter	378444	68306	-	1	false
47	bolter	378444	215708	-	1	false
48	bolter	378444	219705	-	1	false
49	bolter	378444	190221	-	1	false
50	bolter	378444	94158	-	1	false
51	bolter	378444	97784	-	1	false
52	bolter	378444	295970	-	1	false
53	bolter	378444	279829	-	1	false
54	bolter	378444	226510	-	1	false
55	bolter	378444	163564	-	1	false
56	bolter	378444	344895	-	1	false
57	bolter	378444	90400	-	1	false
58	bolter	378444	160555	-	1	false
59	bolter	378444	269071	-	1	false
60	bolter	378444	114756	-	1	false
61	bolter	378444	293289	-	1	false
62	bolter	378444	65237	-	1	false
63	bolter	378444	53967	-	1	false
64	bolter	378444	60952	-	1	false
65	bolter	378444	168228	-	1	false
66	bolter	378444	70807	-	1	false
67	bolter	378444	284460	-	1	false
68	bolter	378444	133438	-	1	false
69	bolter	378444	193172	-	1	false
70	bolter	378444	49943	-	1	false
71	bolter	378444	202095	-	1	false
72	bolter	378444	61464	-	1	false
73	bolter	378444	144302	-	1	false
74	bolter	378444	306332	-	1	false
75	bolter	378444	247325	-	1	false
76	bolter	378444	262907	-	1	false
77	bolter	378444	60934	-	1	false
78	bolter	378444	314712	-	1	false
79	bolter	378444	105416	-	1	false
80	bolter	378444	44283	-	1	false
81	bolter	378444	252735	-	1	false
82	bolter	378444	220862	-	1	false
83	bolter	378444	320743	-	1	false
84	bolter	378444	332545	-	1	false
85	bolter	378444	210142	-	1	false
86	bolter	378444	7281	-	1	false
87	bolter	378444	129864	-	1	false
88	bolter	378444	108590	-	1	false
89	bolter	378444	324032	-	1	false
90	bolter	378444	255014	-	1	false
91	bolter	378444	323970	-	1	false
92	bolter	378444	241821	-	1	false
93	bolter	378444	337331	-	1	false
94	bolter	378444	369549	-	1	false
95	bolter	378444	26465	-	1	false
96	bolter	378444	204935	-	1	false
97	bolter	378444	164130	-	1	false
98	bolter	378444	224285	-	1	false
99	bolter	378444	279330	-	1	false
