# seed=42 mode=sniper file=sample.dts filesize=378444
trial	mode	filesize	off	bit	span	detected
0	sniper	378444	354878	1	1	false
1	sniper	378444	253695	3	1	false
2	sniper	378444	277353	2	1	false
3	sniper	378444	344448	7	1	false
4	sniper	378444	147548	5	1	false
5	sniper	378444	10393	1	1	false
6	sniper	378444	238704	6	1	false
7	sniper	378444	184073	3	1	false
8	sniper	378444	92182	4	1	false
9	sniper	378444	83903	4	1	false
10	sniper	378444	279240	7	1	false
11	sniper	378444	348096	3	1	false
12	sniper	378444	162023	1	1	false
13	sniper	378444	49098	3	1	false
14	sniper	378444	124804	0	1	false
15	sniper	378444	179604	3	1	false
16	sniper	378444	103906	6	1	false
17	sniper	378444	275749	0	1	false
18	sniper	378444	18462	7	1	false
19	sniper	378444	91934	6	1	false
20	sniper	378444	64862	3	1	false
21	sniper	378444	243627	4	1	false
22	sniper	378444	78010	2	1	false
23	sniper	378444	68306	0	1	false
24	sniper	378444	219705	5	1	false
25	sniper	378444	94158	0	1	false
26	sniper	378444	295970	5	1	false
27	sniper	378444	226510	4	1	false
28	sniper	378444	344895	4	1	false
29	sniper	378444	160555	7	1	false
30	sniper	378444	114756	1	1	false
31	sniper	378444	65237	3	1	false
32	sniper	378444	60952	0	1	false
33	sniper	378444	70807	0	1	false
34	sniper	378444	133438	4	1	false
35	sniper	378444	49943	7	1	false
36	sniper	378444	61464	6	1	false
37	sniper	378444	306332	5	1	false
38	sniper	378444	262907	6	1	false
39	sniper	378444	314712	0	1	false
40	sniper	378444	44283	7	1	false
41	sniper	378444	220862	7	1	false
42	sniper	378444	332545	6	1	false
43	sniper	378444	7281	0	1	false
44	sniper	378444	108590	0	1	false
45	sniper	378444	255014	6	1	false
46	sniper	378444	241821	3	1	false
47	sniper	378444	369549	5	1	false
48	sniper	378444	204935	2	1	false
49	sniper	378444	224285	2	1	false
50	sniper	378444	283141	2	1	false
51	sniper	378444	225953	3	1	false
52	sniper	378444	78140	7	1	false
53	sniper	378444	231418	2	1	false
54	sniper	378444	185164	6	1	false
55	sniper	378444	42075	7	1	false
56	sniper	378444	261011	6	1	false
57	sniper	378444	208081	6	1	false
58	sniper	378444	300211	1	1	false
59	sniper	378444	140331	2	1	false
60	sniper	378444	47821	4	1	false
61	sniper	378444	86682	2	1	false
62	sniper	378444	315284	5	1	false
63	sniper	378444	302710	7	1	false
64	sniper	378444	183062	0	1	false
65	sniper	378444	150204	0	1	false
66	sniper	378444	147945	3	1	false
67	sniper	378444	194434	7	1	false
68	sniper	378444	56294	1	1	false
69	sniper	378444	375771	3	1	false
70	sniper	378444	35491	2	1	false
71	sniper	378444	242789	6	1	false
72	sniper	378444	252569	2	1	false
73	sniper	378444	114257	4	1	false
74	sniper	378444	240865	2	1	false
75	sniper	378444	55393	2	1	false
76	sniper	378444	233732	0	1	false
77	sniper	378444	89881	4	1	false
78	sniper	378444	90891	2	1	false
79	sniper	378444	120102	4	1	false
80	sniper	378444	354827	2	1	false
81	sniper	378444	187725	3	1	false
82	sniper	378444	149073	0	1	false
83	sniper	378444	185361	2	1	false
84	sniper	378444	117276	2	1	false
85	sniper	378444	186835	3	1	false
86	sniper	378444	204587	6	1	false
87	sniper	378444	16886	6	1	false
88	sniper	378444	53742	0	1	false
89	sniper	378444	320518	5	1	false
90	sniper	378444	345848	6	1	false
91	sniper	378444	40049	4	1	false
92	sniper	378444	126829	2	1	false
93	sniper	378444	238085	3	1	false
94	sniper	378444	253569	4	1	false
95	sniper	378444	48629	7	1	false
96	sniper	378444	143685	6	1	false
97	sniper	378444	39489	2	1	false
98	sniper	378444	302271	0	1	false
99	sniper	378444	370330	7	1	false
