# seed=42 mode=shotgun file=sample.dv filesize=360000
trial	mode	filesize	off	bit	span	detected
0	shotgun	360000	100976	-	4096	true
1	shotgun	360000	131839	-	4096	true
2	shotgun	360000	264444	-	4096	true
3	shotgun	360000	138041	-	4096	true
4	shotgun	360000	162690	-	4096	true
5	shotgun	360000	125269	-	4096	true
6	shotgun	360000	220497	-	4096	true
7	shotgun	360000	347515	-	4096	true
8	shotgun	360000	84116	-	4096	true
9	shotgun	360000	346862	-	4096	true
10	shotgun	360000	46493	-	4096	true
11	shotgun	360000	286720	-	4096	true
12	shotgun	360000	186919	-	4096	true
13	shotgun	360000	232384	-	4096	true
14	shotgun	360000	260853	-	4096	true
15	shotgun	360000	63172	-	4096	true
16	shotgun	360000	169171	-	4096	true
17	shotgun	360000	112968	-	4096	true
18	shotgun	360000	320496	-	4096	true
19	shotgun	360000	294182	-	4096	true
20	shotgun	360000	219088	-	4096	true
21	shotgun	360000	82547	-	4096	true
22	shotgun	360000	291945	-	4096	true
23	shotgun	360000	135042	-	4096	true
24	shotgun	360000	156881	-	4096	true
25	shotgun	360000	328831	-	4096	true
26	shotgun	360000	220571	-	4096	true
27	shotgun	360000	212863	-	4096	true
28	shotgun	360000	69876	-	4096	true
29	shotgun	360000	196931	-	4096	true
30	shotgun	360000	144554	-	4096	true
31	shotgun	360000	56271	-	4096	true
32	shotgun	360000	95158	-	4096	true
33	shotgun	360000	354796	-	4096	true
34	shotgun	360000	27453	-	4096	true
35	shotgun	360000	267527	-	4096	true
36	shotgun	360000	87446	-	4096	true
37	shotgun	360000	337365	-	4096	true
38	shotgun	360000	106119	-	4096	true
39	shotgun	360000	100328	-	4096	true
40	shotgun	360000	240326	-	4096	true
41	shotgun	360000	266799	-	4096	true
42	shotgun	360000	181822	-	4096	true
43	shotgun	360000	284073	-	4096	true
44	shotgun	360000	30778	-	4096	true
45	shotgun	360000	31629	-	4096	true
46	shotgun	360000	27138	-	4096	true
47	shotgun	360000	153591	-	4096	true
48	shotgun	360000	104336	-	4096	true
49	shotgun	360000	281552	-	4096	true
50	shotgun	360000	288620	-	4096	true
51	shotgun	360000	75990	-	4096	true
52	shotgun	360000	241621	-	4096	true
53	shotgun	360000	78308	-	4096	true
54	shotgun	360000	298045	-	4096	true
55	shotgun	360000	88465	-	4096	true
56	shotgun	360000	187165	-	4096	true
57	shotgun	360000	168297	-	4096	true
58	shotgun	360000	21757	-	4096	true
59	shotgun	360000	124985	-	4096	true
60	shotgun	360000	50745	-	4096	true
61	shotgun	360000	337225	-	4096	true
62	shotgun	360000	340033	-	4096	true
63	shotgun	360000	140107	-	4096	true
64	shotgun	360000	233706	-	4096	true
65	shotgun	360000	62412	-	4096	true
66	shotgun	360000	125753	-	4096	true
67	shotgun	360000	102187	-	4096	true
68	shotgun	360000	49959	-	4096	true
69	shotgun	360000	168679	-	4096	true
70	shotgun	360000	335604	-	4096	true
71	shotgun	360000	309732	-	4096	true
72	shotgun	360000	255292	-	4096	true
73	shotgun	360000	34537	-	4096	true
74	shotgun	360000	265672	-	4096	true
75	shotgun	360000	252994	-	4096	true
76	shotgun	360000	150923	-	4096	true
77	shotgun	360000	324442	-	4096	true
78	shotgun	360000	125969	-	4096	true
79	shotgun	360000	251250	-	4096	true
80	shotgun	360000	218550	-	4096	true
81	shotgun	360000	276689	-	4096	true
82	shotgun	360000	43568	-	4096	true
83	shotgun	360000	131346	-	4096	true
84	shotgun	360000	60546	-	4096	true
85	shotgun	360000	316413	-	4096	true
86	shotgun	360000	38135	-	4096	true
87	shotgun	360000	275607	-	4096	true
88	shotgun	360000	191578	-	4096	true
89	shotgun	360000	317858	-	4096	true
90	shotgun	360000	155331	-	4096	true
91	shotgun	360000	236914	-	4096	true
92	shotgun	360000	322546	-	4096	true
93	shotgun	360000	283140	-	4096	true
94	shotgun	360000	165639	-	4096	true
95	shotgun	360000	114493	-	4096	true
96	shotgun	360000	112821	-	4096	true
97	shotgun	360000	322158	-	4096	true
98	shotgun	360000	165363	-	4096	true
99	shotgun	360000	255912	-	4096	true
