# seed=42 mode=sniper file=sample1_5.1_640kbps.eac3 filesize=4174080
trial	mode	filesize	off	bit	span	detected
0	sniper	4174080	2563286	1	1	true
1	sniper	4174080	390555	3	1	true
2	sniper	4174080	2093997	2	1	true
3	sniper	4174080	257580	7	1	true
4	sniper	4174080	293384	5	1	true
5	sniper	4174080	2823385	1	1	true
6	sniper	4174080	2229468	6	1	true
7	sniper	4174080	1237073	3	1	true
8	sniper	4174080	1837018	4	1	true
9	sniper	4174080	2670371	4	1	true
10	sniper	4174080	2052936	7	1	true
11	sniper	4174080	3241680	3	1	true
12	sniper	4174080	352643	1	1	true
13	sniper	4174080	1339050	3	1	true
14	sniper	4174080	3985684	0	1	true
15	sniper	4174080	477936	3	1	true
16	sniper	4174080	4061110	6	1	true
17	sniper	4174080	2954485	0	1	true
18	sniper	4174080	2054298	7	1	true
19	sniper	4174080	2461142	6	1	true
20	sniper	4174080	2490530	3	1	true
21	sniper	4174080	1164015	4	1	true
22	sniper	4174080	3515374	2	1	true
23	sniper	4174080	3073850	0	1	true
24	sniper	4174080	1348761	5	1	true
25	sniper	4174080	4156566	0	1	true
26	sniper	4174080	2087714	5	1	true
27	sniper	4174080	3914722	4	1	true
28	sniper	4174080	3489231	4	1	true
29	sniper	4174080	579823	7	1	true
30	sniper	4174080	103752	1	1	true
31	sniper	4174080	542321	3	1	true
32	sniper	4174080	2403712	0	1	true
33	sniper	4174080	1081243	0	1	true
34	sniper	4174080	2823082	4	1	true
35	sniper	4174080	2732831	7	1	true
36	sniper	4174080	1380756	6	1	true
37	sniper	4174080	2855252	5	1	true
38	sniper	4174080	3774203	6	1	true
39	sniper	4174080	454080	0	1	true
40	sniper	4174080	187899	7	1	true
41	sniper	4174080	3087422	7	1	true
42	sniper	4174080	1363153	6	1	true
43	sniper	4174080	2714973	0	1	true
44	sniper	4174080	2784818	0	1	true
45	sniper	4174080	367454	6	1	true
46	sniper	4174080	2573001	3	1	true
47	sniper	4174080	752817	5	1	true
48	sniper	4174080	4110695	2	1	true
49	sniper	4174080	842861	2	1	true
50	sniper	4174080	1069657	2	1	true
51	sniper	4174080	1800533	3	1	true
52	sniper	4174080	3600824	7	1	true
53	sniper	4174080	1846534	2	1	true
54	sniper	4174080	1748740	6	1	true
55	sniper	4174080	1482015	7	1	true
56	sniper	4174080	1976891	6	1	true
57	sniper	4174080	3336493	6	1	true
58	sniper	4174080	1848055	1	1	true
59	sniper	4174080	763059	2	1	true
60	sniper	4174080	202537	4	1	true
61	sniper	4174080	1732974	2	1	true
62	sniper	4174080	458612	5	1	true
63	sniper	4174080	1328398	7	1	true
64	sniper	4174080	3772826	0	1	true
65	sniper	4174080	4069188	0	1	true
66	sniper	4174080	1702257	3	1	true
67	sniper	4174080	4108978	7	1	true
68	sniper	4174080	401630	1	1	true
69	sniper	4174080	2185275	3	1	true
70	sniper	4174080	935899	2	1	true
71	sniper	4174080	121949	6	1	true
72	sniper	4174080	2561645	2	1	true
73	sniper	4174080	1903877	4	1	true
74	sniper	4174080	1972285	2	1	true
75	sniper	4174080	1809301	2	1	true
76	sniper	4174080	1329296	0	1	true
77	sniper	4174080	526621	4	1	true
78	sniper	4174080	2249691	2	1	true
79	sniper	4174080	3643074	4	1	true
80	sniper	4174080	1018091	2	1	true
81	sniper	4174080	3036141	3	1	true
82	sniper	4174080	1508901	0	1	true
83	sniper	4174080	1943709	2	1	true
84	sniper	4174080	1145472	2	1	true
85	sniper	4174080	153631	3	1	true
86	sniper	4174080	16859	6	1	true
87	sniper	4174080	1925318	6	1	true
88	sniper	4174080	165990	0	1	true
89	sniper	4174080	1758622	5	1	true
90	sniper	4174080	1727588	6	1	true
91	sniper	4174080	1782377	4	1	true
92	sniper	4174080	48649	2	1	true
93	sniper	4174080	2189081	3	1	true
94	sniper	4174080	1243833	4	1	true
95	sniper	4174080	167441	7	1	true
96	sniper	4174080	119073	6	1	true
97	sniper	4174080	1381173	2	1	true
98	sniper	4174080	1635075	0	1	true
99	sniper	4174080	1517146	7	1	true
