# seed=42 mode=shotgun file=sample.fits filesize=699840
trial	mode	filesize	off	bit	span	detected
0	shotgun	699840	170681	-	4096	false
1	shotgun	699840	639664	-	4096	false
2	shotgun	699840	407319	-	4096	false
3	shotgun	699840	237491	-	4096	false
4	shotgun	699840	482730	-	4096	false
5	shotgun	699840	13444	-	4096	false
6	shotgun	699840	510882	-	4096	false
7	shotgun	699840	517480	-	4096	false
8	shotgun	699840	502616	-	4096	false
9	shotgun	699840	124202	-	4096	false
10	shotgun	699840	348488	-	4096	false
11	shotgun	699840	644695	-	4096	false
12	shotgun	699840	681784	-	4096	false
13	shotgun	699840	317389	-	4096	false
14	shotgun	699840	465558	-	4096	false
15	shotgun	699840	150832	-	4096	false
16	shotgun	699840	432376	-	4096	false
17	shotgun	699840	579888	-	4096	false
18	shotgun	699840	692196	-	4096	false
19	shotgun	699840	231497	-	4096	false
20	shotgun	699840	3493	-	4096	false
21	shotgun	699840	170117	-	4096	false
22	shotgun	699840	307830	-	4096	false
23	shotgun	699840	373182	-	4096	false
24	shotgun	699840	251786	-	4096	false
25	shotgun	699840	386656	-	4096	false
26	shotgun	699840	361421	-	4096	false
27	shotgun	699840	608728	-	4096	false
28	shotgun	699840	516411	-	4096	false
29	shotgun	699840	29306	-	4096	false
30	shotgun	699840	25619	-	4096	false
31	shotgun	699840	314436	-	4096	false
32	shotgun	699840	71218	-	4096	false
33	shotgun	699840	364111	-	4096	false
34	shotgun	699840	647193	-	4096	false
35	shotgun	699840	465707	-	4096	false
36	shotgun	699840	548021	-	4096	false
37	shotgun	699840	161235	-	4096	false
38	shotgun	699840	354474	-	4096	false
39	shotgun	699840	107528	-	4096	false
40	shotgun	699840	96416	-	4096	false
41	shotgun	699840	109164	-	4096	false
42	shotgun	699840	405202	-	4096	false
43	shotgun	699840	669048	-	4096	false
44	shotgun	699840	345553	-	4096	false
45	shotgun	699840	446259	-	4096	false
46	shotgun	699840	315363	-	4096	false
47	shotgun	699840	28491	-	4096	false
48	shotgun	699840	471176	-	4096	false
49	shotgun	699840	672377	-	4096	false
50	shotgun	699840	214910	-	4096	false
51	shotgun	699840	215310	-	4096	false
52	shotgun	699840	529306	-	4096	false
53	shotgun	699840	294218	-	4096	false
54	shotgun	699840	20530	-	4096	true
55	shotgun	699840	51115	-	4096	false
56	shotgun	699840	384085	-	4096	false
57	shotgun	699840	683592	-	4096	false
58	shotgun	699840	612067	-	4096	false
59	shotgun	699840	4880	-	4096	false
60	shotgun	699840	370065	-	4096	false
61	shotgun	699840	646555	-	4096	false
62	shotgun	699840	36013	-	4096	false
63	shotgun	699840	23107	-	4096	false
64	shotgun	699840	251661	-	4096	false
65	shotgun	699840	247182	-	4096	false
66	shotgun	699840	425588	-	4096	false
67	shotgun	699840	686422	-	4096	false
68	shotgun	699840	23859	-	4096	false
69	shotgun	699840	480484	-	4096	false
70	shotgun	699840	26004	-	4096	false
71	shotgun	699840	92562	-	4096	false
72	shotgun	699840	616102	-	4096	false
73	shotgun	699840	235237	-	4096	false
74	shotgun	699840	396307	-	4096	false
75	shotgun	699840	533794	-	4096	false
76	shotgun	699840	456563	-	4096	false
77	shotgun	699840	418042	-	4096	false
78	shotgun	699840	456494	-	4096	false
79	shotgun	699840	685410	-	4096	false
80	shotgun	699840	106005	-	4096	false
81	shotgun	699840	464834	-	4096	false
82	shotgun	699840	486683	-	4096	false
83	shotgun	699840	408816	-	4096	false
84	shotgun	699840	18156	-	4096	true
85	shotgun	699840	12033	-	4096	false
86	shotgun	699840	357995	-	4096	false
87	shotgun	699840	193842	-	4096	false
88	shotgun	699840	25573	-	4096	false
89	shotgun	699840	41693	-	4096	false
90	shotgun	699840	172341	-	4096	false
91	shotgun	699840	583369	-	4096	false
92	shotgun	699840	600106	-	4096	false
93	shotgun	699840	33075	-	4096	false
94	shotgun	699840	236874	-	4096	false
95	shotgun	699840	292423	-	4096	false
96	shotgun	699840	66291	-	4096	false
97	shotgun	699840	37173	-	4096	false
98	shotgun	699840	252303	-	4096	false
99	shotgun	699840	106782	-	4096	false
