# seed=42 mode=shotgun file=generated_pinknoise.flac filesize=404799
trial	mode	filesize	off	bit	span	detected
0	shotgun	404799	321878	-	4096	true
1	shotgun	404799	296311	-	4096	true
2	shotgun	404799	133755	-	4096	true
3	shotgun	404799	211880	-	4096	true
4	shotgun	404799	23385	-	4096	true
5	shotgun	404799	216418	-	4096	true
6	shotgun	404799	183225	-	4096	true
7	shotgun	404799	236986	-	4096	true
8	shotgun	404799	334103	-	4096	true
9	shotgun	404799	33830	-	4096	true
10	shotgun	404799	6161	-	4096	true
11	shotgun	404799	367393	-	4096	true
12	shotgun	404799	228493	-	4096	true
13	shotgun	404799	165862	-	4096	true
14	shotgun	404799	227124	-	4096	true
15	shotgun	404799	230131	-	4096	true
16	shotgun	404799	156769	-	4096	true
17	shotgun	404799	382290	-	4096	true
18	shotgun	404799	321189	-	4096	true
19	shotgun	404799	224303	-	4096	true
20	shotgun	404799	255391	-	4096	true
21	shotgun	404799	294536	-	4096	true
22	shotgun	404799	292407	-	4096	true
23	shotgun	404799	250467	-	4096	true
24	shotgun	404799	182411	-	4096	true
25	shotgun	404799	287179	-	4096	true
26	shotgun	404799	342599	-	4096	true
27	shotgun	404799	135325	-	4096	true
28	shotgun	404799	47085	-	4096	true
29	shotgun	404799	77015	-	4096	true
30	shotgun	404799	309587	-	4096	true
31	shotgun	404799	243225	-	4096	true
32	shotgun	404799	240691	-	4096	true
33	shotgun	404799	338839	-	4096	true
34	shotgun	404799	235623	-	4096	true
35	shotgun	404799	194864	-	4096	true
36	shotgun	404799	227774	-	4096	true
37	shotgun	404799	8013	-	4096	true
38	shotgun	404799	155991	-	4096	true
39	shotgun	404799	382118	-	4096	true
40	shotgun	404799	87452	-	4096	true
41	shotgun	404799	193905	-	4096	true
42	shotgun	404799	314491	-	4096	true
43	shotgun	404799	29232	-	4096	true
44	shotgun	404799	203404	-	4096	true
45	shotgun	404799	75459	-	4096	true
46	shotgun	404799	89301	-	4096	true
47	shotgun	404799	99570	-	4096	true
48	shotgun	404799	214325	-	4096	true
49	shotgun	404799	2666	-	4096	false
50	shotgun	404799	108983	-	4096	true
51	shotgun	404799	382947	-	4096	true
52	shotgun	404799	394087	-	4096	true
53	shotgun	404799	64277	-	4096	true
54	shotgun	404799	282418	-	4096	true
55	shotgun	404799	156373	-	4096	true
56	shotgun	404799	164341	-	4096	true
57	shotgun	404799	78765	-	4096	true
58	shotgun	404799	219385	-	4096	true
59	shotgun	404799	294827	-	4096	true
60	shotgun	404799	271680	-	4096	true
61	shotgun	404799	110434	-	4096	true
62	shotgun	404799	11551	-	4096	true
63	shotgun	404799	97453	-	4096	true
64	shotgun	404799	359640	-	4096	true
65	shotgun	404799	312828	-	4096	true
66	shotgun	404799	4979	-	4096	true
67	shotgun	404799	35731	-	4096	true
68	shotgun	404799	115050	-	4096	true
69	shotgun	404799	265429	-	4096	true
70	shotgun	404799	75954	-	4096	true
71	shotgun	404799	152775	-	4096	true
72	shotgun	404799	78682	-	4096	true
73	shotgun	404799	262900	-	4096	true
74	shotgun	404799	52549	-	4096	true
75	shotgun	404799	145942	-	4096	true
76	shotgun	404799	28619	-	4096	true
77	shotgun	404799	21622	-	4096	true
78	shotgun	404799	366602	-	4096	true
79	shotgun	404799	213570	-	4096	true
80	shotgun	404799	89358	-	4096	true
81	shotgun	404799	179519	-	4096	true
82	shotgun	404799	390878	-	4096	true
83	shotgun	404799	349365	-	4096	true
84	shotgun	404799	327810	-	4096	true
85	shotgun	404799	168051	-	4096	true
86	shotgun	404799	389594	-	4096	true
87	shotgun	404799	62088	-	4096	true
88	shotgun	404799	242407	-	4096	true
89	shotgun	404799	207362	-	4096	true
90	shotgun	404799	173499	-	4096	true
91	shotgun	404799	54790	-	4096	true
92	shotgun	404799	94831	-	4096	true
93	shotgun	404799	107553	-	4096	true
94	shotgun	404799	201612	-	4096	true
95	shotgun	404799	303703	-	4096	true
96	shotgun	404799	309018	-	4096	true
97	shotgun	404799	159831	-	4096	true
98	shotgun	404799	291858	-	4096	true
99	shotgun	404799	392454	-	4096	true
