# seed=42 mode=sniper file=generated_pinknoise.flac filesize=404799
trial	mode	filesize	off	bit	span	detected
0	sniper	404799	92006	1	1	true
1	sniper	404799	226989	3	1	true
2	sniper	404799	247539	2	1	true
3	sniper	404799	301545	7	1	true
4	sniper	404799	242798	5	1	true
5	sniper	404799	20029	1	1	true
6	sniper	404799	119331	6	1	true
7	sniper	404799	252962	3	1	true
8	sniper	404799	301117	4	1	true
9	sniper	404799	374840	4	1	true
10	sniper	404799	242718	7	1	true
11	sniper	404799	126222	3	1	true
12	sniper	404799	202496	1	1	true
13	sniper	404799	72522	3	1	true
14	sniper	404799	73120	0	1	true
15	sniper	404799	64353	3	1	true
16	sniper	404799	301474	6	1	true
17	sniper	404799	304675	0	1	true
18	sniper	404799	218787	7	1	true
19	sniper	404799	351005	6	1	true
20	sniper	404799	238655	3	1	true
21	sniper	404799	155604	4	1	true
22	sniper	404799	137782	2	1	true
23	sniper	404799	316688	0	1	true
24	sniper	404799	271026	5	1	true
25	sniper	404799	403176	0	1	true
26	sniper	404799	358319	5	1	true
27	sniper	404799	378265	4	1	true
28	sniper	404799	360045	4	1	true
29	sniper	404799	232717	7	1	true
30	sniper	404799	344367	1	1	true
31	sniper	404799	311042	3	1	true
32	sniper	404799	38548	0	1	true
33	sniper	404799	362422	0	1	true
34	sniper	404799	77794	4	1	true
35	sniper	404799	40292	7	1	true
36	sniper	404799	328623	6	1	true
37	sniper	404799	285647	5	1	true
38	sniper	404799	396920	6	1	true
39	sniper	404799	20832	0	1	true
40	sniper	404799	376383	7	1	true
41	sniper	404799	182960	7	1	true
42	sniper	404799	226423	6	1	true
43	sniper	404799	50508	0	1	true
44	sniper	404799	404690	0	1	true
45	sniper	404799	65	6	1	false
46	sniper	404799	104877	3	1	true
47	sniper	404799	98928	5	1	true
48	sniper	404799	358232	2	1	true
49	sniper	404799	84401	2	1	true
50	sniper	404799	39043	2	1	true
51	sniper	404799	111395	3	1	true
52	sniper	404799	211976	7	1	true
53	sniper	404799	245701	2	1	true
54	sniper	404799	300217	6	1	true
55	sniper	404799	122172	7	1	true
56	sniper	404799	50846	6	1	true
57	sniper	404799	32551	6	1	true
58	sniper	404799	339301	1	1	true
59	sniper	404799	366669	2	1	true
60	sniper	404799	5269	4	1	false
61	sniper	404799	283215	2	1	true
62	sniper	404799	272909	5	1	true
63	sniper	404799	181096	7	1	true
64	sniper	404799	177374	0	1	true
65	sniper	404799	241839	0	1	true
66	sniper	404799	171366	3	1	true
67	sniper	404799	354970	7	1	true
68	sniper	404799	54215	1	1	true
69	sniper	404799	162516	3	1	true
70	sniper	404799	55123	2	1	true
71	sniper	404799	315134	6	1	true
72	sniper	404799	315089	2	1	true
73	sniper	404799	268415	4	1	true
74	sniper	404799	396745	2	1	true
75	sniper	404799	241243	2	1	true
76	sniper	404799	79895	0	1	true
77	sniper	404799	321562	4	1	true
78	sniper	404799	127062	2	1	true
79	sniper	404799	223614	4	1	true
80	sniper	404799	305207	2	1	true
81	sniper	404799	195993	3	1	true
82	sniper	404799	140274	0	1	true
83	sniper	404799	302310	2	1	true
84	sniper	404799	133287	2	1	true
85	sniper	404799	356152	3	1	true
86	sniper	404799	126374	6	1	true
87	sniper	404799	45467	6	1	true
88	sniper	404799	88875	0	1	true
89	sniper	404799	57301	5	1	true
90	sniper	404799	22868	6	1	true
91	sniper	404799	111359	4	1	true
92	sniper	404799	236206	2	1	true
93	sniper	404799	43940	3	1	true
94	sniper	404799	133323	4	1	true
95	sniper	404799	327851	7	1	true
96	sniper	404799	205524	6	1	true
97	sniper	404799	76860	2	1	true
98	sniper	404799	72645	0	1	true
99	sniper	404799	146047	7	1	true
