# seed=42 mode=bolter file=Addams Family, The (USA).gb filesize=131072
trial	mode	filesize	off	bit	span	detected
0	bolter	131072	97238	-	1	true
1	bolter	131072	115881	-	1	true
2	bolter	131072	111259	-	1	true
3	bolter	131072	86915	-	1	true
4	bolter	131072	89773	-	1	true
5	bolter	131072	46642	-	1	true
6	bolter	131072	78124	-	1	true
7	bolter	131072	116695	-	1	true
8	bolter	131072	2056	-	1	true
9	bolter	131072	80565	-	1	true
10	bolter	131072	7641	-	1	true
11	bolter	131072	8321	-	1	true
12	bolter	131072	19932	-	1	true
13	bolter	131072	56214	-	1	true
14	bolter	131072	63569	-	1	true
15	bolter	131072	8811	-	1	true
16	bolter	131072	60122	-	1	true
17	bolter	131072	56900	-	1	true
18	bolter	131072	113187	-	1	true
19	bolter	131072	113092	-	1	true
20	bolter	131072	40008	-	1	true
21	bolter	131072	85783	-	1	true
22	bolter	131072	75472	-	1	true
23	bolter	131072	26539	-	1	true
24	bolter	131072	11139	-	1	true
25	bolter	131072	41505	-	1	true
26	bolter	131072	7082	-	1	true
27	bolter	131072	7323	-	1	true
28	bolter	131072	1812	-	1	true
29	bolter	131072	40136	-	1	true
30	bolter	131072	123120	-	1	true
31	bolter	131072	17675	-	1	true
32	bolter	131072	63670	-	1	true
33	bolter	131072	97766	-	1	true
34	bolter	131072	17141	-	1	true
35	bolter	131072	66792	-	1	true
36	bolter	131072	26778	-	1	true
37	bolter	131072	55663	-	1	true
38	bolter	131072	120534	-	1	true
39	bolter	131072	10422	-	1	true
40	bolter	131072	70050	-	1	true
41	bolter	131072	115515	-	1	true
42	bolter	131072	92143	-	1	true
43	bolter	131072	95388	-	1	true
44	bolter	131072	4846	-	1	true
45	bolter	131072	71386	-	1	true
46	bolter	131072	109882	-	1	true
47	bolter	131072	25440	-	1	true
48	bolter	131072	32409	-	1	true
49	bolter	131072	18901	-	1	true
50	bolter	131072	12438	-	1	true
51	bolter	131072	61464	-	1	true
52	bolter	131072	40738	-	1	true
53	bolter	131072	53893	-	1	true
54	bolter	131072	117218	-	1	true
55	bolter	131072	35476	-	1	true
56	bolter	131072	46031	-	1	true
57	bolter	131072	78492	-	1	true
58	bolter	131072	21999	-	1	true
59	bolter	131072	53767	-	1	true
60	bolter	131072	63560	-	1	true
61	bolter	131072	47769	-	1	true
62	bolter	131072	26737	-	1	true
63	bolter	131072	29979	-	1	true
64	bolter	131072	49280	-	1	true
65	bolter	131072	85872	-	1	true
66	bolter	131072	121243	-	1	true
67	bolter	131072	49712	-	1	true
68	bolter	131072	66986	-	1	true
69	bolter	131072	125964	-	1	true
70	bolter	131072	21023	-	1	true
71	bolter	131072	25679	-	1	true
72	bolter	131072	24980	-	1	true
73	bolter	131072	90486	-	1	true
74	bolter	131072	122964	-	1	true
75	bolter	131072	90021	-	1	true
76	bolter	131072	78587	-	1	true
77	bolter	131072	52790	-	1	true
78	bolter	131072	46016	-	1	true
79	bolter	131072	9280	-	1	true
80	bolter	131072	126459	-	1	true
81	bolter	131072	115583	-	1	true
82	bolter	131072	98366	-	1	true
83	bolter	131072	49535	-	1	true
84	bolter	131072	18129	-	1	true
85	bolter	131072	8582	-	1	true
86	bolter	131072	55901	-	1	true
87	bolter	131072	99608	-	1	true
88	bolter	131072	107314	-	1	true
89	bolter	131072	70392	-	1	true
90	bolter	131072	126558	-	1	true
91	bolter	131072	41366	-	1	true
92	bolter	131072	107209	-	1	true
93	bolter	131072	45475	-	1	true
94	bolter	131072	122033	-	1	true
95	bolter	131072	56221	-	1	true
96	bolter	131072	66663	-	1	true
97	bolter	131072	72890	-	1	true
98	bolter	131072	92525	-	1	true
99	bolter	131072	22162	-	1	true
