# seed=42 mode=sniper file=animated_sample.gif filesize=410396
trial	mode	filesize	off	bit	span	detected
0	sniper	410396	11806	1	1	false
1	sniper	410396	294591	3	1	true
2	sniper	410396	303929	2	1	true
3	sniper	410396	230420	7	1	true
4	sniper	410396	49004	5	1	true
5	sniper	410396	178989	1	1	true
6	sniper	410396	288904	6	1	false
7	sniper	410396	84113	3	1	true
8	sniper	410396	3090	4	1	false
9	sniper	410396	323707	4	1	false
10	sniper	410396	5668	7	1	false
11	sniper	410396	184740	3	1	true
12	sniper	410396	238179	1	1	true
13	sniper	410396	227870	3	1	false
14	sniper	410396	390164	0	1	true
15	sniper	410396	224064	3	1	false
16	sniper	410396	88314	6	1	false
17	sniper	410396	279533	0	1	false
18	sniper	410396	90038	7	1	true
19	sniper	410396	110182	6	1	true
20	sniper	410396	353742	3	1	true
21	sniper	410396	366019	4	1	true
22	sniper	410396	353946	2	1	true
23	sniper	410396	136502	0	1	false
24	sniper	410396	88265	5	1	true
25	sniper	410396	119678	0	1	true
26	sniper	410396	102806	5	1	false
27	sniper	410396	136834	4	1	true
28	sniper	410396	277431	4	1	true
29	sniper	410396	297127	7	1	false
30	sniper	410396	71464	1	1	false
31	sniper	410396	192137	3	1	false
32	sniper	410396	241980	0	1	true
33	sniper	410396	287059	0	1	true
34	sniper	410396	231622	4	1	true
35	sniper	410396	368083	7	1	true
36	sniper	410396	210612	6	1	true
37	sniper	410396	306336	5	1	true
38	sniper	410396	375739	6	1	true
39	sniper	410396	282800	0	1	true
40	sniper	410396	275619	7	1	true
41	sniper	410396	116538	7	1	false
42	sniper	410396	350433	6	1	true
43	sniper	410396	185873	0	1	true
44	sniper	410396	185182	0	1	false
45	sniper	410396	231026	6	1	false
46	sniper	410396	275809	3	1	false
47	sniper	410396	294197	5	1	true
48	sniper	410396	183491	2	1	true
49	sniper	410396	40501	2	1	true
50	sniper	410396	36289	2	1	true
51	sniper	410396	170521	3	1	true
52	sniper	410396	29832	7	1	false
53	sniper	410396	87438	2	1	true
54	sniper	410396	86440	6	1	true
55	sniper	410396	26263	7	1	true
56	sniper	410396	407507	6	1	true
57	sniper	410396	191833	6	1	true
58	sniper	410396	150487	1	1	true
59	sniper	410396	270903	2	1	true
60	sniper	410396	271341	4	1	false
61	sniper	410396	198026	2	1	true
62	sniper	410396	289548	5	1	true
63	sniper	410396	4710	7	1	true
64	sniper	410396	242714	0	1	true
65	sniper	410396	252568	0	1	true
66	sniper	410396	341985	3	1	false
67	sniper	410396	135766	7	1	false
68	sniper	410396	355970	1	1	true
69	sniper	410396	5943	3	1	false
70	sniper	410396	254031	2	1	true
71	sniper	410396	99569	6	1	true
72	sniper	410396	251081	2	1	false
73	sniper	410396	199865	4	1	true
74	sniper	410396	130181	2	1	true
75	sniper	410396	186149	2	1	true
76	sniper	410396	227956	0	1	true
77	sniper	410396	203113	4	1	true
78	sniper	410396	26915	2	1	false
79	sniper	410396	328866	4	1	true
80	sniper	410396	396851	2	1	false
81	sniper	410396	54101	3	1	true
82	sniper	410396	209673	0	1	true
83	sniper	410396	66753	2	1	false
84	sniper	410396	156864	2	1	true
85	sniper	410396	159175	3	1	true
86	sniper	410396	261587	6	1	false
87	sniper	410396	62982	6	1	false
88	sniper	410396	131970	0	1	false
89	sniper	410396	19758	5	1	true
90	sniper	410396	133744	6	1	true
91	sniper	410396	23765	4	1	true
92	sniper	410396	26685	2	1	true
93	sniper	410396	378365	3	1	false
94	sniper	410396	257789	4	1	false
95	sniper	410396	9117	7	1	true
96	sniper	410396	181017	6	1	true
97	sniper	410396	70789	2	1	true
98	sniper	410396	11507	0	1	false
99	sniper	410396	62226	7	1	false
