# seed=42 mode=sniper file=corpus_xorshift.gz filesize=16625
trial	mode	filesize	off	bit	span	detected
0	sniper	16625	15551	1	1	true
1	sniper	16625	15060	3	1	true
2	sniper	16625	8207	2	1	true
3	sniper	16625	14225	7	1	true
4	sniper	16625	7529	5	1	true
5	sniper	16625	11080	1	1	true
6	sniper	16625	15218	6	1	true
7	sniper	16625	1548	3	1	true
8	sniper	16625	14983	4	1	true
9	sniper	16625	6306	4	1	true
10	sniper	16625	14166	7	1	true
11	sniper	16625	14220	3	1	true
12	sniper	16625	12093	1	1	true
13	sniper	16625	4045	3	1	true
14	sniper	16625	7404	0	1	true
15	sniper	16625	16066	3	1	true
16	sniper	16625	4300	6	1	true
17	sniper	16625	11160	0	1	true
18	sniper	16625	13913	7	1	true
19	sniper	16625	14142	6	1	true
20	sniper	16625	8355	3	1	true
21	sniper	16625	14255	4	1	true
22	sniper	16625	11604	2	1	true
23	sniper	16625	590	0	1	true
24	sniper	16625	8626	5	1	true
25	sniper	16625	6971	0	1	true
26	sniper	16625	16244	5	1	true
27	sniper	16625	7397	4	1	true
28	sniper	16625	3696	4	1	true
29	sniper	16625	12668	7	1	true
30	sniper	16625	13497	1	1	true
31	sniper	16625	11341	3	1	true
32	sniper	16625	7767	0	1	true
33	sniper	16625	9068	0	1	true
34	sniper	16625	15742	4	1	true
35	sniper	16625	11006	7	1	true
36	sniper	16625	15991	6	1	true
37	sniper	16625	14842	5	1	true
38	sniper	16625	11438	6	1	true
39	sniper	16625	175	0	1	true
40	sniper	16625	9514	7	1	true
41	sniper	16625	2522	7	1	true
42	sniper	16625	13663	6	1	true
43	sniper	16625	7933	0	1	true
44	sniper	16625	3028	0	1	true
45	sniper	16625	10379	6	1	true
46	sniper	16625	12056	3	1	true
47	sniper	16625	5832	5	1	true
48	sniper	16625	15365	2	1	true
49	sniper	16625	12361	2	1	true
50	sniper	16625	4957	2	1	true
51	sniper	16625	148	3	1	true
52	sniper	16625	11394	7	1	true
53	sniper	16625	15184	2	1	true
54	sniper	16625	7725	6	1	true
55	sniper	16625	16155	7	1	true
56	sniper	16625	1696	6	1	true
57	sniper	16625	4793	6	1	true
58	sniper	16625	3165	1	1	true
59	sniper	16625	4434	2	1	true
60	sniper	16625	2177	4	1	true
61	sniper	16625	13814	2	1	true
62	sniper	16625	1792	5	1	true
63	sniper	16625	6873	7	1	true
64	sniper	16625	5771	0	1	true
65	sniper	16625	6518	0	1	true
66	sniper	16625	8792	3	1	true
67	sniper	16625	11873	7	1	true
68	sniper	16625	10345	1	1	true
69	sniper	16625	2170	3	1	true
70	sniper	16625	5244	2	1	true
71	sniper	16625	15254	6	1	true
72	sniper	16625	15545	2	1	true
73	sniper	16625	10522	4	1	true
74	sniper	16625	9550	2	1	true
75	sniper	16625	14551	2	1	true
76	sniper	16625	13546	0	1	true
77	sniper	16625	1646	4	1	true
78	sniper	16625	4886	2	1	true
79	sniper	16625	16204	4	1	true
80	sniper	16625	12376	2	1	true
81	sniper	16625	13046	3	1	true
82	sniper	16625	13421	0	1	true
83	sniper	16625	519	2	1	true
84	sniper	16625	11537	2	1	true
85	sniper	16625	7576	3	1	true
86	sniper	16625	12954	6	1	true
87	sniper	16625	5043	6	1	true
88	sniper	16625	125	0	1	true
89	sniper	16625	1187	5	1	true
90	sniper	16625	9473	6	1	true
91	sniper	16625	5502	4	1	true
92	sniper	16625	15499	2	1	true
93	sniper	16625	5706	3	1	true
94	sniper	16625	98	4	1	true
95	sniper	16625	7521	7	1	true
96	sniper	16625	12828	6	1	true
97	sniper	16625	13998	2	1	true
98	sniper	16625	16155	0	1	true
99	sniper	16625	15501	7	1	true
