# seed=42 mode=shotgun file=sample.h5 filesize=20712
trial	mode	filesize	off	bit	span	detected
0	shotgun	20712	10880	-	4096	true
1	shotgun	20712	12463	-	4096	true
2	shotgun	20712	3024	-	4096	true
3	shotgun	20712	12086	-	4096	true
4	shotgun	20712	3453	-	4096	true
5	shotgun	20712	10999	-	4096	true
6	shotgun	20712	576	-	4096	true
7	shotgun	20712	10342	-	4096	true
8	shotgun	20712	2690	-	4096	true
9	shotgun	20712	3518	-	4096	true
10	shotgun	20712	9143	-	4096	true
11	shotgun	20712	5614	-	4096	true
12	shotgun	20712	3757	-	4096	true
13	shotgun	20712	10582	-	4096	true
14	shotgun	20712	14712	-	4096	true
15	shotgun	20712	14200	-	4096	true
16	shotgun	20712	5227	-	4096	true
17	shotgun	20712	6351	-	4096	true
18	shotgun	20712	16140	-	4096	true
19	shotgun	20712	7946	-	4096	true
20	shotgun	20712	13687	-	4096	true
21	shotgun	20712	13799	-	4096	false
22	shotgun	20712	417	-	4096	true
23	shotgun	20712	14781	-	4096	true
24	shotgun	20712	2915	-	4096	true
25	shotgun	20712	13453	-	4096	true
26	shotgun	20712	7838	-	4096	true
27	shotgun	20712	16021	-	4096	true
28	shotgun	20712	14766	-	4096	true
29	shotgun	20712	395	-	4096	true
30	shotgun	20712	15389	-	4096	true
31	shotgun	20712	4803	-	4096	true
32	shotgun	20712	14590	-	4096	true
33	shotgun	20712	11599	-	4096	true
34	shotgun	20712	3012	-	4096	true
35	shotgun	20712	12839	-	4096	true
36	shotgun	20712	11834	-	4096	true
37	shotgun	20712	8070	-	4096	true
38	shotgun	20712	6591	-	4096	true
39	shotgun	20712	2063	-	4096	true
40	shotgun	20712	8450	-	4096	true
41	shotgun	20712	8322	-	4096	true
42	shotgun	20712	12817	-	4096	true
43	shotgun	20712	7140	-	4096	true
44	shotgun	20712	1045	-	4096	true
45	shotgun	20712	14784	-	4096	true
46	shotgun	20712	3150	-	4096	true
47	shotgun	20712	11898	-	4096	true
48	shotgun	20712	1859	-	4096	true
49	shotgun	20712	14399	-	4096	true
50	shotgun	20712	8948	-	4096	true
51	shotgun	20712	14835	-	4096	true
52	shotgun	20712	5152	-	4096	true
53	shotgun	20712	14708	-	4096	true
54	shotgun	20712	7738	-	4096	true
55	shotgun	20712	661	-	4096	true
56	shotgun	20712	10447	-	4096	true
57	shotgun	20712	9984	-	4096	true
58	shotgun	20712	2689	-	4096	true
59	shotgun	20712	10481	-	4096	true
60	shotgun	20712	15789	-	4096	true
61	shotgun	20712	15253	-	4096	true
62	shotgun	20712	4768	-	4096	true
63	shotgun	20712	8947	-	4096	true
64	shotgun	20712	3081	-	4096	true
65	shotgun	20712	16509	-	4096	true
66	shotgun	20712	7724	-	4096	true
67	shotgun	20712	7282	-	4096	true
68	shotgun	20712	5031	-	4096	true
69	shotgun	20712	13219	-	4096	true
70	shotgun	20712	10776	-	4096	true
71	shotgun	20712	13383	-	4096	true
72	shotgun	20712	3781	-	4096	true
73	shotgun	20712	6100	-	4096	true
74	shotgun	20712	15589	-	4096	true
75	shotgun	20712	11959	-	4096	true
76	shotgun	20712	16169	-	4096	true
77	shotgun	20712	5920	-	4096	true
78	shotgun	20712	7682	-	4096	true
79	shotgun	20712	11643	-	4096	true
80	shotgun	20712	1800	-	4096	true
81	shotgun	20712	7586	-	4096	true
82	shotgun	20712	2366	-	4096	true
83	shotgun	20712	7080	-	4096	true
84	shotgun	20712	2133	-	4096	true
85	shotgun	20712	1746	-	4096	true
86	shotgun	20712	5516	-	4096	true
87	shotgun	20712	11907	-	4096	true
88	shotgun	20712	12793	-	4096	true
89	shotgun	20712	2591	-	4096	true
90	shotgun	20712	5424	-	4096	true
91	shotgun	20712	3157	-	4096	true
92	shotgun	20712	2035	-	4096	true
93	shotgun	20712	12801	-	4096	true
94	shotgun	20712	7050	-	4096	true
95	shotgun	20712	13321	-	4096	true
96	shotgun	20712	9810	-	4096	true
97	shotgun	20712	4320	-	4096	true
98	shotgun	20712	8034	-	4096	true
99	shotgun	20712	13875	-	4096	false
