# seed=42 mode=bolter file=large_utf8.html filesize=35110
trial	mode	filesize	off	bit	span	detected
0	bolter	35110	20326	-	1	true
1	bolter	35110	5369	-	1	true
2	bolter	35110	16565	-	1	true
3	bolter	35110	28705	-	1	true
4	bolter	35110	32067	-	1	true
5	bolter	35110	3226	-	1	true
6	bolter	35110	27960	-	1	true
7	bolter	35110	1081	-	1	true
8	bolter	35110	32834	-	1	true
9	bolter	35110	32833	-	1	true
10	bolter	35110	5425	-	1	true
11	bolter	35110	12785	-	1	true
12	bolter	35110	22618	-	1	true
13	bolter	35110	15084	-	1	true
14	bolter	35110	5573	-	1	true
15	bolter	35110	26675	-	1	true
16	bolter	35110	26198	-	1	true
17	bolter	35110	31624	-	1	true
18	bolter	35110	29371	-	1	true
19	bolter	35110	23208	-	1	true
20	bolter	35110	13266	-	1	true
21	bolter	35110	33585	-	1	true
22	bolter	35110	26370	-	1	true
23	bolter	35110	23517	-	1	true
24	bolter	35110	2803	-	1	true
25	bolter	35110	13897	-	1	true
26	bolter	35110	19400	-	1	true
27	bolter	35110	25823	-	1	true
28	bolter	35110	18624	-	1	true
29	bolter	35110	27268	-	1	true
30	bolter	35110	14756	-	1	true
31	bolter	35110	33095	-	1	true
32	bolter	35110	33010	-	1	true
33	bolter	35110	6958	-	1	true
34	bolter	35110	7585	-	1	true
35	bolter	35110	26586	-	1	true
36	bolter	35110	7238	-	1	true
37	bolter	35110	33229	-	1	true
38	bolter	35110	8522	-	1	true
39	bolter	35110	5048	-	1	true
40	bolter	35110	4960	-	1	true
41	bolter	35110	6097	-	1	true
42	bolter	35110	3515	-	1	true
43	bolter	35110	16866	-	1	true
44	bolter	35110	20504	-	1	true
45	bolter	35110	7532	-	1	true
46	bolter	35110	3970	-	1	true
47	bolter	35110	15778	-	1	true
48	bolter	35110	19591	-	1	true
49	bolter	35110	26441	-	1	true
50	bolter	35110	15916	-	1	true
51	bolter	35110	20318	-	1	true
52	bolter	35110	18554	-	1	true
53	bolter	35110	5655	-	1	true
54	bolter	35110	32842	-	1	true
55	bolter	35110	10494	-	1	true
56	bolter	35110	2841	-	1	true
57	bolter	35110	18914	-	1	true
58	bolter	35110	24413	-	1	true
59	bolter	35110	7161	-	1	true
60	bolter	35110	8322	-	1	true
61	bolter	35110	9631	-	1	true
62	bolter	35110	10151	-	1	true
63	bolter	35110	6803	-	1	true
64	bolter	35110	14202	-	1	true
65	bolter	35110	11322	-	1	true
66	bolter	35110	5153	-	1	true
67	bolter	35110	32040	-	1	true
68	bolter	35110	17322	-	1	true
69	bolter	35110	17522	-	1	true
70	bolter	35110	20191	-	1	true
71	bolter	35110	26535	-	1	true
72	bolter	35110	25026	-	1	true
73	bolter	35110	1324	-	1	true
74	bolter	35110	16982	-	1	true
75	bolter	35110	31777	-	1	true
76	bolter	35110	34723	-	1	true
77	bolter	35110	11460	-	1	true
78	bolter	35110	9080	-	1	true
79	bolter	35110	25014	-	1	true
80	bolter	35110	1669	-	1	true
81	bolter	35110	31685	-	1	true
82	bolter	35110	33932	-	1	true
83	bolter	35110	6993	-	1	true
84	bolter	35110	18303	-	1	true
85	bolter	35110	14396	-	1	true
86	bolter	35110	20163	-	1	true
87	bolter	35110	32900	-	1	true
88	bolter	35110	14258	-	1	true
89	bolter	35110	1118	-	1	true
90	bolter	35110	3454	-	1	true
91	bolter	35110	28312	-	1	true
92	bolter	35110	11221	-	1	true
93	bolter	35110	4503	-	1	true
94	bolter	35110	17	-	1	true
95	bolter	35110	21405	-	1	true
96	bolter	35110	8635	-	1	true
97	bolter	35110	33434	-	1	true
98	bolter	35110	12631	-	1	true
99	bolter	35110	29360	-	1	true
