# seed=42 mode=shotgun file=sample.icns filesize=239891
trial	mode	filesize	off	bit	span	detected
0	shotgun	239891	141610	-	4096	true
1	shotgun	239891	20255	-	4096	true
2	shotgun	239891	99631	-	4096	true
3	shotgun	239891	33068	-	4096	true
4	shotgun	239891	95777	-	4096	true
5	shotgun	239891	227866	-	4096	true
6	shotgun	239891	167565	-	4096	true
7	shotgun	239891	41726	-	4096	true
8	shotgun	239891	69387	-	4096	true
9	shotgun	239891	47354	-	4096	true
10	shotgun	239891	165425	-	4096	true
11	shotgun	239891	196685	-	4096	true
12	shotgun	239891	227289	-	4096	true
13	shotgun	239891	223430	-	4096	true
14	shotgun	239891	142988	-	4096	true
15	shotgun	239891	49587	-	4096	true
16	shotgun	239891	153045	-	4096	true
17	shotgun	239891	136134	-	4096	true
18	shotgun	239891	132517	-	4096	true
19	shotgun	239891	200803	-	4096	true
20	shotgun	239891	42967	-	4096	true
21	shotgun	239891	200588	-	4096	true
22	shotgun	239891	88027	-	4096	true
23	shotgun	239891	233459	-	4096	true
24	shotgun	239891	3431	-	4096	true
25	shotgun	239891	120887	-	4096	true
26	shotgun	239891	82191	-	4096	true
27	shotgun	239891	47621	-	4096	true
28	shotgun	239891	176521	-	4096	true
29	shotgun	239891	9447	-	4096	true
30	shotgun	239891	71679	-	4096	true
31	shotgun	239891	126121	-	4096	true
32	shotgun	239891	208799	-	4096	true
33	shotgun	239891	4787	-	4096	true
34	shotgun	239891	29191	-	4096	true
35	shotgun	239891	55656	-	4096	true
36	shotgun	239891	224946	-	4096	true
37	shotgun	239891	134393	-	4096	true
38	shotgun	239891	188839	-	4096	true
39	shotgun	239891	144174	-	4096	true
40	shotgun	239891	150368	-	4096	true
41	shotgun	239891	38989	-	4096	true
42	shotgun	239891	11663	-	4096	true
43	shotgun	239891	184688	-	4096	true
44	shotgun	239891	25212	-	4096	true
45	shotgun	239891	154059	-	4096	true
46	shotgun	239891	191929	-	4096	true
47	shotgun	239891	167594	-	4096	true
48	shotgun	239891	210673	-	4096	true
49	shotgun	239891	202286	-	4096	true
50	shotgun	239891	104843	-	4096	true
51	shotgun	239891	177135	-	4096	true
52	shotgun	239891	141235	-	4096	true
53	shotgun	239891	23385	-	4096	true
54	shotgun	239891	206602	-	4096	true
55	shotgun	239891	193053	-	4096	true
56	shotgun	239891	55737	-	4096	true
57	shotgun	239891	177273	-	4096	true
58	shotgun	239891	62105	-	4096	true
59	shotgun	239891	927	-	4096	true
60	shotgun	239891	93656	-	4096	true
61	shotgun	239891	184666	-	4096	true
62	shotgun	239891	123487	-	4096	true
63	shotgun	239891	172425	-	4096	true
64	shotgun	239891	55440	-	4096	true
65	shotgun	239891	77284	-	4096	true
66	shotgun	239891	114863	-	4096	true
67	shotgun	239891	97787	-	4096	true
68	shotgun	239891	33778	-	4096	true
69	shotgun	239891	38945	-	4096	true
70	shotgun	239891	51606	-	4096	true
71	shotgun	239891	85255	-	4096	true
72	shotgun	239891	133170	-	4096	true
73	shotgun	239891	133372	-	4096	true
74	shotgun	239891	142989	-	4096	true
75	shotgun	239891	113514	-	4096	true
76	shotgun	239891	108067	-	4096	true
77	shotgun	239891	199350	-	4096	true
78	shotgun	239891	231822	-	4096	true
79	shotgun	239891	7974	-	4096	true
80	shotgun	239891	83426	-	4096	true
81	shotgun	239891	53059	-	4096	true
82	shotgun	239891	100834	-	4096	true
83	shotgun	239891	46657	-	4096	true
84	shotgun	239891	15314	-	4096	true
85	shotgun	239891	154779	-	4096	true
86	shotgun	239891	234474	-	4096	true
87	shotgun	239891	125600	-	4096	true
88	shotgun	239891	104535	-	4096	true
89	shotgun	239891	14346	-	4096	true
90	shotgun	239891	186307	-	4096	true
91	shotgun	239891	190934	-	4096	true
92	shotgun	239891	106231	-	4096	true
93	shotgun	239891	231605	-	4096	true
94	shotgun	239891	202544	-	4096	true
95	shotgun	239891	30607	-	4096	true
96	shotgun	239891	128034	-	4096	true
97	shotgun	239891	110155	-	4096	true
98	shotgun	239891	25806	-	4096	true
99	shotgun	239891	43590	-	4096	true
