# seed=42 mode=shotgun file=sample.indd filesize=163840
trial	mode	filesize	off	bit	span	detected
0	shotgun	163840	89051	-	4096	false
1	shotgun	163840	68639	-	4096	false
2	shotgun	163840	36399	-	4096	false
3	shotgun	163840	131601	-	4096	false
4	shotgun	163840	33180	-	4096	false
5	shotgun	163840	44619	-	4096	false
6	shotgun	163840	136677	-	4096	false
7	shotgun	163840	150745	-	4096	false
8	shotgun	163840	113031	-	4096	false
9	shotgun	163840	109507	-	4096	false
10	shotgun	163840	85073	-	4096	false
11	shotgun	163840	44580	-	4096	false
12	shotgun	163840	32419	-	4096	false
13	shotgun	163840	26984	-	4096	false
14	shotgun	163840	78493	-	4096	false
15	shotgun	163840	151472	-	4096	false
16	shotgun	163840	2901	-	4096	true
17	shotgun	163840	88948	-	4096	false
18	shotgun	163840	116471	-	4096	false
19	shotgun	163840	1952	-	4096	true
20	shotgun	163840	31593	-	4096	false
21	shotgun	163840	119672	-	4096	false
22	shotgun	163840	102680	-	4096	false
23	shotgun	163840	32717	-	4096	false
24	shotgun	163840	77901	-	4096	false
25	shotgun	163840	40981	-	4096	false
26	shotgun	163840	57051	-	4096	false
27	shotgun	163840	72123	-	4096	false
28	shotgun	163840	19486	-	4096	false
29	shotgun	163840	20116	-	4096	false
30	shotgun	163840	68329	-	4096	false
31	shotgun	163840	95106	-	4096	false
32	shotgun	163840	150873	-	4096	false
33	shotgun	163840	68706	-	4096	false
34	shotgun	163840	7268	-	4096	false
35	shotgun	163840	93802	-	4096	false
36	shotgun	163840	14666	-	4096	false
37	shotgun	163840	19680	-	4096	false
38	shotgun	163840	69709	-	4096	false
39	shotgun	163840	147078	-	4096	false
40	shotgun	163840	119476	-	4096	false
41	shotgun	163840	107834	-	4096	false
42	shotgun	163840	100787	-	4096	false
43	shotgun	163840	22033	-	4096	false
44	shotgun	163840	58308	-	4096	false
45	shotgun	163840	43389	-	4096	false
46	shotgun	163840	81888	-	4096	false
47	shotgun	163840	130956	-	4096	false
48	shotgun	163840	48021	-	4096	false
49	shotgun	163840	26427	-	4096	false
50	shotgun	163840	37945	-	4096	false
51	shotgun	163840	89775	-	4096	false
52	shotgun	163840	78131	-	4096	false
53	shotgun	163840	116488	-	4096	false
54	shotgun	163840	13690	-	4096	false
55	shotgun	163840	45560	-	4096	false
56	shotgun	163840	24780	-	4096	false
57	shotgun	163840	145627	-	4096	false
58	shotgun	163840	95327	-	4096	false
59	shotgun	163840	111275	-	4096	false
60	shotgun	163840	150815	-	4096	false
61	shotgun	163840	99955	-	4096	false
62	shotgun	163840	117423	-	4096	false
63	shotgun	163840	107927	-	4096	false
64	shotgun	163840	85376	-	4096	false
65	shotgun	163840	109557	-	4096	false
66	shotgun	163840	72223	-	4096	false
67	shotgun	163840	120777	-	4096	false
68	shotgun	163840	13564	-	4096	false
69	shotgun	163840	122759	-	4096	false
70	shotgun	163840	11049	-	4096	false
71	shotgun	163840	34337	-	4096	false
72	shotgun	163840	89712	-	4096	false
73	shotgun	163840	157622	-	4096	false
74	shotgun	163840	36237	-	4096	false
75	shotgun	163840	53184	-	4096	false
76	shotgun	163840	158593	-	4096	false
77	shotgun	163840	151342	-	4096	false
78	shotgun	163840	127089	-	4096	false
79	shotgun	163840	42835	-	4096	false
80	shotgun	163840	136800	-	4096	false
81	shotgun	163840	139399	-	4096	false
82	shotgun	163840	72153	-	4096	false
83	shotgun	163840	61686	-	4096	false
84	shotgun	163840	63001	-	4096	false
85	shotgun	163840	48848	-	4096	false
86	shotgun	163840	125765	-	4096	false
87	shotgun	163840	139937	-	4096	false
88	shotgun	163840	48378	-	4096	false
89	shotgun	163840	73338	-	4096	false
90	shotgun	163840	117581	-	4096	false
91	shotgun	163840	154229	-	4096	false
92	shotgun	163840	144316	-	4096	false
93	shotgun	163840	75015	-	4096	false
94	shotgun	163840	136154	-	4096	false
95	shotgun	163840	98	-	4096	true
96	shotgun	163840	104341	-	4096	false
97	shotgun	163840	157018	-	4096	false
98	shotgun	163840	4008	-	4096	true
99	shotgun	163840	78072	-	4096	false
