# seed=42 mode=shotgun file=sample.iso filesize=358400
trial	mode	filesize	off	bit	span	detected
0	shotgun	358400	278471	-	4096	false
1	shotgun	358400	340219	-	4096	false
2	shotgun	358400	219809	-	4096	false
3	shotgun	358400	6356	-	4096	false
4	shotgun	358400	2880	-	4096	false
5	shotgun	358400	182899	-	4096	false
6	shotgun	358400	339792	-	4096	false
7	shotgun	358400	122650	-	4096	false
8	shotgun	358400	187196	-	4096	false
9	shotgun	358400	131297	-	4096	false
10	shotgun	358400	254578	-	4096	false
11	shotgun	358400	177705	-	4096	false
12	shotgun	358400	49024	-	4096	false
13	shotgun	358400	201009	-	4096	false
14	shotgun	358400	105628	-	4096	false
15	shotgun	358400	257152	-	4096	false
16	shotgun	358400	144466	-	4096	false
17	shotgun	358400	327613	-	4096	false
18	shotgun	358400	61216	-	4096	false
19	shotgun	358400	159027	-	4096	false
20	shotgun	358400	271728	-	4096	false
21	shotgun	358400	306602	-	4096	false
22	shotgun	358400	990	-	4096	false
23	shotgun	358400	17837	-	4096	false
24	shotgun	358400	204611	-	4096	false
25	shotgun	358400	153456	-	4096	false
26	shotgun	358400	94361	-	4096	false
27	shotgun	358400	346833	-	4096	false
28	shotgun	358400	144646	-	4096	false
29	shotgun	358400	157206	-	4096	false
30	shotgun	358400	126169	-	4096	false
31	shotgun	358400	199241	-	4096	false
32	shotgun	358400	94428	-	4096	false
33	shotgun	358400	97931	-	4096	false
34	shotgun	358400	84378	-	4096	false
35	shotgun	358400	308507	-	4096	false
36	shotgun	358400	83841	-	4096	false
37	shotgun	358400	220080	-	4096	false
38	shotgun	358400	139909	-	4096	false
39	shotgun	358400	146268	-	4096	false
40	shotgun	358400	99366	-	4096	false
41	shotgun	358400	276104	-	4096	false
42	shotgun	358400	93037	-	4096	false
43	shotgun	358400	24903	-	4096	false
44	shotgun	358400	290983	-	4096	false
45	shotgun	358400	201964	-	4096	false
46	shotgun	358400	223373	-	4096	false
47	shotgun	358400	211111	-	4096	false
48	shotgun	358400	306886	-	4096	false
49	shotgun	358400	228892	-	4096	false
50	shotgun	358400	336895	-	4096	false
51	shotgun	358400	170500	-	4096	false
52	shotgun	358400	327751	-	4096	false
53	shotgun	358400	33808	-	4096	false
54	shotgun	358400	137045	-	4096	false
55	shotgun	358400	309890	-	4096	false
56	shotgun	358400	4335	-	4096	false
57	shotgun	358400	332392	-	4096	false
58	shotgun	358400	105447	-	4096	false
59	shotgun	358400	207020	-	4096	false
60	shotgun	358400	131535	-	4096	false
61	shotgun	358400	14680	-	4096	false
62	shotgun	358400	340928	-	4096	false
63	shotgun	358400	233372	-	4096	false
64	shotgun	358400	186441	-	4096	false
65	shotgun	358400	325547	-	4096	false
66	shotgun	358400	120223	-	4096	false
67	shotgun	358400	231707	-	4096	false
68	shotgun	358400	189919	-	4096	false
69	shotgun	358400	131639	-	4096	false
70	shotgun	358400	330319	-	4096	false
71	shotgun	358400	66672	-	4096	false
72	shotgun	358400	311482	-	4096	false
73	shotgun	358400	168832	-	4096	false
74	shotgun	358400	342772	-	4096	false
75	shotgun	358400	301324	-	4096	false
76	shotgun	358400	189788	-	4096	false
77	shotgun	358400	340552	-	4096	false
78	shotgun	358400	317484	-	4096	false
79	shotgun	358400	315715	-	4096	false
80	shotgun	358400	226225	-	4096	false
81	shotgun	358400	106524	-	4096	false
82	shotgun	358400	35218	-	4096	false
83	shotgun	358400	66481	-	4096	false
84	shotgun	358400	95341	-	4096	false
85	shotgun	358400	83303	-	4096	false
86	shotgun	358400	292780	-	4096	false
87	shotgun	358400	95947	-	4096	false
88	shotgun	358400	255363	-	4096	false
89	shotgun	358400	350593	-	4096	false
90	shotgun	358400	310451	-	4096	false
91	shotgun	358400	299589	-	4096	false
92	shotgun	358400	227606	-	4096	false
93	shotgun	358400	175915	-	4096	false
94	shotgun	358400	122414	-	4096	false
95	shotgun	358400	211388	-	4096	false
96	shotgun	358400	305096	-	4096	false
97	shotgun	358400	205443	-	4096	false
98	shotgun	358400	245638	-	4096	false
99	shotgun	358400	342777	-	4096	false
