# seed=42 mode=bolter file=sample.ivf filesize=9559
trial	mode	filesize	off	bit	span	detected
0	bolter	9559	7542	-	1	false
1	bolter	9559	3500	-	1	false
2	bolter	9559	3698	-	1	false
3	bolter	9559	7771	-	1	false
4	bolter	9559	3244	-	1	false
5	bolter	9559	2386	-	1	false
6	bolter	9559	4955	-	1	false
7	bolter	9559	156	-	1	false
8	bolter	9559	1567	-	1	false
9	bolter	9559	701	-	1	false
10	bolter	9559	889	-	1	false
11	bolter	9559	8238	-	1	false
12	bolter	9559	8177	-	1	false
13	bolter	9559	6903	-	1	false
14	bolter	9559	1374	-	1	false
15	bolter	9559	5961	-	1	false
16	bolter	9559	8758	-	1	false
17	bolter	9559	6349	-	1	false
18	bolter	9559	4813	-	1	false
19	bolter	9559	3410	-	1	false
20	bolter	9559	5813	-	1	false
21	bolter	9559	1114	-	1	false
22	bolter	9559	5644	-	1	false
23	bolter	9559	108	-	1	false
24	bolter	9559	6725	-	1	false
25	bolter	9559	402	-	1	false
26	bolter	9559	7199	-	1	false
27	bolter	9559	171	-	1	false
28	bolter	9559	240	-	1	false
29	bolter	9559	4002	-	1	false
30	bolter	9559	1151	-	1	false
31	bolter	9559	5406	-	1	false
32	bolter	9559	1397	-	1	false
33	bolter	9559	5442	-	1	false
34	bolter	9559	1519	-	1	false
35	bolter	9559	6730	-	1	false
36	bolter	9559	9431	-	1	false
37	bolter	9559	8847	-	1	false
38	bolter	9559	876	-	1	false
39	bolter	9559	367	-	1	false
40	bolter	9559	6705	-	1	false
41	bolter	9559	3150	-	1	false
42	bolter	9559	120	-	1	false
43	bolter	9559	6506	-	1	false
44	bolter	9559	3518	-	1	false
45	bolter	9559	3248	-	1	false
46	bolter	9559	3670	-	1	false
47	bolter	9559	8567	-	1	false
48	bolter	9559	3907	-	1	false
49	bolter	9559	1648	-	1	false
50	bolter	9559	8919	-	1	false
51	bolter	9559	9036	-	1	false
52	bolter	9559	4811	-	1	false
53	bolter	9559	5203	-	1	false
54	bolter	9559	6444	-	1	false
55	bolter	9559	1996	-	1	false
56	bolter	9559	6161	-	1	false
57	bolter	9559	1058	-	1	false
58	bolter	9559	692	-	1	false
59	bolter	9559	2926	-	1	false
60	bolter	9559	2512	-	1	false
61	bolter	9559	7377	-	1	false
62	bolter	9559	6970	-	1	false
63	bolter	9559	8284	-	1	false
64	bolter	9559	1112	-	1	false
65	bolter	9559	4240	-	1	false
66	bolter	9559	8547	-	1	false
67	bolter	9559	7590	-	1	false
68	bolter	9559	6036	-	1	false
69	bolter	9559	5809	-	1	false
70	bolter	9559	6119	-	1	false
71	bolter	9559	5195	-	1	false
72	bolter	9559	766	-	1	false
73	bolter	9559	3799	-	1	false
74	bolter	9559	8738	-	1	false
75	bolter	9559	2707	-	1	false
76	bolter	9559	51	-	1	false
77	bolter	9559	3877	-	1	false
78	bolter	9559	5172	-	1	false
79	bolter	9559	7857	-	1	false
80	bolter	9559	7037	-	1	false
81	bolter	9559	2199	-	1	false
82	bolter	9559	2424	-	1	false
83	bolter	9559	2359	-	1	false
84	bolter	9559	6340	-	1	false
85	bolter	9559	1736	-	1	false
86	bolter	9559	5532	-	1	false
87	bolter	9559	5014	-	1	false
88	bolter	9559	8611	-	1	false
89	bolter	9559	247	-	1	false
90	bolter	9559	6227	-	1	false
91	bolter	9559	3859	-	1	false
92	bolter	9559	30	-	1	false
93	bolter	9559	4031	-	1	false
94	bolter	9559	268	-	1	false
95	bolter	9559	6379	-	1	false
96	bolter	9559	7793	-	1	false
97	bolter	9559	7259	-	1	false
98	bolter	9559	2184	-	1	false
99	bolter	9559	557	-	1	false
