# seed=42 mode=sniper file=sample.ivf filesize=9559
trial	mode	filesize	off	bit	span	detected
0	sniper	9559	7542	1	1	false
1	sniper	9559	3698	3	1	false
2	sniper	9559	3244	2	1	false
3	sniper	9559	4955	7	1	false
4	sniper	9559	1567	5	1	false
5	sniper	9559	889	1	1	false
6	sniper	9559	8177	6	1	false
7	sniper	9559	1374	3	1	false
8	sniper	9559	8758	4	1	false
9	sniper	9559	4813	4	1	false
10	sniper	9559	5813	7	1	false
11	sniper	9559	5644	3	1	false
12	sniper	9559	6725	1	1	false
13	sniper	9559	7199	3	1	false
14	sniper	9559	240	0	1	false
15	sniper	9559	1151	3	1	false
16	sniper	9559	1397	6	1	false
17	sniper	9559	1519	0	1	false
18	sniper	9559	9431	7	1	false
19	sniper	9559	876	6	1	false
20	sniper	9559	6705	3	1	false
21	sniper	9559	120	4	1	false
22	sniper	9559	3518	2	1	false
23	sniper	9559	3670	0	1	false
24	sniper	9559	3907	5	1	false
25	sniper	9559	8919	0	1	false
26	sniper	9559	4811	5	1	false
27	sniper	9559	6444	4	1	false
28	sniper	9559	6161	4	1	false
29	sniper	9559	692	7	1	false
30	sniper	9559	2512	1	1	false
31	sniper	9559	6970	3	1	false
32	sniper	9559	1112	0	1	false
33	sniper	9559	8547	0	1	false
34	sniper	9559	6036	4	1	false
35	sniper	9559	6119	7	1	false
36	sniper	9559	766	6	1	false
37	sniper	9559	8738	5	1	false
38	sniper	9559	51	6	1	false
39	sniper	9559	5172	0	1	false
40	sniper	9559	7037	7	1	false
41	sniper	9559	2424	7	1	false
42	sniper	9559	6340	6	1	false
43	sniper	9559	5532	0	1	false
44	sniper	9559	8611	0	1	false
45	sniper	9559	6227	6	1	false
46	sniper	9559	30	3	1	false
47	sniper	9559	268	5	1	false
48	sniper	9559	7793	2	1	false
49	sniper	9559	2184	2	1	false
50	sniper	9559	9373	2	1	false
51	sniper	9559	2950	3	1	false
52	sniper	9559	9049	7	1	false
53	sniper	9559	4015	2	1	false
54	sniper	9559	2861	6	1	false
55	sniper	9559	8129	7	1	false
56	sniper	9559	696	6	1	false
57	sniper	9559	4108	6	1	false
58	sniper	9559	1880	1	1	false
59	sniper	9559	5251	2	1	false
60	sniper	9559	2204	4	1	false
61	sniper	9559	3907	2	1	false
62	sniper	9559	8989	5	1	false
63	sniper	9559	3653	7	1	false
64	sniper	9559	5533	0	1	false
65	sniper	9559	4366	0	1	false
66	sniper	9559	3614	3	1	false
67	sniper	9559	7973	7	1	false
68	sniper	9559	8323	1	1	false
69	sniper	9559	8129	3	1	false
70	sniper	9559	5879	2	1	false
71	sniper	9559	7994	6	1	false
72	sniper	9559	2495	2	1	false
73	sniper	9559	2398	4	1	false
74	sniper	9559	3243	2	1	false
75	sniper	9559	3165	2	1	false
76	sniper	9559	7066	0	1	false
77	sniper	9559	5082	4	1	false
78	sniper	9559	3529	2	1	false
79	sniper	9559	4613	4	1	false
80	sniper	9559	5049	2	1	false
81	sniper	9559	2485	3	1	false
82	sniper	9559	7503	0	1	false
83	sniper	9559	1694	2	1	false
84	sniper	9559	7210	2	1	false
85	sniper	9559	5302	3	1	false
86	sniper	9559	9062	6	1	false
87	sniper	9559	7327	6	1	false
88	sniper	9559	7949	0	1	false
89	sniper	9559	8437	5	1	false
90	sniper	9559	4518	6	1	false
91	sniper	9559	6609	4	1	false
92	sniper	9559	4663	2	1	false
93	sniper	9559	2938	3	1	false
94	sniper	9559	5981	4	1	false
95	sniper	9559	7544	7	1	false
96	sniper	9559	3765	6	1	false
97	sniper	9559	7589	2	1	false
98	sniper	9559	7504	0	1	false
99	sniper	9559	1577	7	1	false
