# seed=42 mode=sniper file=balloon_eciRGB_icc.jp2 filesize=1864443
trial	mode	filesize	off	bit	span	detected
0	sniper	1864443	634904	1	1	false
1	sniper	1864443	536259	3	1	false
2	sniper	1864443	1491927	2	1	false
3	sniper	1864443	1305081	7	1	false
4	sniper	1864443	214946	5	1	false
5	sniper	1864443	1092286	1	1	false
6	sniper	1864443	308217	6	1	false
7	sniper	1864443	638093	3	1	false
8	sniper	1864443	1163641	4	1	false
9	sniper	1864443	1830611	4	1	false
10	sniper	1864443	370326	7	1	false
11	sniper	1864443	37614	3	1	false
12	sniper	1864443	357872	1	1	false
13	sniper	1864443	1580781	3	1	false
14	sniper	1864443	1206133	0	1	false
15	sniper	1864443	1522347	3	1	true
16	sniper	1864443	1445803	6	1	false
17	sniper	1864443	1632451	0	1	false
18	sniper	1864443	332469	7	1	false
19	sniper	1864443	539891	6	1	false
20	sniper	1864443	1643639	3	1	true
21	sniper	1864443	521538	4	1	false
22	sniper	1864443	536401	2	1	false
23	sniper	1864443	1011173	0	1	false
24	sniper	1864443	923295	5	1	false
25	sniper	1864443	821295	0	1	false
26	sniper	1864443	616886	5	1	false
27	sniper	1864443	681658	4	1	false
28	sniper	1864443	1235451	4	1	false
29	sniper	1864443	677038	7	1	false
30	sniper	1864443	4635	1	1	false
31	sniper	1864443	1145579	3	1	false
32	sniper	1864443	726331	0	1	false
33	sniper	1864443	177544	0	1	false
34	sniper	1864443	940099	4	1	false
35	sniper	1864443	852938	7	1	false
36	sniper	1864443	184698	6	1	false
37	sniper	1864443	1500179	5	1	false
38	sniper	1864443	1849862	6	1	false
39	sniper	1864443	494487	0	1	false
40	sniper	1864443	330513	7	1	false
41	sniper	1864443	1760159	7	1	false
42	sniper	1864443	1654561	6	1	false
43	sniper	1864443	1043772	0	1	false
44	sniper	1864443	1568081	0	1	true
45	sniper	1864443	1080287	6	1	false
46	sniper	1864443	564993	3	1	false
47	sniper	1864443	1086534	5	1	false
48	sniper	1864443	210434	2	1	false
49	sniper	1864443	605408	2	1	false
50	sniper	1864443	1612066	2	1	false
51	sniper	1864443	1772723	3	1	false
52	sniper	1864443	686978	7	1	false
53	sniper	1864443	1800184	2	1	false
54	sniper	1864443	1621813	6	1	false
55	sniper	1864443	1087449	7	1	false
56	sniper	1864443	1652681	6	1	false
57	sniper	1864443	1854256	6	1	false
58	sniper	1864443	83917	1	1	false
59	sniper	1864443	1832190	2	1	false
60	sniper	1864443	1104334	4	1	false
61	sniper	1864443	1116405	2	1	false
62	sniper	1864443	485471	5	1	false
63	sniper	1864443	626023	7	1	false
64	sniper	1864443	1256636	0	1	false
65	sniper	1864443	46992	0	1	false
66	sniper	1864443	1683717	3	1	false
67	sniper	1864443	528886	7	1	false
68	sniper	1864443	1308656	1	1	false
69	sniper	1864443	810474	3	1	false
70	sniper	1864443	418447	2	1	false
71	sniper	1864443	1729211	6	1	false
72	sniper	1864443	1559780	2	1	false
73	sniper	1864443	1314167	4	1	false
74	sniper	1864443	100711	2	1	false
75	sniper	1864443	1571848	2	1	false
76	sniper	1864443	1035035	0	1	false
77	sniper	1864443	604108	4	1	false
78	sniper	1864443	1768368	2	1	false
79	sniper	1864443	844983	4	1	false
80	sniper	1864443	204239	2	1	false
81	sniper	1864443	837030	3	1	false
82	sniper	1864443	294303	0	1	false
83	sniper	1864443	1264152	2	1	false
84	sniper	1864443	337800	2	1	false
85	sniper	1864443	400591	3	1	false
86	sniper	1864443	682154	6	1	true
87	sniper	1864443	1269530	6	1	true
88	sniper	1864443	1423134	0	1	false
89	sniper	1864443	496486	5	1	false
90	sniper	1864443	51158	6	1	true
91	sniper	1864443	1214297	4	1	false
92	sniper	1864443	756253	2	1	false
93	sniper	1864443	1838012	3	1	false
94	sniper	1864443	1009470	4	1	false
95	sniper	1864443	101363	7	1	false
96	sniper	1864443	1230513	6	1	false
97	sniper	1864443	1159170	2	1	false
98	sniper	1864443	432837	0	1	false
99	sniper	1864443	1187707	7	1	false
