# seed=42 mode=bolter file=sample.dia filesize=16396
trial	mode	filesize	off	bit	span	detected
0	bolter	16396	13490	-	1	false
1	bolter	16396	14081	-	1	false
2	bolter	16396	13371	-	1	false
3	bolter	16396	4011	-	1	false
4	bolter	16396	5745	-	1	false
5	bolter	16396	5666	-	1	false
6	bolter	16396	764	-	1	false
7	bolter	16396	12911	-	1	false
8	bolter	16396	24	-	1	false
9	bolter	16396	12313	-	1	false
10	bolter	16396	6745	-	1	false
11	bolter	16396	2941	-	1	false
12	bolter	16396	7468	-	1	false
13	bolter	16396	15478	-	1	false
14	bolter	16396	4625	-	1	false
15	bolter	16396	5135	-	1	false
16	bolter	16396	12746	-	1	false
17	bolter	16396	9548	-	1	false
18	bolter	16396	13739	-	1	false
19	bolter	16396	15848	-	1	false
20	bolter	16396	15660	-	1	false
21	bolter	16396	9375	-	1	false
22	bolter	16396	2912	-	1	false
23	bolter	16396	16315	-	1	false
24	bolter	16396	4903	-	1	false
25	bolter	16396	11725	-	1	false
26	bolter	16396	2158	-	1	false
27	bolter	16396	4491	-	1	false
28	bolter	16396	5956	-	1	false
29	bolter	16396	14808	-	1	false
30	bolter	16396	4760	-	1	false
31	bolter	16396	15035	-	1	false
32	bolter	16396	2202	-	1	false
33	bolter	16396	9014	-	1	false
34	bolter	16396	3873	-	1	false
35	bolter	16396	14056	-	1	false
36	bolter	16396	1510	-	1	false
37	bolter	16396	4447	-	1	false
38	bolter	16396	9598	-	1	false
39	bolter	16396	5418	-	1	false
40	bolter	16396	14378	-	1	false
41	bolter	16396	819	-	1	false
42	bolter	16396	11307	-	1	false
43	bolter	16396	3012	-	1	false
44	bolter	16396	5878	-	1	false
45	bolter	16396	13898	-	1	false
46	bolter	16396	2458	-	1	false
47	bolter	16396	6960	-	1	false
48	bolter	16396	13977	-	1	false
49	bolter	16396	15541	-	1	false
50	bolter	16396	5910	-	1	false
51	bolter	16396	13180	-	1	false
52	bolter	16396	2954	-	1	false
53	bolter	16396	6021	-	1	false
54	bolter	16396	7690	-	1	false
55	bolter	16396	10016	-	1	false
56	bolter	16396	2475	-	1	false
57	bolter	16396	11832	-	1	false
58	bolter	16396	13531	-	1	false
59	bolter	16396	13491	-	1	false
60	bolter	16396	10904	-	1	false
61	bolter	16396	2809	-	1	false
62	bolter	16396	7125	-	1	false
63	bolter	16396	9007	-	1	false
64	bolter	16396	2300	-	1	false
65	bolter	16396	15396	-	1	false
66	bolter	16396	6607	-	1	false
67	bolter	16396	5780	-	1	false
68	bolter	16396	94	-	1	false
69	bolter	16396	3304	-	1	false
70	bolter	16396	11431	-	1	false
71	bolter	16396	9111	-	1	false
72	bolter	16396	1296	-	1	false
73	bolter	16396	3342	-	1	false
74	bolter	16396	10324	-	1	false
75	bolter	16396	14785	-	1	false
76	bolter	16396	7767	-	1	false
77	bolter	16396	14898	-	1	false
78	bolter	16396	10416	-	1	false
79	bolter	16396	13964	-	1	false
80	bolter	16396	4255	-	1	false
81	bolter	16396	4667	-	1	false
82	bolter	16396	9066	-	1	false
83	bolter	16396	13075	-	1	false
84	bolter	16396	2133	-	1	false
85	bolter	16396	2174	-	1	false
86	bolter	16396	8461	-	1	false
87	bolter	16396	10448	-	1	false
88	bolter	16396	15458	-	1	false
89	bolter	16396	2300	-	1	false
90	bolter	16396	238	-	1	false
91	bolter	16396	12894	-	1	false
92	bolter	16396	8665	-	1	false
93	bolter	16396	6971	-	1	false
94	bolter	16396	777	-	1	false
95	bolter	16396	12529	-	1	false
96	bolter	16396	9019	-	1	false
97	bolter	16396	11262	-	1	false
98	bolter	16396	2209	-	1	false
99	bolter	16396	10566	-	1	false
