# seed=42 mode=shotgun file=sample.mbox filesize=16939
trial	mode	filesize	off	bit	span	detected
0	shotgun	16939	2042	-	4096	true
1	shotgun	16939	5747	-	4096	true
2	shotgun	16939	9775	-	4096	true
3	shotgun	16939	1836	-	4096	true
4	shotgun	16939	1757	-	4096	true
5	shotgun	16939	7498	-	4096	true
6	shotgun	16939	3541	-	4096	true
7	shotgun	16939	4838	-	4096	true
8	shotgun	16939	9003	-	4096	true
9	shotgun	16939	9854	-	4096	true
10	shotgun	16939	11001	-	4096	true
11	shotgun	16939	2529	-	4096	true
12	shotgun	16939	7217	-	4096	true
13	shotgun	16939	12034	-	4096	true
14	shotgun	16939	652	-	4096	true
15	shotgun	16939	9155	-	4096	true
16	shotgun	16939	5077	-	4096	true
17	shotgun	16939	606	-	4096	true
18	shotgun	16939	11217	-	4096	true
19	shotgun	16939	4359	-	4096	true
20	shotgun	16939	3931	-	4096	true
21	shotgun	16939	6228	-	4096	true
22	shotgun	16939	8695	-	4096	true
23	shotgun	16939	4955	-	4096	true
24	shotgun	16939	12439	-	4096	true
25	shotgun	16939	7215	-	4096	true
26	shotgun	16939	7059	-	4096	true
27	shotgun	16939	6189	-	4096	true
28	shotgun	16939	1101	-	4096	true
29	shotgun	16939	12831	-	4096	true
30	shotgun	16939	2955	-	4096	true
31	shotgun	16939	11737	-	4096	true
32	shotgun	16939	11235	-	4096	true
33	shotgun	16939	9595	-	4096	true
34	shotgun	16939	10783	-	4096	true
35	shotgun	16939	1480	-	4096	true
36	shotgun	16939	998	-	4096	true
37	shotgun	16939	645	-	4096	true
38	shotgun	16939	7979	-	4096	true
39	shotgun	16939	5174	-	4096	true
40	shotgun	16939	908	-	4096	true
41	shotgun	16939	1093	-	4096	true
42	shotgun	16939	11551	-	4096	true
43	shotgun	16939	5168	-	4096	true
44	shotgun	16939	4292	-	4096	true
45	shotgun	16939	1407	-	4096	true
46	shotgun	16939	12005	-	4096	true
47	shotgun	16939	5446	-	4096	true
48	shotgun	16939	10597	-	4096	true
49	shotgun	16939	1778	-	4096	true
50	shotgun	16939	2287	-	4096	true
51	shotgun	16939	2067	-	4096	true
52	shotgun	16939	7731	-	4096	true
53	shotgun	16939	505	-	4096	true
54	shotgun	16939	1898	-	4096	true
55	shotgun	16939	11357	-	4096	true
56	shotgun	16939	12017	-	4096	true
57	shotgun	16939	1113	-	4096	true
58	shotgun	16939	11241	-	4096	true
59	shotgun	16939	6679	-	4096	true
60	shotgun	16939	6808	-	4096	true
61	shotgun	16939	2418	-	4096	true
62	shotgun	16939	711	-	4096	true
63	shotgun	16939	12113	-	4096	true
64	shotgun	16939	3936	-	4096	true
65	shotgun	16939	8684	-	4096	true
66	shotgun	16939	1635	-	4096	true
67	shotgun	16939	4675	-	4096	true
68	shotgun	16939	5850	-	4096	true
69	shotgun	16939	6977	-	4096	true
70	shotgun	16939	7718	-	4096	true
71	shotgun	16939	11087	-	4096	true
72	shotgun	16939	2222	-	4096	true
73	shotgun	16939	10544	-	4096	true
74	shotgun	16939	7369	-	4096	true
75	shotgun	16939	1114	-	4096	true
76	shotgun	16939	8363	-	4096	true
77	shotgun	16939	9290	-	4096	true
78	shotgun	16939	7550	-	4096	true
79	shotgun	16939	10526	-	4096	true
80	shotgun	16939	4390	-	4096	true
81	shotgun	16939	10455	-	4096	true
82	shotgun	16939	2754	-	4096	true
83	shotgun	16939	6793	-	4096	true
84	shotgun	16939	246	-	4096	true
85	shotgun	16939	3479	-	4096	true
86	shotgun	16939	12414	-	4096	true
87	shotgun	16939	12384	-	4096	true
88	shotgun	16939	5787	-	4096	true
89	shotgun	16939	4490	-	4096	true
90	shotgun	16939	11031	-	4096	true
91	shotgun	16939	6946	-	4096	true
92	shotgun	16939	1947	-	4096	true
93	shotgun	16939	1037	-	4096	true
94	shotgun	16939	4180	-	4096	true
95	shotgun	16939	1091	-	4096	true
96	shotgun	16939	4818	-	4096	true
97	shotgun	16939	2883	-	4096	true
98	shotgun	16939	9994	-	4096	true
99	shotgun	16939	1542	-	4096	true
