# seed=42 mode=bolter file=fur_elise.mid filesize=20648
trial	mode	filesize	off	bit	span	detected
0	bolter	20648	18246	-	1	true
1	bolter	20648	17889	-	1	true
2	bolter	20648	59	-	1	true
3	bolter	20648	2771	-	1	true
4	bolter	20648	12661	-	1	true
5	bolter	20648	18962	-	1	true
6	bolter	20648	15852	-	1	true
7	bolter	20648	19431	-	1	true
8	bolter	20648	7960	-	1	true
9	bolter	20648	7757	-	1	true
10	bolter	20648	3169	-	1	true
11	bolter	20648	9849	-	1	true
12	bolter	20648	17140	-	1	true
13	bolter	20648	4182	-	1	true
14	bolter	20648	16105	-	1	true
15	bolter	20648	8323	-	1	true
16	bolter	20648	9450	-	1	true
17	bolter	20648	1292	-	1	false
18	bolter	20648	17099	-	1	true
19	bolter	20648	14828	-	1	true
20	bolter	20648	15624	-	1	true
21	bolter	20648	18975	-	1	true
22	bolter	20648	1848	-	1	true
23	bolter	20648	10123	-	1	true
24	bolter	20648	13187	-	1	true
25	bolter	20648	2689	-	1	true
26	bolter	20648	20562	-	1	true
27	bolter	20648	6379	-	1	true
28	bolter	20648	7740	-	1	true
29	bolter	20648	12064	-	1	true
30	bolter	20648	15928	-	1	true
31	bolter	20648	16675	-	1	true
32	bolter	20648	2598	-	1	true
33	bolter	20648	19214	-	1	true
34	bolter	20648	8541	-	1	true
35	bolter	20648	18560	-	1	true
36	bolter	20648	18810	-	1	true
37	bolter	20648	3279	-	1	true
38	bolter	20648	1038	-	1	false
39	bolter	20648	2886	-	1	true
40	bolter	20648	98	-	1	true
41	bolter	20648	7347	-	1	true
42	bolter	20648	11295	-	1	true
43	bolter	20648	8492	-	1	true
44	bolter	20648	678	-	1	false
45	bolter	20648	2346	-	1	true
46	bolter	20648	8658	-	1	true
47	bolter	20648	15384	-	1	true
48	bolter	20648	6033	-	1	true
49	bolter	20648	17757	-	1	true
50	bolter	20648	18070	-	1	true
51	bolter	20648	19168	-	1	true
52	bolter	20648	14018	-	1	true
53	bolter	20648	2229	-	1	true
54	bolter	20648	11474	-	1	true
55	bolter	20648	14892	-	1	true
56	bolter	20648	4135	-	1	true
57	bolter	20648	924	-	1	false
58	bolter	20648	5215	-	1	true
59	bolter	20648	18983	-	1	true
60	bolter	20648	6192	-	1	true
61	bolter	20648	585	-	1	true
62	bolter	20648	3729	-	1	true
63	bolter	20648	15027	-	1	true
64	bolter	20648	6296	-	1	true
65	bolter	20648	1656	-	1	true
66	bolter	20648	12531	-	1	true
67	bolter	20648	1040	-	1	false
68	bolter	20648	14746	-	1	true
69	bolter	20648	15764	-	1	true
70	bolter	20648	239	-	1	true
71	bolter	20648	18671	-	1	true
72	bolter	20648	3300	-	1	true
73	bolter	20648	5958	-	1	true
74	bolter	20648	676	-	1	true
75	bolter	20648	9365	-	1	true
76	bolter	20648	20123	-	1	true
77	bolter	20648	3166	-	1	true
78	bolter	20648	368	-	1	false
79	bolter	20648	18512	-	1	true
80	bolter	20648	10731	-	1	true
81	bolter	20648	8031	-	1	true
82	bolter	20648	6030	-	1	true
83	bolter	20648	18231	-	1	true
84	bolter	20648	4017	-	1	true
85	bolter	20648	17934	-	1	true
86	bolter	20648	14789	-	1	true
87	bolter	20648	13432	-	1	true
88	bolter	20648	5330	-	1	true
89	bolter	20648	12632	-	1	true
90	bolter	20648	11486	-	1	true
91	bolter	20648	13494	-	1	true
92	bolter	20648	8593	-	1	true
93	bolter	20648	15443	-	1	true
94	bolter	20648	4449	-	1	true
95	bolter	20648	8653	-	1	true
96	bolter	20648	18023	-	1	true
97	bolter	20648	19058	-	1	true
98	bolter	20648	9477	-	1	true
99	bolter	20648	12338	-	1	true
