# seed=42 mode=bolter file=jellyfish_h264.mov filesize=1047042
trial	mode	filesize	off	bit	span	detected
0	bolter	1047042	955760	-	1	false
1	bolter	1047042	1041221	-	1	false
2	bolter	1047042	178239	-	1	false
3	bolter	1047042	711933	-	1	false
4	bolter	1047042	753645	-	1	false
5	bolter	1047042	392470	-	1	false
6	bolter	1047042	236970	-	1	false
7	bolter	1047042	1295	-	1	false
8	bolter	1047042	663206	-	1	false
9	bolter	1047042	189639	-	1	false
10	bolter	1047042	929569	-	1	false
11	bolter	1047042	315799	-	1	false
12	bolter	1047042	830226	-	1	false
13	bolter	1047042	142960	-	1	false
14	bolter	1047042	840617	-	1	true
15	bolter	1047042	1030797	-	1	false
16	bolter	1047042	27730	-	1	false
17	bolter	1047042	217798	-	1	false
18	bolter	1047042	115913	-	1	false
19	bolter	1047042	802192	-	1	false
20	bolter	1047042	188292	-	1	false
21	bolter	1047042	831981	-	1	false
22	bolter	1047042	878430	-	1	false
23	bolter	1047042	837505	-	1	false
24	bolter	1047042	778817	-	1	false
25	bolter	1047042	922527	-	1	false
26	bolter	1047042	770502	-	1	false
27	bolter	1047042	801419	-	1	false
28	bolter	1047042	650860	-	1	false
29	bolter	1047042	745946	-	1	false
30	bolter	1047042	560472	-	1	false
31	bolter	1047042	286463	-	1	false
32	bolter	1047042	942136	-	1	false
33	bolter	1047042	801016	-	1	false
34	bolter	1047042	604825	-	1	false
35	bolter	1047042	568744	-	1	false
36	bolter	1047042	898086	-	1	false
37	bolter	1047042	30941	-	1	false
38	bolter	1047042	14858	-	1	false
39	bolter	1047042	381478	-	1	false
40	bolter	1047042	774830	-	1	false
41	bolter	1047042	936201	-	1	false
42	bolter	1047042	417351	-	1	false
43	bolter	1047042	216740	-	1	false
44	bolter	1047042	984562	-	1	false
45	bolter	1047042	58256	-	1	false
46	bolter	1047042	851480	-	1	false
47	bolter	1047042	64808	-	1	false
48	bolter	1047042	858717	-	1	false
49	bolter	1047042	29121	-	1	false
50	bolter	1047042	28284	-	1	false
51	bolter	1047042	1046114	-	1	false
52	bolter	1047042	53516	-	1	false
53	bolter	1047042	21673	-	1	false
54	bolter	1047042	270958	-	1	false
55	bolter	1047042	905764	-	1	false
56	bolter	1047042	299817	-	1	false
57	bolter	1047042	641122	-	1	false
58	bolter	1047042	338335	-	1	false
59	bolter	1047042	168133	-	1	false
60	bolter	1047042	563130	-	1	false
61	bolter	1047042	792441	-	1	false
62	bolter	1047042	950375	-	1	false
63	bolter	1047042	302517	-	1	false
64	bolter	1047042	965242	-	1	false
65	bolter	1047042	849462	-	1	false
66	bolter	1047042	60385	-	1	false
67	bolter	1047042	629052	-	1	false
68	bolter	1047042	300832	-	1	false
69	bolter	1047042	537752	-	1	false
70	bolter	1047042	107435	-	1	false
71	bolter	1047042	257139	-	1	false
72	bolter	1047042	369954	-	1	false
73	bolter	1047042	987020	-	1	false
74	bolter	1047042	1007732	-	1	false
75	bolter	1047042	932009	-	1	false
76	bolter	1047042	384023	-	1	false
77	bolter	1047042	34204	-	1	false
78	bolter	1047042	907434	-	1	false
79	bolter	1047042	294434	-	1	false
80	bolter	1047042	78729	-	1	false
81	bolter	1047042	505551	-	1	false
82	bolter	1047042	311588	-	1	false
83	bolter	1047042	878401	-	1	false
84	bolter	1047042	938521	-	1	false
85	bolter	1047042	744556	-	1	false
86	bolter	1047042	23169	-	1	false
87	bolter	1047042	86814	-	1	false
88	bolter	1047042	816530	-	1	false
89	bolter	1047042	701030	-	1	false
90	bolter	1047042	121436	-	1	false
91	bolter	1047042	688542	-	1	false
92	bolter	1047042	173511	-	1	false
93	bolter	1047042	715145	-	1	false
94	bolter	1047042	563649	-	1	false
95	bolter	1047042	765611	-	1	false
96	bolter	1047042	545435	-	1	false
97	bolter	1047042	687342	-	1	false
98	bolter	1047042	375965	-	1	false
99	bolter	1047042	540306	-	1	false
