# seed=42 mode=sniper file=generated_tone_880hz.mp3 filesize=49571
trial	mode	filesize	off	bit	span	detected
0	sniper	49571	24633	1	1	false
1	sniper	49571	47360	3	1	false
2	sniper	49571	32736	2	1	false
3	sniper	49571	16372	7	1	false
4	sniper	49571	36162	5	1	false
5	sniper	49571	35894	1	1	false
6	sniper	49571	3818	6	1	false
7	sniper	49571	34741	3	1	false
8	sniper	49571	29822	4	1	false
9	sniper	49571	34958	4	1	false
10	sniper	49571	37574	7	1	false
11	sniper	49571	39433	3	1	false
12	sniper	49571	5386	1	1	false
13	sniper	49571	28859	3	1	false
14	sniper	49571	18709	0	1	false
15	sniper	49571	22222	3	1	false
16	sniper	49571	46556	6	1	false
17	sniper	49571	15150	0	1	false
18	sniper	49571	9467	7	1	false
19	sniper	49571	37208	6	1	false
20	sniper	49571	37824	3	1	false
21	sniper	49571	14749	4	1	false
22	sniper	49571	12003	2	1	false
23	sniper	49571	18298	0	1	false
24	sniper	49571	48374	5	1	false
25	sniper	49571	7503	0	1	false
26	sniper	49571	20633	5	1	false
27	sniper	49571	20811	4	1	false
28	sniper	49571	20967	4	1	false
29	sniper	49571	9780	7	1	false
30	sniper	49571	13535	1	1	false
31	sniper	49571	26275	3	1	false
32	sniper	49571	41093	0	1	false
33	sniper	49571	21570	0	1	false
34	sniper	49571	48916	4	1	false
35	sniper	49571	24458	7	1	false
36	sniper	49571	32920	6	1	false
37	sniper	49571	18034	5	1	false
38	sniper	49571	45201	6	1	false
39	sniper	49571	37795	0	1	false
40	sniper	49571	26766	7	1	false
41	sniper	49571	49205	7	1	false
42	sniper	49571	32340	6	1	false
43	sniper	49571	37801	0	1	false
44	sniper	49571	17715	0	1	false
45	sniper	49571	40247	6	1	false
46	sniper	49571	24596	3	1	false
47	sniper	49571	12976	5	1	false
48	sniper	49571	28304	2	1	false
49	sniper	49571	38106	2	1	false
50	sniper	49571	14020	2	1	false
51	sniper	49571	18692	3	1	false
52	sniper	49571	9228	7	1	false
53	sniper	49571	16932	2	1	false
54	sniper	49571	25395	6	1	false
55	sniper	49571	46422	7	1	false
56	sniper	49571	6674	6	1	false
57	sniper	49571	47524	6	1	false
58	sniper	49571	5388	1	1	false
59	sniper	49571	40553	2	1	false
60	sniper	49571	7098	4	1	false
61	sniper	49571	19875	2	1	false
62	sniper	49571	26625	5	1	false
63	sniper	49571	19242	7	1	false
64	sniper	49571	46773	0	1	false
65	sniper	49571	30496	0	1	false
66	sniper	49571	18653	3	1	false
67	sniper	49571	14609	7	1	false
68	sniper	49571	7647	1	1	false
69	sniper	49571	43476	3	1	false
70	sniper	49571	7011	2	1	false
71	sniper	49571	12613	6	1	false
72	sniper	49571	6900	2	1	false
73	sniper	49571	6646	4	1	false
74	sniper	49571	23439	2	1	false
75	sniper	49571	13126	2	1	false
76	sniper	49571	33876	0	1	false
77	sniper	49571	7574	4	1	false
78	sniper	49571	45204	2	1	false
79	sniper	49571	24906	4	1	false
80	sniper	49571	49540	2	1	false
81	sniper	49571	25453	3	1	false
82	sniper	49571	14162	0	1	false
83	sniper	49571	4927	2	1	false
84	sniper	49571	11081	2	1	false
85	sniper	49571	32884	3	1	false
86	sniper	49571	40789	6	1	false
87	sniper	49571	34037	6	1	false
88	sniper	49571	38258	0	1	false
89	sniper	49571	20168	5	1	false
90	sniper	49571	42096	6	1	false
91	sniper	49571	48271	4	1	false
92	sniper	49571	19128	2	1	false
93	sniper	49571	6428	3	1	false
94	sniper	49571	9161	4	1	false
95	sniper	49571	24678	7	1	false
96	sniper	49571	37110	6	1	false
97	sniper	49571	13105	2	1	false
98	sniper	49571	6940	0	1	true
99	sniper	49571	42899	7	1	false
