# seed=42 mode=sniper file=jellyfish_360_10s.mp4 filesize=1047059
trial	mode	filesize	off	bit	span	detected
0	sniper	1047059	902669	1	1	false
1	sniper	1047059	146993	3	1	false
2	sniper	1047059	686733	2	1	false
3	sniper	1047059	181465	7	1	false
4	sniper	1047059	629733	5	1	false
5	sniper	1047059	880133	1	1	false
6	sniper	1047059	828509	6	1	false
7	sniper	1047059	778261	3	1	false
8	sniper	1047059	1025761	4	1	false
9	sniper	1047059	108620	4	1	false
10	sniper	1047059	169218	7	1	false
11	sniper	1047059	831765	3	1	false
12	sniper	1047059	745616	1	1	false
13	sniper	1047059	757684	3	1	false
14	sniper	1047059	614616	0	1	false
15	sniper	1047059	500428	3	1	false
16	sniper	1047059	901897	6	1	false
17	sniper	1047059	543115	0	1	false
18	sniper	1047059	862284	7	1	false
19	sniper	1047059	13124	6	1	false
20	sniper	1047059	716180	3	1	false
21	sniper	1047059	413747	4	1	false
22	sniper	1047059	982420	2	1	false
23	sniper	1047059	805495	0	1	false
24	sniper	1047059	805983	5	1	false
25	sniper	1047059	1040306	0	1	false
26	sniper	1047059	18513	5	1	false
27	sniper	1047059	263444	4	1	false
28	sniper	1047059	259238	4	1	false
29	sniper	1047059	276727	7	1	false
30	sniper	1047059	540163	1	1	false
31	sniper	1047059	937234	3	1	false
32	sniper	1047059	912967	0	1	false
33	sniper	1047059	52	0	1	false
34	sniper	1047059	273547	4	1	false
35	sniper	1047059	84689	7	1	false
36	sniper	1047059	329817	6	1	false
37	sniper	1047059	938372	5	1	false
38	sniper	1047059	377733	6	1	false
39	sniper	1047059	844143	0	1	false
40	sniper	1047059	42944	7	1	false
41	sniper	1047059	283079	7	1	false
42	sniper	1047059	876029	6	1	false
43	sniper	1047059	1027014	0	1	false
44	sniper	1047059	786882	0	1	false
45	sniper	1047059	64843	6	1	false
46	sniper	1047059	166966	3	1	false
47	sniper	1047059	522441	5	1	false
48	sniper	1047059	498005	2	1	false
49	sniper	1047059	313269	2	1	false
50	sniper	1047059	752405	2	1	false
51	sniper	1047059	593878	3	1	false
52	sniper	1047059	669077	7	1	false
53	sniper	1047059	184462	2	1	false
54	sniper	1047059	978496	6	1	false
55	sniper	1047059	1000226	7	1	false
56	sniper	1047059	442223	6	1	false
57	sniper	1047059	24474	6	1	false
58	sniper	1047059	399293	1	1	false
59	sniper	1047059	1043754	2	1	false
60	sniper	1047059	369984	4	1	false
61	sniper	1047059	228558	2	1	false
62	sniper	1047059	161336	5	1	false
63	sniper	1047059	322837	7	1	false
64	sniper	1047059	177202	0	1	false
65	sniper	1047059	501391	0	1	false
66	sniper	1047059	199781	3	1	false
67	sniper	1047059	625632	7	1	false
68	sniper	1047059	962050	1	1	false
69	sniper	1047059	825329	3	1	false
70	sniper	1047059	42131	2	1	false
71	sniper	1047059	149291	6	1	false
72	sniper	1047059	279619	2	1	false
73	sniper	1047059	102185	4	1	false
74	sniper	1047059	665568	2	1	false
75	sniper	1047059	232650	2	1	false
76	sniper	1047059	445804	0	1	false
77	sniper	1047059	780459	4	1	false
78	sniper	1047059	762826	2	1	false
79	sniper	1047059	863648	4	1	false
80	sniper	1047059	843369	2	1	false
81	sniper	1047059	715527	3	1	false
82	sniper	1047059	2545	0	1	false
83	sniper	1047059	282607	2	1	false
84	sniper	1047059	773536	2	1	false
85	sniper	1047059	1012297	3	1	false
86	sniper	1047059	111586	6	1	false
87	sniper	1047059	65547	6	1	false
88	sniper	1047059	459871	0	1	false
89	sniper	1047059	649604	5	1	false
90	sniper	1047059	693715	6	1	false
91	sniper	1047059	337495	4	1	false
92	sniper	1047059	400124	2	1	false
93	sniper	1047059	951689	3	1	false
94	sniper	1047059	615634	4	1	false
95	sniper	1047059	109362	7	1	false
96	sniper	1047059	656516	6	1	false
97	sniper	1047059	358546	2	1	false
98	sniper	1047059	781350	0	1	false
99	sniper	1047059	636564	7	1	false
