# seed=42 mode=shotgun file=sample.mpg filesize=16384
trial	mode	filesize	off	bit	span	detected
0	shotgun	16384	3108	-	4096	false
1	shotgun	16384	4604	-	4096	false
2	shotgun	16384	169	-	4096	false
3	shotgun	16384	772	-	4096	false
4	shotgun	16384	11711	-	4096	false
5	shotgun	16384	2116	-	4096	false
6	shotgun	16384	5867	-	4096	false
7	shotgun	16384	8273	-	4096	false
8	shotgun	16384	6090	-	4096	false
9	shotgun	16384	11549	-	4096	false
10	shotgun	16384	11360	-	4096	false
11	shotgun	16384	8528	-	4096	false
12	shotgun	16384	443	-	4096	false
13	shotgun	16384	133	-	4096	false
14	shotgun	16384	6799	-	4096	false
15	shotgun	16384	1666	-	4096	false
16	shotgun	16384	9670	-	4096	false
17	shotgun	16384	7947	-	4096	false
18	shotgun	16384	1485	-	4096	false
19	shotgun	16384	9477	-	4096	false
20	shotgun	16384	1006	-	4096	false
21	shotgun	16384	1203	-	4096	false
22	shotgun	16384	5537	-	4096	false
23	shotgun	16384	8653	-	4096	false
24	shotgun	16384	6502	-	4096	false
25	shotgun	16384	4241	-	4096	false
26	shotgun	16384	10440	-	4096	false
27	shotgun	16384	6452	-	4096	false
28	shotgun	16384	3967	-	4096	false
29	shotgun	16384	132	-	4096	false
30	shotgun	16384	4852	-	4096	false
31	shotgun	16384	8042	-	4096	false
32	shotgun	16384	9250	-	4096	false
33	shotgun	16384	496	-	4096	false
34	shotgun	16384	8017	-	4096	false
35	shotgun	16384	4656	-	4096	false
36	shotgun	16384	995	-	4096	false
37	shotgun	16384	11477	-	4096	false
38	shotgun	16384	8145	-	4096	false
39	shotgun	16384	1536	-	4096	false
40	shotgun	16384	6106	-	4096	false
41	shotgun	16384	11953	-	4096	false
42	shotgun	16384	1619	-	4096	false
43	shotgun	16384	9388	-	4096	false
44	shotgun	16384	2921	-	4096	false
45	shotgun	16384	4930	-	4096	false
46	shotgun	16384	10616	-	4096	false
47	shotgun	16384	10690	-	4096	false
48	shotgun	16384	10007	-	4096	false
49	shotgun	16384	2078	-	4096	false
50	shotgun	16384	4196	-	4096	false
51	shotgun	16384	6209	-	4096	false
52	shotgun	16384	6084	-	4096	false
53	shotgun	16384	11117	-	4096	false
54	shotgun	16384	748	-	4096	false
55	shotgun	16384	2208	-	4096	false
56	shotgun	16384	1268	-	4096	false
57	shotgun	16384	1784	-	4096	false
58	shotgun	16384	554	-	4096	false
59	shotgun	16384	8361	-	4096	false
60	shotgun	16384	11420	-	4096	false
61	shotgun	16384	11855	-	4096	false
62	shotgun	16384	870	-	4096	false
63	shotgun	16384	157	-	4096	false
64	shotgun	16384	1385	-	4096	false
65	shotgun	16384	8105	-	4096	false
66	shotgun	16384	4406	-	4096	false
67	shotgun	16384	11600	-	4096	false
68	shotgun	16384	727	-	4096	false
69	shotgun	16384	11245	-	4096	false
70	shotgun	16384	974	-	4096	false
71	shotgun	16384	879	-	4096	false
72	shotgun	16384	3186	-	4096	false
73	shotgun	16384	10966	-	4096	false
74	shotgun	16384	2548	-	4096	false
75	shotgun	16384	3022	-	4096	false
76	shotgun	16384	2579	-	4096	false
77	shotgun	16384	7627	-	4096	false
78	shotgun	16384	3149	-	4096	false
79	shotgun	16384	9267	-	4096	false
80	shotgun	16384	8752	-	4096	false
81	shotgun	16384	501	-	4096	false
82	shotgun	16384	5286	-	4096	false
83	shotgun	16384	2573	-	4096	false
84	shotgun	16384	11827	-	4096	false
85	shotgun	16384	8499	-	4096	false
86	shotgun	16384	7237	-	4096	false
87	shotgun	16384	10440	-	4096	false
88	shotgun	16384	9446	-	4096	false
89	shotgun	16384	292	-	4096	false
90	shotgun	16384	7972	-	4096	false
91	shotgun	16384	9651	-	4096	false
92	shotgun	16384	4698	-	4096	false
93	shotgun	16384	2517	-	4096	false
94	shotgun	16384	1155	-	4096	false
95	shotgun	16384	4839	-	4096	false
96	shotgun	16384	6759	-	4096	false
97	shotgun	16384	2694	-	4096	false
98	shotgun	16384	6598	-	4096	false
99	shotgun	16384	7265	-	4096	false
