# seed=42 mode=shotgun file=ubAVIxvid10.avi filesize=44832
trial	mode	filesize	off	bit	span	detected
0	shotgun	44832	12722	-	4096	false
1	shotgun	44832	27496	-	4096	false
2	shotgun	44832	12573	-	4096	false
3	shotgun	44832	15254	-	4096	false
4	shotgun	44832	27105	-	4096	false
5	shotgun	44832	34579	-	4096	false
6	shotgun	44832	18810	-	4096	false
7	shotgun	44832	4762	-	4096	false
8	shotgun	44832	21059	-	4096	false
9	shotgun	44832	36185	-	4096	false
10	shotgun	44832	12554	-	4096	false
11	shotgun	44832	29149	-	4096	false
12	shotgun	44832	39295	-	4096	false
13	shotgun	44832	5296	-	4096	true
14	shotgun	44832	2223	-	4096	false
15	shotgun	44832	14644	-	4096	false
16	shotgun	44832	36790	-	4096	false
17	shotgun	44832	39483	-	4096	false
18	shotgun	44832	19899	-	4096	false
19	shotgun	44832	14495	-	4096	false
20	shotgun	44832	24646	-	4096	false
21	shotgun	44832	12443	-	4096	false
22	shotgun	44832	23652	-	4096	false
23	shotgun	44832	39597	-	4096	false
24	shotgun	44832	23318	-	4096	false
25	shotgun	44832	8101	-	4096	true
26	shotgun	44832	22646	-	4096	false
27	shotgun	44832	26203	-	4096	false
28	shotgun	44832	35730	-	4096	false
29	shotgun	44832	6392	-	4096	true
30	shotgun	44832	8315	-	4096	true
31	shotgun	44832	38868	-	4096	false
32	shotgun	44832	9880	-	4096	true
33	shotgun	44832	22918	-	4096	false
34	shotgun	44832	10095	-	4096	true
35	shotgun	44832	37574	-	4096	false
36	shotgun	44832	4316	-	4096	false
37	shotgun	44832	36552	-	4096	false
38	shotgun	44832	16767	-	4096	false
39	shotgun	44832	4505	-	4096	false
40	shotgun	44832	40388	-	4096	true
41	shotgun	44832	28413	-	4096	false
42	shotgun	44832	28771	-	4096	false
43	shotgun	44832	36255	-	4096	false
44	shotgun	44832	37705	-	4096	false
45	shotgun	44832	12861	-	4096	false
46	shotgun	44832	25437	-	4096	false
47	shotgun	44832	10122	-	4096	true
48	shotgun	44832	2606	-	4096	false
49	shotgun	44832	6185	-	4096	true
50	shotgun	44832	37622	-	4096	false
51	shotgun	44832	25398	-	4096	false
52	shotgun	44832	13534	-	4096	false
53	shotgun	44832	37826	-	4096	false
54	shotgun	44832	7312	-	4096	true
55	shotgun	44832	40255	-	4096	true
56	shotgun	44832	6325	-	4096	true
57	shotgun	44832	32859	-	4096	false
58	shotgun	44832	32974	-	4096	false
59	shotgun	44832	18698	-	4096	false
60	shotgun	44832	27711	-	4096	false
61	shotgun	44832	36142	-	4096	false
62	shotgun	44832	36004	-	4096	false
63	shotgun	44832	9820	-	4096	true
64	shotgun	44832	3729	-	4096	false
65	shotgun	44832	32475	-	4096	false
66	shotgun	44832	31922	-	4096	false
67	shotgun	44832	5539	-	4096	true
68	shotgun	44832	27000	-	4096	false
69	shotgun	44832	3004	-	4096	false
70	shotgun	44832	17097	-	4096	false
71	shotgun	44832	7413	-	4096	true
72	shotgun	44832	15748	-	4096	false
73	shotgun	44832	32254	-	4096	false
74	shotgun	44832	20917	-	4096	false
75	shotgun	44832	8017	-	4096	true
76	shotgun	44832	18755	-	4096	false
77	shotgun	44832	25519	-	4096	false
78	shotgun	44832	35924	-	4096	false
79	shotgun	44832	28908	-	4096	false
80	shotgun	44832	21270	-	4096	false
81	shotgun	44832	2321	-	4096	false
82	shotgun	44832	39380	-	4096	false
83	shotgun	44832	19377	-	4096	false
84	shotgun	44832	5103	-	4096	true
85	shotgun	44832	7554	-	4096	true
86	shotgun	44832	22346	-	4096	false
87	shotgun	44832	22215	-	4096	false
88	shotgun	44832	38230	-	4096	false
89	shotgun	44832	40325	-	4096	true
90	shotgun	44832	9246	-	4096	true
91	shotgun	44832	11575	-	4096	false
92	shotgun	44832	28468	-	4096	false
93	shotgun	44832	28566	-	4096	false
94	shotgun	44832	11526	-	4096	false
95	shotgun	44832	22261	-	4096	false
96	shotgun	44832	36939	-	4096	false
97	shotgun	44832	21783	-	4096	false
98	shotgun	44832	25701	-	4096	false
99	shotgun	44832	5589	-	4096	true
