# seed=42 mode=bolter file=mpeg2_aac_latm.ts filesize=145324
trial	mode	filesize	off	bit	span	detected
0	bolter	145324	60658	-	1	false
1	bolter	145324	47865	-	1	false
2	bolter	145324	115703	-	1	false
3	bolter	145324	61495	-	1	false
4	bolter	145324	86345	-	1	false
5	bolter	145324	71138	-	1	false
6	bolter	145324	82000	-	1	false
7	bolter	145324	49119	-	1	false
8	bolter	145324	141344	-	1	false
9	bolter	145324	94465	-	1	false
10	bolter	145324	27313	-	1	false
11	bolter	145324	122061	-	1	false
12	bolter	145324	58976	-	1	false
13	bolter	145324	122190	-	1	false
14	bolter	145324	41381	-	1	false
15	bolter	145324	8639	-	1	false
16	bolter	145324	9462	-	1	false
17	bolter	145324	76940	-	1	false
18	bolter	145324	100447	-	1	false
19	bolter	145324	34684	-	1	false
20	bolter	145324	24876	-	1	false
21	bolter	145324	13547	-	1	false
22	bolter	145324	64028	-	1	false
23	bolter	145324	117015	-	1	false
24	bolter	145324	71219	-	1	false
25	bolter	145324	23021	-	1	false
26	bolter	145324	113582	-	1	false
27	bolter	145324	28711	-	1	false
28	bolter	145324	41144	-	1	false
29	bolter	145324	59924	-	1	false
30	bolter	145324	71692	-	1	false
31	bolter	145324	64967	-	1	false
32	bolter	145324	63110	-	1	false
33	bolter	145324	5502	-	1	false
34	bolter	145324	127417	-	1	false
35	bolter	145324	92556	-	1	false
36	bolter	145324	95542	-	1	false
37	bolter	145324	16219	-	1	false
38	bolter	145324	2	-	1	false
39	bolter	145324	105262	-	1	false
40	bolter	145324	24442	-	1	true
41	bolter	145324	23059	-	1	false
42	bolter	145324	44535	-	1	false
43	bolter	145324	118744	-	1	false
44	bolter	145324	85718	-	1	false
45	bolter	145324	116346	-	1	false
46	bolter	145324	8710	-	1	false
47	bolter	145324	47636	-	1	false
48	bolter	145324	64981	-	1	false
49	bolter	145324	107877	-	1	false
50	bolter	145324	65770	-	1	false
51	bolter	145324	132000	-	1	false
52	bolter	145324	31454	-	1	false
53	bolter	145324	73405	-	1	false
54	bolter	145324	61258	-	1	false
55	bolter	145324	73136	-	1	false
56	bolter	145324	16271	-	1	false
57	bolter	145324	108260	-	1	false
58	bolter	145324	118255	-	1	true
59	bolter	145324	71295	-	1	false
60	bolter	145324	97084	-	1	false
61	bolter	145324	58853	-	1	false
62	bolter	145324	132541	-	1	true
63	bolter	145324	80287	-	1	false
64	bolter	145324	94228	-	1	false
65	bolter	145324	52232	-	1	false
66	bolter	145324	77763	-	1	false
67	bolter	145324	32352	-	1	false
68	bolter	145324	131182	-	1	false
69	bolter	145324	123800	-	1	false
70	bolter	145324	126271	-	1	false
71	bolter	145324	112983	-	1	false
72	bolter	145324	38904	-	1	false
73	bolter	145324	19282	-	1	false
74	bolter	145324	122844	-	1	false
75	bolter	145324	10069	-	1	false
76	bolter	145324	65131	-	1	false
77	bolter	145324	138578	-	1	false
78	bolter	145324	1880	-	1	true
79	bolter	145324	14424	-	1	false
80	bolter	145324	118355	-	1	false
81	bolter	145324	116059	-	1	false
82	bolter	145324	105806	-	1	false
83	bolter	145324	129171	-	1	false
84	bolter	145324	86829	-	1	false
85	bolter	145324	8042	-	1	false
86	bolter	145324	140197	-	1	false
87	bolter	145324	24960	-	1	false
88	bolter	145324	135098	-	1	false
89	bolter	145324	105012	-	1	false
90	bolter	145324	128114	-	1	false
91	bolter	145324	104010	-	1	false
92	bolter	145324	10581	-	1	false
93	bolter	145324	76575	-	1	false
94	bolter	145324	73825	-	1	false
95	bolter	145324	73841	-	1	false
96	bolter	145324	53595	-	1	false
97	bolter	145324	43810	-	1	false
98	bolter	145324	26885	-	1	true
99	bolter	145324	15942	-	1	false
