# seed=42 mode=bolter file=Super Mario 64.z64 filesize=8388608
trial	mode	filesize	off	bit	span	detected
0	bolter	8388608	7699414	-	1	false
1	bolter	8388608	509097	-	1	true
2	bolter	8388608	3650203	-	1	false
3	bolter	8388608	2184067	-	1	false
4	bolter	8388608	3104429	-	1	false
5	bolter	8388608	4109874	-	1	false
6	bolter	8388608	4665644	-	1	false
7	bolter	8388608	7325655	-	1	false
8	bolter	8388608	7079944	-	1	false
9	bolter	8388608	1260213	-	1	false
10	bolter	8388608	663001	-	1	true
11	bolter	8388608	3022977	-	1	false
12	bolter	8388608	5918172	-	1	false
13	bolter	8388608	5561238	-	1	false
14	bolter	8388608	7796817	-	1	false
15	bolter	8388608	8004203	-	1	false
16	bolter	8388608	8186586	-	1	false
17	bolter	8388608	6479428	-	1	false
18	bolter	8388608	4700707	-	1	false
19	bolter	8388608	6535620	-	1	false
20	bolter	8388608	564296	-	1	true
21	bolter	8388608	741143	-	1	true
22	bolter	8388608	6104784	-	1	false
23	bolter	8388608	157611	-	1	true
24	bolter	8388608	7220099	-	1	false
25	bolter	8388608	6332961	-	1	false
26	bolter	8388608	1711018	-	1	false
27	bolter	8388608	5643419	-	1	false
28	bolter	8388608	1574676	-	1	false
29	bolter	8388608	7118024	-	1	false
30	bolter	8388608	7725296	-	1	false
31	bolter	8388608	4605195	-	1	false
32	bolter	8388608	4651190	-	1	false
33	bolter	8388608	5209574	-	1	false
34	bolter	8388608	1327861	-	1	false
35	bolter	8388608	4392168	-	1	false
36	bolter	8388608	8153242	-	1	false
37	bolter	8388608	5036399	-	1	false
38	bolter	8388608	6149846	-	1	false
39	bolter	8388608	7481526	-	1	false
40	bolter	8388608	5968290	-	1	false
41	bolter	8388608	7193403	-	1	false
42	bolter	8388608	4286447	-	1	false
43	bolter	8388608	1668252	-	1	false
44	bolter	8388608	7082734	-	1	false
45	bolter	8388608	1906394	-	1	false
46	bolter	8388608	6139194	-	1	false
47	bolter	8388608	1467232	-	1	false
48	bolter	8388608	2391705	-	1	false
49	bolter	8388608	6572501	-	1	false
50	bolter	8388608	2109590	-	1	false
51	bolter	8388608	7139352	-	1	false
52	bolter	8388608	40738	-	1	true
53	bolter	8388608	2806405	-	1	false
54	bolter	8388608	1690082	-	1	false
55	bolter	8388608	7637652	-	1	false
56	bolter	8388608	8172495	-	1	false
57	bolter	8388608	1127068	-	1	false
58	bolter	8388608	3167727	-	1	false
59	bolter	8388608	8180231	-	1	false
60	bolter	8388608	5830728	-	1	false
61	bolter	8388608	178841	-	1	true
62	bolter	8388608	5007473	-	1	false
63	bolter	8388608	1602843	-	1	false
64	bolter	8388608	7782528	-	1	false
65	bolter	8388608	4673392	-	1	false
66	bolter	8388608	8247707	-	1	false
67	bolter	8388608	1753648	-	1	false
68	bolter	8388608	3081642	-	1	false
69	bolter	8388608	7203852	-	1	false
70	bolter	8388608	152095	-	1	true
71	bolter	8388608	4219983	-	1	false
72	bolter	8388608	6185364	-	1	false
73	bolter	8388608	3105142	-	1	false
74	bolter	8388608	3137620	-	1	false
75	bolter	8388608	1925029	-	1	false
76	bolter	8388608	1913595	-	1	false
77	bolter	8388608	839222	-	1	true
78	bolter	8388608	6730688	-	1	false
79	bolter	8388608	7611456	-	1	false
80	bolter	8388608	6286843	-	1	false
81	bolter	8388608	3261311	-	1	false
82	bolter	8388608	2981950	-	1	false
83	bolter	8388608	4243839	-	1	false
84	bolter	8388608	7882449	-	1	false
85	bolter	8388608	2236806	-	1	false
86	bolter	8388608	2415197	-	1	false
87	bolter	8388608	7439640	-	1	false
88	bolter	8388608	6529842	-	1	false
89	bolter	8388608	5706488	-	1	false
90	bolter	8388608	4451934	-	1	false
91	bolter	8388608	3318166	-	1	false
92	bolter	8388608	631497	-	1	true
93	bolter	8388608	1618339	-	1	false
94	bolter	8388608	5233841	-	1	false
95	bolter	8388608	1235869	-	1	false
96	bolter	8388608	2557031	-	1	false
97	bolter	8388608	6233274	-	1	false
98	bolter	8388608	3107181	-	1	false
99	bolter	8388608	4216466	-	1	false
