# seed=42 mode=bolter file=nikon_coolscan_iv.nef filesize=2201849
trial	mode	filesize	off	bit	span	detected
0	bolter	2201849	1122161	-	1	false
1	bolter	2201849	1164274	-	1	false
2	bolter	2201849	225409	-	1	false
3	bolter	2201849	275124	-	1	false
4	bolter	2201849	49629	-	1	false
5	bolter	2201849	253444	-	1	false
6	bolter	2201849	1559452	-	1	false
7	bolter	2201849	247401	-	1	false
8	bolter	2201849	1358240	-	1	false
9	bolter	2201849	1257686	-	1	false
10	bolter	2201849	570538	-	1	false
11	bolter	2201849	422911	-	1	false
12	bolter	2201849	892716	-	1	false
13	bolter	2201849	2195559	-	1	false
14	bolter	2201849	1366017	-	1	false
15	bolter	2201849	263049	-	1	false
16	bolter	2201849	961879	-	1	false
17	bolter	2201849	870758	-	1	false
18	bolter	2201849	119735	-	1	false
19	bolter	2201849	1214731	-	1	false
20	bolter	2201849	1383899	-	1	false
21	bolter	2201849	1740618	-	1	false
22	bolter	2201849	1595775	-	1	false
23	bolter	2201849	871903	-	1	false
24	bolter	2201849	134122	-	1	false
25	bolter	2201849	1500225	-	1	false
26	bolter	2201849	1978228	-	1	false
27	bolter	2201849	1730472	-	1	false
28	bolter	2201849	269518	-	1	false
29	bolter	2201849	874748	-	1	false
30	bolter	2201849	1808345	-	1	false
31	bolter	2201849	1452736	-	1	false
32	bolter	2201849	8576	-	1	false
33	bolter	2201849	217537	-	1	false
34	bolter	2201849	975911	-	1	false
35	bolter	2201849	949401	-	1	false
36	bolter	2201849	1917689	-	1	false
37	bolter	2201849	1796602	-	1	false
38	bolter	2201849	1124390	-	1	false
39	bolter	2201849	1359007	-	1	false
40	bolter	2201849	2037370	-	1	false
41	bolter	2201849	431153	-	1	false
42	bolter	2201849	3506	-	1	false
43	bolter	2201849	756186	-	1	false
44	bolter	2201849	800914	-	1	false
45	bolter	2201849	817054	-	1	false
46	bolter	2201849	1522276	-	1	false
47	bolter	2201849	1081863	-	1	false
48	bolter	2201849	1055726	-	1	false
49	bolter	2201849	267583	-	1	false
50	bolter	2201849	169826	-	1	false
51	bolter	2201849	384825	-	1	false
52	bolter	2201849	302823	-	1	false
53	bolter	2201849	149822	-	1	false
54	bolter	2201849	675232	-	1	false
55	bolter	2201849	2162587	-	1	false
56	bolter	2201849	490456	-	1	false
57	bolter	2201849	1992938	-	1	false
58	bolter	2201849	1032716	-	1	false
59	bolter	2201849	1854742	-	1	false
60	bolter	2201849	1529814	-	1	false
61	bolter	2201849	1257931	-	1	false
62	bolter	2201849	33409	-	1	false
63	bolter	2201849	436415	-	1	false
64	bolter	2201849	1516154	-	1	false
65	bolter	2201849	549752	-	1	false
66	bolter	2201849	1493180	-	1	false
67	bolter	2201849	1697131	-	1	false
68	bolter	2201849	792455	-	1	false
69	bolter	2201849	683116	-	1	false
70	bolter	2201849	673667	-	1	false
71	bolter	2201849	2133766	-	1	false
72	bolter	2201849	1961538	-	1	false
73	bolter	2201849	219893	-	1	false
74	bolter	2201849	1352032	-	1	false
75	bolter	2201849	1979019	-	1	false
76	bolter	2201849	264139	-	1	false
77	bolter	2201849	1584335	-	1	false
78	bolter	2201849	1772070	-	1	false
79	bolter	2201849	587121	-	1	false
80	bolter	2201849	51290	-	1	false
81	bolter	2201849	815421	-	1	false
82	bolter	2201849	1327369	-	1	false
83	bolter	2201849	1086255	-	1	false
84	bolter	2201849	1032861	-	1	false
85	bolter	2201849	11859	-	1	false
86	bolter	2201849	1770341	-	1	false
87	bolter	2201849	831566	-	1	false
88	bolter	2201849	1524957	-	1	false
89	bolter	2201849	264842	-	1	false
90	bolter	2201849	197287	-	1	false
91	bolter	2201849	774617	-	1	false
92	bolter	2201849	346314	-	1	false
93	bolter	2201849	1310058	-	1	false
94	bolter	2201849	2063409	-	1	false
95	bolter	2201849	1369474	-	1	false
96	bolter	2201849	2140841	-	1	false
97	bolter	2201849	922635	-	1	false
98	bolter	2201849	2025564	-	1	false
99	bolter	2201849	151941	-	1	false
