# seed=42 mode=bolter file=1943 (U).nes filesize=131088
trial	mode	filesize	off	bit	span	detected
0	bolter	131088	91238	-	1	false
1	bolter	131088	27785	-	1	false
2	bolter	131088	7419	-	1	false
3	bolter	131088	78483	-	1	false
4	bolter	131088	110973	-	1	false
5	bolter	131088	94306	-	1	false
6	bolter	131088	54060	-	1	false
7	bolter	131088	71831	-	1	false
8	bolter	131088	12488	-	1	false
9	bolter	131088	82533	-	1	false
10	bolter	131088	29113	-	1	false
11	bolter	131088	59185	-	1	false
12	bolter	131088	6924	-	1	false
13	bolter	131088	70966	-	1	false
14	bolter	131088	119009	-	1	false
15	bolter	131088	109227	-	1	false
16	bolter	131088	84778	-	1	false
17	bolter	131088	98116	-	1	false
18	bolter	131088	58355	-	1	false
19	bolter	131088	110308	-	1	false
20	bolter	131088	27672	-	1	false
21	bolter	131088	34551	-	1	false
22	bolter	131088	117792	-	1	false
23	bolter	131088	57307	-	1	false
24	bolter	131088	23603	-	1	false
25	bolter	131088	99153	-	1	false
26	bolter	131088	41706	-	1	false
27	bolter	131088	104987	-	1	false
28	bolter	131088	122500	-	1	false
29	bolter	131088	90488	-	1	false
30	bolter	131088	64896	-	1	false
31	bolter	131088	115451	-	1	false
32	bolter	131088	23206	-	1	false
33	bolter	131088	115606	-	1	false
34	bolter	131088	77461	-	1	false
35	bolter	131088	79624	-	1	false
36	bolter	131088	19674	-	1	false
37	bolter	131088	79679	-	1	false
38	bolter	131088	107510	-	1	false
39	bolter	131088	34102	-	1	false
40	bolter	131088	22274	-	1	false
41	bolter	131088	112635	-	1	false
42	bolter	131088	65007	-	1	false
43	bolter	131088	129020	-	1	false
44	bolter	131088	119710	-	1	false
45	bolter	131088	50714	-	1	false
46	bolter	131088	26234	-	1	false
47	bolter	131088	54992	-	1	false
48	bolter	131088	29097	-	1	false
49	bolter	131088	83685	-	1	false
50	bolter	131088	11190	-	1	false
51	bolter	131088	1256	-	1	false
52	bolter	131088	39746	-	1	false
53	bolter	131088	23893	-	1	false
54	bolter	131088	60706	-	1	false
55	bolter	131088	28420	-	1	false
56	bolter	131088	3087	-	1	false
57	bolter	131088	75340	-	1	false
58	bolter	131088	83119	-	1	false
59	bolter	131088	66103	-	1	false
60	bolter	131088	21912	-	1	false
61	bolter	131088	127641	-	1	false
62	bolter	131088	58913	-	1	false
63	bolter	131088	7275	-	1	false
64	bolter	131088	49408	-	1	false
65	bolter	131088	98640	-	1	false
66	bolter	131088	60907	-	1	false
67	bolter	131088	99696	-	1	false
68	bolter	131088	123994	-	1	false
69	bolter	131088	69836	-	1	false
70	bolter	131088	112175	-	1	false
71	bolter	131088	93807	-	1	false
72	bolter	131088	116436	-	1	false
73	bolter	131088	92198	-	1	false
74	bolter	131088	125732	-	1	false
75	bolter	131088	41717	-	1	false
76	bolter	131088	31259	-	1	false
77	bolter	131088	76294	-	1	false
78	bolter	131088	94416	-	1	false
79	bolter	131088	7328	-	1	false
80	bolter	131088	119595	-	1	false
81	bolter	131088	39471	-	1	false
82	bolter	131088	15086	-	1	false
83	bolter	131088	111535	-	1	false
84	bolter	131088	72529	-	1	false
85	bolter	131088	89254	-	1	false
86	bolter	131088	124269	-	1	false
87	bolter	131088	100824	-	1	false
88	bolter	131088	15410	-	1	false
89	bolter	131088	94328	-	1	false
90	bolter	131088	94334	-	1	false
91	bolter	131088	42006	-	1	false
92	bolter	131088	57993	-	1	false
93	bolter	131088	77075	-	1	false
94	bolter	131088	74337	-	1	false
95	bolter	131088	7949	-	1	false
96	bolter	131088	103271	-	1	false
97	bolter	131088	10698	-	1	false
98	bolter	131088	14381	-	1	false
99	bolter	131088	22722	-	1	false
