# seed=42 mode=shotgun file=1943 (U).nes filesize=131088
trial	mode	filesize	off	bit	span	detected
0	shotgun	131088	36218	-	4096	false
1	shotgun	131088	55255	-	4096	false
2	shotgun	131088	11859	-	4096	false
3	shotgun	131088	78620	-	4096	false
4	shotgun	131088	70839	-	4096	false
5	shotgun	131088	41008	-	4096	false
6	shotgun	131088	37194	-	4096	false
7	shotgun	131088	83266	-	4096	false
8	shotgun	131088	77636	-	4096	false
9	shotgun	131088	120026	-	4096	false
10	shotgun	131088	80903	-	4096	false
11	shotgun	131088	12940	-	4096	false
12	shotgun	131088	41410	-	4096	false
13	shotgun	131088	110479	-	4096	false
14	shotgun	131088	19863	-	4096	false
15	shotgun	131088	85261	-	4096	false
16	shotgun	131088	83647	-	4096	false
17	shotgun	131088	58239	-	4096	false
18	shotgun	131088	122640	-	4096	false
19	shotgun	131088	21239	-	4096	false
20	shotgun	131088	15454	-	4096	false
21	shotgun	131088	63758	-	4096	false
22	shotgun	131088	33048	-	4096	false
23	shotgun	131088	46023	-	4096	false
24	shotgun	131088	29942	-	4096	false
25	shotgun	131088	50719	-	4096	false
26	shotgun	131088	110138	-	4096	false
27	shotgun	131088	117694	-	4096	false
28	shotgun	131088	13494	-	4096	false
29	shotgun	131088	121637	-	4096	false
30	shotgun	131088	16652	-	4096	false
31	shotgun	131088	59379	-	4096	false
32	shotgun	131088	8188	-	4096	false
33	shotgun	131088	84055	-	4096	false
34	shotgun	131088	116523	-	4096	false
35	shotgun	131088	35132	-	4096	false
36	shotgun	131088	123068	-	4096	false
37	shotgun	131088	52278	-	4096	false
38	shotgun	131088	28146	-	4096	false
39	shotgun	131088	57854	-	4096	false
40	shotgun	131088	22814	-	4096	false
41	shotgun	131088	100356	-	4096	false
42	shotgun	131088	14239	-	4096	false
43	shotgun	131088	84744	-	4096	false
44	shotgun	131088	52357	-	4096	false
45	shotgun	131088	50745	-	4096	false
46	shotgun	131088	92178	-	4096	false
47	shotgun	131088	70803	-	4096	false
48	shotgun	131088	76868	-	4096	false
49	shotgun	131088	21029	-	4096	false
50	shotgun	131088	104186	-	4096	false
51	shotgun	131088	119067	-	4096	false
52	shotgun	131088	20878	-	4096	false
53	shotgun	131088	84551	-	4096	false
54	shotgun	131088	41938	-	4096	false
55	shotgun	131088	68644	-	4096	false
56	shotgun	131088	103921	-	4096	false
57	shotgun	131088	44880	-	4096	false
58	shotgun	131088	121570	-	4096	false
59	shotgun	131088	60119	-	4096	false
60	shotgun	131088	12849	-	4096	false
61	shotgun	131088	9499	-	4096	false
62	shotgun	131088	107311	-	4096	false
63	shotgun	131088	83161	-	4096	false
64	shotgun	131088	107082	-	4096	false
65	shotgun	131088	24159	-	4096	false
66	shotgun	131088	114005	-	4096	false
67	shotgun	131088	34006	-	4096	false
68	shotgun	131088	43824	-	4096	false
69	shotgun	131088	30184	-	4096	false
70	shotgun	131088	73239	-	4096	false
71	shotgun	131088	112176	-	4096	false
72	shotgun	131088	80269	-	4096	false
73	shotgun	131088	11812	-	4096	false
74	shotgun	131088	17200	-	4096	false
75	shotgun	131088	4327	-	4096	false
76	shotgun	131088	57542	-	4096	false
77	shotgun	131088	72229	-	4096	false
78	shotgun	131088	81320	-	4096	false
79	shotgun	131088	10671	-	4096	false
80	shotgun	131088	20736	-	4096	false
81	shotgun	131088	115004	-	4096	false
82	shotgun	131088	90179	-	4096	false
83	shotgun	131088	26550	-	4096	false
84	shotgun	131088	2364	-	4096	false
85	shotgun	131088	47172	-	4096	false
86	shotgun	131088	118514	-	4096	false
87	shotgun	131088	85770	-	4096	false
88	shotgun	131088	3652	-	4096	false
89	shotgun	131088	80471	-	4096	false
90	shotgun	131088	66945	-	4096	false
91	shotgun	131088	80800	-	4096	false
92	shotgun	131088	4642	-	4096	false
93	shotgun	131088	51888	-	4096	false
94	shotgun	131088	74364	-	4096	false
95	shotgun	131088	28240	-	4096	false
96	shotgun	131088	84594	-	4096	false
97	shotgun	131088	112884	-	4096	false
98	shotgun	131088	114414	-	4096	false
99	shotgun	131088	45276	-	4096	false
