# seed=42 mode=bolter file=sample.odp filesize=24035
trial	mode	filesize	off	bit	span	detected
0	bolter	24035	16881	-	1	true
1	bolter	24035	16359	-	1	true
2	bolter	24035	14775	-	1	true
3	bolter	24035	2260	-	1	true
4	bolter	24035	4597	-	1	true
5	bolter	24035	9921	-	1	true
6	bolter	24035	18595	-	1	true
7	bolter	24035	18581	-	1	true
8	bolter	24035	13799	-	1	false
9	bolter	24035	18543	-	1	true
10	bolter	24035	12505	-	1	true
11	bolter	24035	3420	-	1	true
12	bolter	24035	10278	-	1	true
13	bolter	24035	12194	-	1	true
14	bolter	24035	20833	-	1	true
15	bolter	24035	11945	-	1	true
16	bolter	24035	11563	-	1	true
17	bolter	24035	134	-	1	true
18	bolter	24035	10676	-	1	true
19	bolter	24035	5588	-	1	true
20	bolter	24035	18441	-	1	true
21	bolter	24035	22410	-	1	true
22	bolter	24035	14125	-	1	true
23	bolter	24035	10547	-	1	true
24	bolter	24035	8958	-	1	true
25	bolter	24035	20092	-	1	true
26	bolter	24035	17440	-	1	true
27	bolter	24035	12238	-	1	true
28	bolter	24035	20799	-	1	true
29	bolter	24035	10283	-	1	true
30	bolter	24035	14736	-	1	true
31	bolter	24035	5285	-	1	true
32	bolter	24035	8195	-	1	true
33	bolter	24035	15408	-	1	true
34	bolter	24035	15720	-	1	true
35	bolter	24035	19391	-	1	true
36	bolter	24035	12203	-	1	true
37	bolter	24035	10354	-	1	true
38	bolter	24035	1602	-	1	true
39	bolter	24035	23478	-	1	true
40	bolter	24035	8355	-	1	true
41	bolter	24035	12192	-	1	true
42	bolter	24035	18435	-	1	true
43	bolter	24035	1336	-	1	true
44	bolter	24035	22339	-	1	true
45	bolter	24035	19957	-	1	true
46	bolter	24035	22535	-	1	true
47	bolter	24035	18203	-	1	true
48	bolter	24035	20121	-	1	true
49	bolter	24035	16531	-	1	true
50	bolter	24035	23406	-	1	true
51	bolter	24035	6418	-	1	true
52	bolter	24035	21564	-	1	true
53	bolter	24035	10175	-	1	true
54	bolter	24035	5212	-	1	true
55	bolter	24035	23149	-	1	false
56	bolter	24035	21176	-	1	true
57	bolter	24035	5304	-	1	true
58	bolter	24035	4498	-	1	true
59	bolter	24035	5456	-	1	true
60	bolter	24035	8177	-	1	true
61	bolter	24035	6211	-	1	true
62	bolter	24035	21886	-	1	true
63	bolter	24035	3378	-	1	true
64	bolter	24035	1497	-	1	true
65	bolter	24035	7727	-	1	true
66	bolter	24035	9163	-	1	true
67	bolter	24035	6105	-	1	true
68	bolter	24035	11657	-	1	true
69	bolter	24035	19042	-	1	true
70	bolter	24035	1411	-	1	true
71	bolter	24035	16030	-	1	true
72	bolter	24035	3736	-	1	true
73	bolter	24035	8309	-	1	true
74	bolter	24035	20827	-	1	true
75	bolter	24035	3367	-	1	true
76	bolter	24035	8873	-	1	true
77	bolter	24035	19695	-	1	true
78	bolter	24035	14995	-	1	true
79	bolter	24035	16789	-	1	true
80	bolter	24035	20534	-	1	true
81	bolter	24035	4300	-	1	true
82	bolter	24035	11642	-	1	true
83	bolter	24035	20443	-	1	true
84	bolter	24035	10718	-	1	true
85	bolter	24035	1241	-	1	true
86	bolter	24035	16103	-	1	true
87	bolter	24035	20975	-	1	true
88	bolter	24035	5498	-	1	true
89	bolter	24035	7463	-	1	true
90	bolter	24035	309	-	1	true
91	bolter	24035	3177	-	1	true
92	bolter	24035	1416	-	1	true
93	bolter	24035	2513	-	1	true
94	bolter	24035	16757	-	1	true
95	bolter	24035	4520	-	1	true
96	bolter	24035	1875	-	1	true
97	bolter	24035	7754	-	1	true
98	bolter	24035	19201	-	1	true
99	bolter	24035	16650	-	1	true
