# seed=42 mode=sniper file=sample.odp filesize=24035
trial	mode	filesize	off	bit	span	detected
0	sniper	24035	16881	1	1	true
1	sniper	24035	14775	3	1	true
2	sniper	24035	4597	2	1	true
3	sniper	24035	18595	7	1	true
4	sniper	24035	13799	5	1	false
5	sniper	24035	12505	1	1	true
6	sniper	24035	10278	6	1	true
7	sniper	24035	20833	3	1	true
8	sniper	24035	11563	4	1	true
9	sniper	24035	10676	4	1	true
10	sniper	24035	18441	7	1	true
11	sniper	24035	14125	3	1	true
12	sniper	24035	8958	1	1	true
13	sniper	24035	17440	3	1	true
14	sniper	24035	20799	0	1	true
15	sniper	24035	14736	3	1	true
16	sniper	24035	8195	6	1	true
17	sniper	24035	15720	0	1	true
18	sniper	24035	12203	7	1	true
19	sniper	24035	1602	6	1	true
20	sniper	24035	8355	3	1	true
21	sniper	24035	18435	4	1	true
22	sniper	24035	22339	2	1	true
23	sniper	24035	22535	0	1	true
24	sniper	24035	20121	5	1	true
25	sniper	24035	23406	0	1	true
26	sniper	24035	21564	5	1	true
27	sniper	24035	5212	4	1	true
28	sniper	24035	21176	4	1	true
29	sniper	24035	4498	7	1	true
30	sniper	24035	8177	1	1	true
31	sniper	24035	21886	3	1	true
32	sniper	24035	1497	0	1	true
33	sniper	24035	9163	0	1	true
34	sniper	24035	11657	4	1	true
35	sniper	24035	1411	7	1	true
36	sniper	24035	3736	6	1	true
37	sniper	24035	20827	5	1	true
38	sniper	24035	8873	6	1	true
39	sniper	24035	14995	0	1	true
40	sniper	24035	20534	7	1	true
41	sniper	24035	11642	7	1	true
42	sniper	24035	10718	6	1	true
43	sniper	24035	16103	0	1	true
44	sniper	24035	5498	0	1	true
45	sniper	24035	309	6	1	true
46	sniper	24035	1416	3	1	true
47	sniper	24035	16757	5	1	true
48	sniper	24035	1875	2	1	true
49	sniper	24035	19201	2	1	true
50	sniper	24035	5622	2	1	true
51	sniper	24035	22948	3	1	true
52	sniper	24035	20324	7	1	true
53	sniper	24035	21549	2	1	true
54	sniper	24035	19790	6	1	true
55	sniper	24035	16060	7	1	true
56	sniper	24035	7681	6	1	true
57	sniper	24035	11918	6	1	true
58	sniper	24035	6775	1	1	true
59	sniper	24035	2534	2	1	true
60	sniper	24035	2842	4	1	true
61	sniper	24035	11629	2	1	true
62	sniper	24035	1982	5	1	true
63	sniper	24035	22738	7	1	true
64	sniper	24035	7766	0	1	true
65	sniper	24035	15828	0	1	true
66	sniper	24035	20477	3	1	true
67	sniper	24035	15673	7	1	true
68	sniper	24035	2460	1	1	true
69	sniper	24035	14520	3	1	true
70	sniper	24035	7144	2	1	true
71	sniper	24035	10029	6	1	true
72	sniper	24035	22955	2	1	true
73	sniper	24035	14322	4	1	false
74	sniper	24035	10690	2	1	true
75	sniper	24035	206	2	1	true
76	sniper	24035	16966	0	1	true
77	sniper	24035	14091	4	1	true
78	sniper	24035	22746	2	1	true
79	sniper	24035	15349	4	1	true
80	sniper	24035	17886	2	1	true
81	sniper	24035	23781	3	1	true
82	sniper	24035	12376	0	1	true
83	sniper	24035	6314	2	1	true
84	sniper	24035	16857	2	1	true
85	sniper	24035	2541	3	1	true
86	sniper	24035	1934	6	1	true
87	sniper	24035	4093	6	1	true
88	sniper	24035	6585	0	1	true
89	sniper	24035	13442	5	1	true
90	sniper	24035	21348	6	1	true
91	sniper	24035	20227	4	1	true
92	sniper	24035	1154	2	1	true
93	sniper	24035	3521	3	1	true
94	sniper	24035	19478	4	1	true
95	sniper	24035	15596	7	1	true
96	sniper	24035	22993	6	1	true
97	sniper	24035	20173	2	1	true
98	sniper	24035	1905	0	1	true
99	sniper	24035	11796	7	1	true
