# seed=42 mode=shotgun file=sample.odt filesize=24286
trial	mode	filesize	off	bit	span	detected
0	shotgun	24286	6690	-	4096	true
1	shotgun	24286	9554	-	4096	true
2	shotgun	24286	17289	-	4096	true
3	shotgun	24286	14698	-	4096	true
4	shotgun	24286	1791	-	4096	true
5	shotgun	24286	16171	-	4096	true
6	shotgun	24286	9829	-	4096	true
7	shotgun	24286	5991	-	4096	true
8	shotgun	24286	6682	-	4096	true
9	shotgun	24286	8647	-	4096	true
10	shotgun	24286	5386	-	4096	true
11	shotgun	24286	8846	-	4096	true
12	shotgun	24286	7340	-	4096	true
13	shotgun	24286	11629	-	4096	true
14	shotgun	24286	14113	-	4096	true
15	shotgun	24286	8684	-	4096	true
16	shotgun	24286	10552	-	4096	true
17	shotgun	24286	15372	-	4096	true
18	shotgun	24286	9409	-	4096	true
19	shotgun	24286	12873	-	4096	true
20	shotgun	24286	17047	-	4096	true
21	shotgun	24286	5930	-	4096	true
22	shotgun	24286	10520	-	4096	true
23	shotgun	24286	1392	-	4096	true
24	shotgun	24286	151	-	4096	true
25	shotgun	24286	18788	-	4096	true
26	shotgun	24286	2434	-	4096	true
27	shotgun	24286	18955	-	4096	true
28	shotgun	24286	13352	-	4096	true
29	shotgun	24286	5420	-	4096	true
30	shotgun	24286	19459	-	4096	true
31	shotgun	24286	15134	-	4096	true
32	shotgun	24286	17181	-	4096	true
33	shotgun	24286	2404	-	4096	true
34	shotgun	24286	10179	-	4096	true
35	shotgun	24286	11362	-	4096	true
36	shotgun	24286	4492	-	4096	true
37	shotgun	24286	4888	-	4096	true
38	shotgun	24286	2895	-	4096	true
39	shotgun	24286	17308	-	4096	true
40	shotgun	24286	801	-	4096	true
41	shotgun	24286	20105	-	4096	true
42	shotgun	24286	4550	-	4096	true
43	shotgun	24286	10847	-	4096	true
44	shotgun	24286	2707	-	4096	true
45	shotgun	24286	10082	-	4096	true
46	shotgun	24286	18275	-	4096	true
47	shotgun	24286	6632	-	4096	true
48	shotgun	24286	15562	-	4096	true
49	shotgun	24286	3216	-	4096	true
50	shotgun	24286	5850	-	4096	true
51	shotgun	24286	12651	-	4096	true
52	shotgun	24286	5054	-	4096	true
53	shotgun	24286	18624	-	4096	true
54	shotgun	24286	12887	-	4096	true
55	shotgun	24286	10102	-	4096	true
56	shotgun	24286	10848	-	4096	true
57	shotgun	24286	9188	-	4096	true
58	shotgun	24286	20132	-	4096	true
59	shotgun	24286	912	-	4096	true
60	shotgun	24286	15679	-	4096	true
61	shotgun	24286	14095	-	4096	true
62	shotgun	24286	313	-	4096	true
63	shotgun	24286	4247	-	4096	true
64	shotgun	24286	4996	-	4096	true
65	shotgun	24286	7771	-	4096	true
66	shotgun	24286	9802	-	4096	true
67	shotgun	24286	20063	-	4096	true
68	shotgun	24286	18284	-	4096	true
69	shotgun	24286	7940	-	4096	true
70	shotgun	24286	783	-	4096	true
71	shotgun	24286	19228	-	4096	true
72	shotgun	24286	6224	-	4096	true
73	shotgun	24286	2305	-	4096	true
74	shotgun	24286	17109	-	4096	true
75	shotgun	24286	19441	-	4096	true
76	shotgun	24286	8702	-	4096	true
77	shotgun	24286	4299	-	4096	true
78	shotgun	24286	15476	-	4096	true
79	shotgun	24286	8692	-	4096	true
80	shotgun	24286	19209	-	4096	true
81	shotgun	24286	14165	-	4096	true
82	shotgun	24286	12239	-	4096	true
83	shotgun	24286	5690	-	4096	true
84	shotgun	24286	18901	-	4096	true
85	shotgun	24286	9323	-	4096	true
86	shotgun	24286	14697	-	4096	true
87	shotgun	24286	2898	-	4096	true
88	shotgun	24286	8735	-	4096	true
89	shotgun	24286	15363	-	4096	true
90	shotgun	24286	13252	-	4096	true
91	shotgun	24286	7493	-	4096	true
92	shotgun	24286	17109	-	4096	true
93	shotgun	24286	12320	-	4096	true
94	shotgun	24286	17510	-	4096	true
95	shotgun	24286	9287	-	4096	true
96	shotgun	24286	103	-	4096	true
97	shotgun	24286	13251	-	4096	true
98	shotgun	24286	14607	-	4096	true
99	shotgun	24286	8847	-	4096	true
