# seed=42 mode=sniper file=sample.odt filesize=24286
trial	mode	filesize	off	bit	span	detected
0	sniper	24286	5160	1	1	true
1	sniper	24286	221	3	1	true
2	sniper	24286	18179	2	1	true
3	sniper	24286	16022	7	1	true
4	sniper	24286	18928	5	1	true
5	sniper	24286	20445	1	1	true
6	sniper	24286	14500	6	1	true
7	sniper	24286	1195	3	1	true
8	sniper	24286	24190	4	1	true
9	sniper	24286	5931	4	1	true
10	sniper	24286	12736	7	1	true
11	sniper	24286	7754	3	1	true
12	sniper	24286	17777	1	1	true
13	sniper	24286	22302	3	1	true
14	sniper	24286	16706	0	1	true
15	sniper	24286	3588	3	1	true
16	sniper	24286	5668	6	1	true
17	sniper	24286	1135	0	1	true
18	sniper	24286	22586	7	1	true
19	sniper	24286	3314	6	1	true
20	sniper	24286	17224	3	1	true
21	sniper	24286	3353	4	1	true
22	sniper	24286	18862	2	1	true
23	sniper	24286	16760	0	1	true
24	sniper	24286	20495	5	1	true
25	sniper	24286	744	0	1	true
26	sniper	24286	20488	5	1	true
27	sniper	24286	2360	4	1	true
28	sniper	24286	1093	4	1	false
29	sniper	24286	9613	7	1	true
30	sniper	24286	20224	1	1	true
31	sniper	24286	11451	3	1	true
32	sniper	24286	4360	0	1	true
33	sniper	24286	11583	0	1	true
34	sniper	24286	17754	4	1	true
35	sniper	24286	14577	7	1	true
36	sniper	24286	24172	6	1	true
37	sniper	24286	11680	5	1	true
38	sniper	24286	15001	6	1	true
39	sniper	24286	358	0	1	true
40	sniper	24286	1923	7	1	true
41	sniper	24286	7504	7	1	true
42	sniper	24286	23907	6	1	true
43	sniper	24286	4049	0	1	true
44	sniper	24286	16286	0	1	true
45	sniper	24286	3246	6	1	true
46	sniper	24286	15651	3	1	true
47	sniper	24286	2163	5	1	true
48	sniper	24286	16813	2	1	true
49	sniper	24286	4285	2	1	true
50	sniper	24286	10615	2	1	true
51	sniper	24286	21141	3	1	true
52	sniper	24286	7178	7	1	true
53	sniper	24286	6132	2	1	true
54	sniper	24286	7250	6	1	true
55	sniper	24286	4477	7	1	true
56	sniper	24286	18781	6	1	true
57	sniper	24286	21397	6	1	true
58	sniper	24286	4903	1	1	true
59	sniper	24286	13863	2	1	true
60	sniper	24286	11309	4	1	true
61	sniper	24286	22232	2	1	true
62	sniper	24286	4684	5	1	true
63	sniper	24286	2862	7	1	true
64	sniper	24286	19486	0	1	false
65	sniper	24286	18926	0	1	true
66	sniper	24286	14085	3	1	true
67	sniper	24286	17102	7	1	true
68	sniper	24286	21252	1	1	true
69	sniper	24286	17359	3	1	true
70	sniper	24286	12979	2	1	true
71	sniper	24286	7601	6	1	true
72	sniper	24286	23163	2	1	true
73	sniper	24286	6353	4	1	true
74	sniper	24286	1965	2	1	true
75	sniper	24286	23571	2	1	false
76	sniper	24286	58	0	1	true
77	sniper	24286	631	4	1	true
78	sniper	24286	16909	2	1	true
79	sniper	24286	1662	4	1	true
80	sniper	24286	13597	2	1	true
81	sniper	24286	23457	3	1	true
82	sniper	24286	18449	0	1	true
83	sniper	24286	5305	2	1	true
84	sniper	24286	23694	2	1	true
85	sniper	24286	7749	3	1	true
86	sniper	24286	6075	6	1	true
87	sniper	24286	4490	6	1	true
88	sniper	24286	3628	0	1	true
89	sniper	24286	14444	5	1	true
90	sniper	24286	7252	6	1	true
91	sniper	24286	8651	4	1	true
92	sniper	24286	19307	2	1	false
93	sniper	24286	4891	3	1	true
94	sniper	24286	6611	4	1	true
95	sniper	24286	22707	7	1	true
96	sniper	24286	7041	6	1	false
97	sniper	24286	6527	2	1	true
98	sniper	24286	7199	0	1	true
99	sniper	24286	15332	7	1	true
