# seed=42 mode=bolter file=wikipedia_example.ogg filesize=104793
trial	mode	filesize	off	bit	span	detected
0	bolter	104793	68810	-	1	true
1	bolter	104793	43154	-	1	true
2	bolter	104793	13197	-	1	true
3	bolter	104793	57504	-	1	true
4	bolter	104793	87888	-	1	true
5	bolter	104793	55129	-	1	true
6	bolter	104793	62268	-	1	true
7	bolter	104793	101021	-	1	true
8	bolter	104793	67457	-	1	true
9	bolter	104793	18552	-	1	true
10	bolter	104793	23953	-	1	true
11	bolter	104793	658	-	1	true
12	bolter	104793	6987	-	1	true
13	bolter	104793	60673	-	1	true
14	bolter	104793	98465	-	1	true
15	bolter	104793	85014	-	1	true
16	bolter	104793	86563	-	1	true
17	bolter	104793	12706	-	1	true
18	bolter	104793	49340	-	1	true
19	bolter	104793	42235	-	1	true
20	bolter	104793	30300	-	1	true
21	bolter	104793	49851	-	1	true
22	bolter	104793	12765	-	1	true
23	bolter	104793	28762	-	1	true
24	bolter	104793	92483	-	1	true
25	bolter	104793	58629	-	1	true
26	bolter	104793	100950	-	1	true
27	bolter	104793	5879	-	1	true
28	bolter	104793	15160	-	1	true
29	bolter	104793	80825	-	1	true
30	bolter	104793	43881	-	1	true
31	bolter	104793	87632	-	1	true
32	bolter	104793	97756	-	1	true
33	bolter	104793	47185	-	1	true
34	bolter	104793	1210	-	1	true
35	bolter	104793	21916	-	1	true
36	bolter	104793	75888	-	1	true
37	bolter	104793	85334	-	1	true
38	bolter	104793	29075	-	1	true
39	bolter	104793	54730	-	1	true
40	bolter	104793	16676	-	1	true
41	bolter	104793	38514	-	1	true
42	bolter	104793	19509	-	1	true
43	bolter	104793	96098	-	1	true
44	bolter	104793	34330	-	1	true
45	bolter	104793	84179	-	1	true
46	bolter	104793	21335	-	1	true
47	bolter	104793	20543	-	1	true
48	bolter	104793	95208	-	1	true
49	bolter	104793	52407	-	1	true
50	bolter	104793	84390	-	1	true
51	bolter	104793	97031	-	1	true
52	bolter	104793	6605	-	1	true
53	bolter	104793	87565	-	1	true
54	bolter	104793	88048	-	1	true
55	bolter	104793	51517	-	1	true
56	bolter	104793	66435	-	1	true
57	bolter	104793	88087	-	1	true
58	bolter	104793	54427	-	1	true
59	bolter	104793	76732	-	1	true
60	bolter	104793	96993	-	1	true
61	bolter	104793	18069	-	1	true
62	bolter	104793	54365	-	1	true
63	bolter	104793	72597	-	1	true
64	bolter	104793	16123	-	1	true
65	bolter	104793	28062	-	1	true
66	bolter	104793	52663	-	1	true
67	bolter	104793	66060	-	1	true
68	bolter	104793	28315	-	1	true
69	bolter	104793	3320	-	1	true
70	bolter	104793	72014	-	1	true
71	bolter	104793	61878	-	1	true
72	bolter	104793	54867	-	1	true
73	bolter	104793	16508	-	1	true
74	bolter	104793	4517	-	1	true
75	bolter	104793	65510	-	1	true
76	bolter	104793	55463	-	1	true
77	bolter	104793	85045	-	1	true
78	bolter	104793	11649	-	1	true
79	bolter	104793	71528	-	1	true
80	bolter	104793	95763	-	1	true
81	bolter	104793	74226	-	1	true
82	bolter	104793	79928	-	1	true
83	bolter	104793	44695	-	1	true
84	bolter	104793	84472	-	1	true
85	bolter	104793	40498	-	1	true
86	bolter	104793	71319	-	1	true
87	bolter	104793	15192	-	1	true
88	bolter	104793	1409	-	1	true
89	bolter	104793	21872	-	1	true
90	bolter	104793	99488	-	1	true
91	bolter	104793	97161	-	1	true
92	bolter	104793	41217	-	1	true
93	bolter	104793	89267	-	1	true
94	bolter	104793	87825	-	1	true
95	bolter	104793	11663	-	1	true
96	bolter	104793	58982	-	1	true
97	bolter	104793	46188	-	1	true
98	bolter	104793	35225	-	1	true
99	bolter	104793	13023	-	1	true
