# seed=42 mode=shotgun file=sample.ogv filesize=51561
trial	mode	filesize	off	bit	span	detected
0	shotgun	51561	33332	-	4096	true
1	shotgun	51561	40399	-	4096	true
2	shotgun	51561	37383	-	4096	true
3	shotgun	51561	1376	-	4096	true
4	shotgun	51561	13155	-	4096	true
5	shotgun	51561	37744	-	4096	true
6	shotgun	51561	3993	-	4096	true
7	shotgun	51561	11014	-	4096	true
8	shotgun	51561	3467	-	4096	true
9	shotgun	51561	4970	-	4096	true
10	shotgun	51561	32201	-	4096	true
11	shotgun	51561	601	-	4096	true
12	shotgun	51561	34477	-	4096	true
13	shotgun	51561	30136	-	4096	true
14	shotgun	51561	32406	-	4096	true
15	shotgun	51561	43741	-	4096	true
16	shotgun	51561	8233	-	4096	true
17	shotgun	51561	24066	-	4096	true
18	shotgun	51561	39939	-	4096	true
19	shotgun	51561	21095	-	4096	true
20	shotgun	51561	29305	-	4096	true
21	shotgun	51561	9242	-	4096	true
22	shotgun	51561	41619	-	4096	true
23	shotgun	51561	31641	-	4096	true
24	shotgun	51561	17579	-	4096	true
25	shotgun	51561	39751	-	4096	true
26	shotgun	51561	45413	-	4096	true
27	shotgun	51561	553	-	4096	true
28	shotgun	51561	27027	-	4096	true
29	shotgun	51561	14321	-	4096	true
30	shotgun	51561	20381	-	4096	true
31	shotgun	51561	23583	-	4096	true
32	shotgun	51561	27955	-	4096	true
33	shotgun	51561	20095	-	4096	true
34	shotgun	51561	38703	-	4096	true
35	shotgun	51561	29108	-	4096	true
36	shotgun	51561	1388	-	4096	true
37	shotgun	51561	33759	-	4096	true
38	shotgun	51561	16893	-	4096	true
39	shotgun	51561	986	-	4096	true
40	shotgun	51561	37700	-	4096	true
41	shotgun	51561	11145	-	4096	true
42	shotgun	51561	14143	-	4096	true
43	shotgun	51561	24504	-	4096	true
44	shotgun	51561	17206	-	4096	true
45	shotgun	51561	28893	-	4096	true
46	shotgun	51561	27813	-	4096	true
47	shotgun	51561	45078	-	4096	true
48	shotgun	51561	12311	-	4096	true
49	shotgun	51561	7628	-	4096	true
50	shotgun	51561	29861	-	4096	true
51	shotgun	51561	20469	-	4096	true
52	shotgun	51561	5227	-	4096	true
53	shotgun	51561	38213	-	4096	true
54	shotgun	51561	8308	-	4096	true
55	shotgun	51561	14395	-	4096	true
56	shotgun	51561	40141	-	4096	true
57	shotgun	51561	44205	-	4096	true
58	shotgun	51561	5791	-	4096	true
59	shotgun	51561	3683	-	4096	true
60	shotgun	51561	39810	-	4096	true
61	shotgun	51561	19606	-	4096	true
62	shotgun	51561	35257	-	4096	true
63	shotgun	51561	5089	-	4096	true
64	shotgun	51561	5880	-	4096	true
65	shotgun	51561	6990	-	4096	true
66	shotgun	51561	35087	-	4096	true
67	shotgun	51561	13357	-	4096	true
68	shotgun	51561	1314	-	4096	true
69	shotgun	51561	21061	-	4096	true
70	shotgun	51561	25698	-	4096	true
71	shotgun	51561	22785	-	4096	true
72	shotgun	51561	22408	-	4096	true
73	shotgun	51561	40522	-	4096	true
74	shotgun	51561	28873	-	4096	true
75	shotgun	51561	28462	-	4096	true
76	shotgun	51561	18965	-	4096	true
77	shotgun	51561	12268	-	4096	true
78	shotgun	51561	18590	-	4096	true
79	shotgun	51561	22920	-	4096	true
80	shotgun	51561	23538	-	4096	true
81	shotgun	51561	36911	-	4096	true
82	shotgun	51561	15740	-	4096	true
83	shotgun	51561	23175	-	4096	true
84	shotgun	51561	19794	-	4096	true
85	shotgun	51561	33471	-	4096	true
86	shotgun	51561	18182	-	4096	true
87	shotgun	51561	22824	-	4096	true
88	shotgun	51561	38137	-	4096	true
89	shotgun	51561	38066	-	4096	true
90	shotgun	51561	17595	-	4096	true
91	shotgun	51561	1078	-	4096	true
92	shotgun	51561	30919	-	4096	true
93	shotgun	51561	4527	-	4096	true
94	shotgun	51561	25824	-	4096	true
95	shotgun	51561	41647	-	4096	true
96	shotgun	51561	35826	-	4096	true
97	shotgun	51561	17607	-	4096	true
98	shotgun	51561	47202	-	4096	true
99	shotgun	51561	26322	-	4096	true
