# seed=42 mode=bolter file=sample.ppt filesize=912384
trial	mode	filesize	off	bit	span	detected
0	bolter	912384	883670	-	1	false
1	bolter	912384	99497	-	1	false
2	bolter	912384	423579	-	1	false
3	bolter	912384	729987	-	1	false
4	bolter	912384	672429	-	1	false
5	bolter	912384	77362	-	1	false
6	bolter	912384	126252	-	1	false
7	bolter	912384	854999	-	1	false
8	bolter	912384	301064	-	1	false
9	bolter	912384	369333	-	1	false
10	bolter	912384	189913	-	1	false
11	bolter	912384	283777	-	1	false
12	bolter	912384	744924	-	1	false
13	bolter	912384	542614	-	1	false
14	bolter	912384	254033	-	1	false
15	bolter	912384	368235	-	1	false
16	bolter	912384	618202	-	1	false
17	bolter	912384	906820	-	1	false
18	bolter	912384	404003	-	1	false
19	bolter	912384	100804	-	1	false
20	bolter	912384	731208	-	1	false
21	bolter	912384	72471	-	1	false
22	bolter	912384	86736	-	1	false
23	bolter	912384	693163	-	1	false
24	bolter	912384	86915	-	1	false
25	bolter	912384	394785	-	1	false
26	bolter	912384	115626	-	1	false
27	bolter	912384	95387	-	1	false
28	bolter	912384	340756	-	1	false
29	bolter	912384	863432	-	1	false
30	bolter	912384	820464	-	1	false
31	bolter	912384	103691	-	1	false
32	bolter	912384	343222	-	1	false
33	bolter	912384	840166	-	1	false
34	bolter	912384	375541	-	1	false
35	bolter	912384	774376	-	1	false
36	bolter	912384	736410	-	1	false
37	bolter	912384	382319	-	1	false
38	bolter	912384	64214	-	1	false
39	bolter	912384	358582	-	1	false
40	bolter	912384	29090	-	1	false
41	bolter	912384	892731	-	1	false
42	bolter	912384	680943	-	1	false
43	bolter	912384	115868	-	1	false
44	bolter	912384	616174	-	1	false
45	bolter	912384	619226	-	1	false
46	bolter	912384	147770	-	1	false
47	bolter	912384	623456	-	1	false
48	bolter	912384	695961	-	1	false
49	bolter	912384	306645	-	1	false
50	bolter	912384	193686	-	1	false
51	bolter	912384	588824	-	1	false
52	bolter	912384	861986	-	1	false
53	bolter	912384	376453	-	1	false
54	bolter	912384	484834	-	1	false
55	bolter	912384	354964	-	1	false
56	bolter	912384	569295	-	1	false
57	bolter	912384	343708	-	1	false
58	bolter	912384	213487	-	1	false
59	bolter	912384	268807	-	1	false
60	bolter	912384	9288	-	1	false
61	bolter	912384	824985	-	1	false
62	bolter	912384	116849	-	1	false
63	bolter	912384	804123	-	1	false
64	bolter	912384	816256	-	1	false
65	bolter	912384	411504	-	1	false
66	bolter	912384	784795	-	1	false
67	bolter	912384	238128	-	1	false
68	bolter	912384	191914	-	1	false
69	bolter	912384	78860	-	1	false
70	bolter	912384	540191	-	1	false
71	bolter	912384	293967	-	1	false
72	bolter	912384	787860	-	1	false
73	bolter	912384	657782	-	1	false
74	bolter	912384	244820	-	1	false
75	bolter	912384	724901	-	1	false
76	bolter	912384	26363	-	1	false
77	bolter	912384	11830	-	1	false
78	bolter	912384	427968	-	1	false
79	bolter	912384	489536	-	1	false
80	bolter	912384	694779	-	1	false
81	bolter	912384	457599	-	1	false
82	bolter	912384	774206	-	1	false
83	bolter	912384	334207	-	1	false
84	bolter	912384	516817	-	1	false
85	bolter	912384	612742	-	1	false
86	bolter	912384	179805	-	1	false
87	bolter	912384	162072	-	1	false
88	bolter	912384	265010	-	1	false
89	bolter	912384	140024	-	1	false
90	bolter	912384	417374	-	1	false
91	bolter	912384	269718	-	1	false
92	bolter	912384	10953	-	1	false
93	bolter	912384	286115	-	1	false
94	bolter	912384	341169	-	1	false
95	bolter	912384	438173	-	1	false
96	bolter	912384	339047	-	1	false
97	bolter	912384	439482	-	1	false
98	bolter	912384	657773	-	1	false
99	bolter	912384	899730	-	1	false
