# seed=42 mode=shotgun file=corpus_xorshift.par2 filesize=34488
trial	mode	filesize	off	bit	span	detected
0	shotgun	34488	3659	-	4096	true
1	shotgun	34488	24226	-	4096	true
2	shotgun	34488	14964	-	4096	true
3	shotgun	34488	4391	-	4096	true
4	shotgun	34488	27852	-	4096	true
5	shotgun	34488	331	-	4096	true
6	shotgun	34488	13488	-	4096	true
7	shotgun	34488	21409	-	4096	true
8	shotgun	34488	11648	-	4096	true
9	shotgun	34488	27983	-	4096	true
10	shotgun	34488	11942	-	4096	true
11	shotgun	34488	20509	-	4096	true
12	shotgun	34488	14758	-	4096	true
13	shotgun	34488	11812	-	4096	true
14	shotgun	34488	24441	-	4096	true
15	shotgun	34488	4465	-	4096	true
16	shotgun	34488	25720	-	4096	true
17	shotgun	34488	20304	-	4096	true
18	shotgun	34488	11715	-	4096	true
19	shotgun	34488	5003	-	4096	true
20	shotgun	34488	11980	-	4096	true
21	shotgun	34488	10772	-	4096	true
22	shotgun	34488	5043	-	4096	true
23	shotgun	34488	17034	-	4096	true
24	shotgun	34488	23330	-	4096	true
25	shotgun	34488	19852	-	4096	true
26	shotgun	34488	22274	-	4096	true
27	shotgun	34488	21496	-	4096	true
28	shotgun	34488	22158	-	4096	true
29	shotgun	34488	25859	-	4096	true
30	shotgun	34488	22883	-	4096	true
31	shotgun	34488	23403	-	4096	true
32	shotgun	34488	4969	-	4096	true
33	shotgun	34488	22552	-	4096	true
34	shotgun	34488	22008	-	4096	true
35	shotgun	34488	22700	-	4096	true
36	shotgun	34488	12503	-	4096	true
37	shotgun	34488	2844	-	4096	true
38	shotgun	34488	29691	-	4096	true
39	shotgun	34488	18950	-	4096	true
40	shotgun	34488	5201	-	4096	true
41	shotgun	34488	13458	-	4096	true
42	shotgun	34488	22333	-	4096	true
43	shotgun	34488	19347	-	4096	true
44	shotgun	34488	4246	-	4096	true
45	shotgun	34488	21432	-	4096	true
46	shotgun	34488	28623	-	4096	true
47	shotgun	34488	14991	-	4096	true
48	shotgun	34488	23453	-	4096	true
49	shotgun	34488	18410	-	4096	true
50	shotgun	34488	28052	-	4096	true
51	shotgun	34488	25698	-	4096	true
52	shotgun	34488	18178	-	4096	true
53	shotgun	34488	21779	-	4096	true
54	shotgun	34488	4015	-	4096	true
55	shotgun	34488	25798	-	4096	true
56	shotgun	34488	7975	-	4096	true
57	shotgun	34488	18510	-	4096	true
58	shotgun	34488	7204	-	4096	true
59	shotgun	34488	21233	-	4096	true
60	shotgun	34488	24114	-	4096	true
61	shotgun	34488	28147	-	4096	true
62	shotgun	34488	25213	-	4096	true
63	shotgun	34488	14971	-	4096	true
64	shotgun	34488	23727	-	4096	true
65	shotgun	34488	27465	-	4096	true
66	shotgun	34488	1211	-	4096	true
67	shotgun	34488	22987	-	4096	true
68	shotgun	34488	21744	-	4096	true
69	shotgun	34488	25723	-	4096	true
70	shotgun	34488	22566	-	4096	true
71	shotgun	34488	951	-	4096	true
72	shotgun	34488	25117	-	4096	true
73	shotgun	34488	23152	-	4096	true
74	shotgun	34488	25795	-	4096	true
75	shotgun	34488	29650	-	4096	true
76	shotgun	34488	21431	-	4096	true
77	shotgun	34488	6850	-	4096	true
78	shotgun	34488	5684	-	4096	true
79	shotgun	34488	11175	-	4096	true
80	shotgun	34488	24906	-	4096	true
81	shotgun	34488	16418	-	4096	true
82	shotgun	34488	1889	-	4096	true
83	shotgun	34488	18288	-	4096	true
84	shotgun	34488	17283	-	4096	true
85	shotgun	34488	10107	-	4096	true
86	shotgun	34488	29126	-	4096	true
87	shotgun	34488	8109	-	4096	true
88	shotgun	34488	7141	-	4096	true
89	shotgun	34488	1652	-	4096	true
90	shotgun	34488	26334	-	4096	true
91	shotgun	34488	18619	-	4096	true
92	shotgun	34488	9805	-	4096	true
93	shotgun	34488	25542	-	4096	true
94	shotgun	34488	11496	-	4096	true
95	shotgun	34488	445	-	4096	true
96	shotgun	34488	1446	-	4096	true
97	shotgun	34488	9516	-	4096	true
98	shotgun	34488	2112	-	4096	true
99	shotgun	34488	14055	-	4096	true
